,LoadConsumption,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,"Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bbp, gecorrigeerd voor werkdageneffecten",Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Diensten,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Bedrijven en huishoudens,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Overheid,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,"Crude oil, average | ($/bbl)","Crude oil, Brent | ($/bbl)","Crude oil, Dubai | ($/bbl)","Crude oil, WTI | ($/bbl)","Coal, Australian | ($/mt)","Coal, South African ** | ($/mt)","Natural gas, US | ($/mmbtu)","Natural gas, Europe | ($/mmbtu)","Liquefied natural gas, Japan | ($/mmbtu)",Natural gas index | (2010=100),euro per m3,euro per m3.1,euro per m3.2,euro per kWh,euro per kWh.1,euro per kWh.2,nat,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month,Year,Week,WeekKey,sic,NAO
LoadConsumption,1.0,-0.02338589559523047,-0.038988619924197436,0.07267739133508591,-0.07662716882970014,-0.007871206416575061,-0.052950171364388524,0.06218169216349735,0.01251630350417651,0.05489652812396411,-0.07054757844850922,0.015270405128025997,-0.025570027157566375,-0.03569921369719179,-0.10117251649371038,-0.11690359573273873,0.10246787637481744,0.12313558845096391,0.11882560310886849,0.08203309796123676,0.06224954129388282,0.05420077853454061,0.10246787637481744,0.0876792751566695,0.10883377616298982,0.12142429755866158,-0.01765606903811352,0.06247576509305524,0.07363116769872531,-0.05344723274005056,0.0931633999588057,0.08227201267144316,0.027541542701429264,0.08938933218425242,-0.04174148835204223,-0.04011976780459015,-0.04022100601528072,-0.0443568863109159,-0.0674738965610674,-0.06474028491244385,-0.03919340486666708,-0.045899537636079145,-0.037449664963872496,-0.05271331481594488,-0.05021067442081932,-0.07185789493244418,-0.0595879440913975,0.08496377482834744,-0.11876612561450262,-0.06982354348650824,0.05045950610759044,0.04128259693432866,0.03458482783404251,0.03426863537381956,-0.052449432451657015,-0.018419464135759785,0.032761700109522555,-0.06805695998412499,-0.034876289295552955,0.0059728456973374535,-0.0025149216243811703,-0.026847477634451517,0.03173579860122309,0.007768070163326981,0.25107389934181773,-0.028160288222781542,0.24923175925121638,-0.021293019894626092,-0.12089925308023908,0.014495378277234367
Beroepsbevolking|Seizoengecorrigeerd,-0.02338589559523047,1.0,0.9742179988422743,-0.5072876340006135,0.8531588574526167,0.1219610317163501,0.27932074775793014,0.19920432962818993,0.13870119388840246,-0.10093633168201388,0.8945894511625568,0.4571958060818587,0.9846311524770472,0.9801605859096232,0.5486936075449511,0.38330079347157897,-0.4087533922553462,-0.5284912718963978,-0.640728904633434,-0.3421892971969321,-0.23069067480408117,-0.4505076634315598,-0.4087533922553462,-0.3517224170517705,-0.6555523118318001,-0.6575205577783704,-0.0946419800735043,-0.050868356811875744,-0.14330525105853195,0.5805798029818506,-0.030443459175410865,-0.4190114776209917,-0.09458384534801761,-0.6402300187748237,-0.03553208541094419,-0.036692796509506,-0.0032076569153294027,-0.06835429747407452,0.6060425736738184,0.49300198343341045,-0.46449769110854994,0.2596487647344056,0.3210070858780875,-0.08835156059285416,0.8858495437151694,0.8687398276831901,0.6493677020657505,0.21520236101284035,0.7324178591400631,0.7251094525144315,0.4044592758642553,0.034920068835934924,0.03784174793895299,-0.011534841584058118,0.05587780206846256,0.054996795922750905,0.007032434114905985,0.046107553767261264,-0.002362210002471011,-0.022811086436290984,-0.021945545238817248,-0.007932466093815548,-0.02346795501411705,-0.0003010784957771634,0.06201774481861519,0.9546589688725446,0.0596498244642265,0.9559436886659265,0.1575107512274107,0.050139013092482275
Werkzame beroepsbevolking|Seizoengecorrigeerd,-0.038988619924197436,0.9742179988422743,1.0,-0.6886314076060254,0.9291428365714334,0.13433999094884005,0.3493923104158369,0.23305567664903995,0.11222772414405233,-0.22147074424773958,0.9517999748864476,0.4936801999891842,0.949592639160767,0.9492590986636422,0.6028819142098113,0.4745309075239284,-0.41874812442558185,-0.5257263384381423,-0.6336984470246437,-0.35364733790842695,-0.23788363472939653,-0.4691850029399128,-0.41874812442558185,-0.3225370002944703,-0.6316949492401494,-0.6814697968450824,0.04027239475198737,-0.024287213140656724,-0.12918159169719642,0.6447562815043266,-0.07800204139871243,-0.45135642894821043,-0.08785123490208205,-0.6774454365420114,-0.045497404690010054,-0.051380571665440716,-0.020604297846823137,-0.06485435140383355,0.6623287368387316,0.5503497096830186,-0.35261154491654934,0.2899604989589938,0.25110708169093754,-0.006686140458251881,0.9120886430296161,0.8923778327603312,0.6597514674988287,0.20185427122408695,0.7797998420041397,0.7334615581875882,0.40318589652317016,0.031911620836035624,0.03462685799554657,-0.015554922134479116,0.05566468437916429,0.05249718172732178,0.005488899291989163,0.047571104880744015,-0.005216382948111249,-0.02418361401422848,-0.026671457963777956,-0.01457953296122316,-0.02268926045886015,-0.0009777678980044506,0.053601607245369026,0.9042376548187007,0.0508171784312216,0.9052983248887891,0.19424477440165927,0.029479935698718124
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.07267739133508591,-0.5072876340006135,-0.6886314076060254,1.0,-0.8070556113459434,-0.12120769118484966,-0.43656271090308263,-0.24996494530103786,0.016966504389707673,0.5216523285326033,-0.7604168447465497,-0.4163869419003538,-0.46254963925244547,-0.4756173566567104,-0.53902085462059,-0.5802909646604789,0.2861977435254251,0.3099886135679699,0.36171384786165933,0.2513851889098896,0.16741362487753633,0.34468260166881376,0.2861977435254251,0.1020041531059615,0.3062860714254845,0.49009982885411363,-0.4580349552016957,-0.07007946422464291,0.03352978456541051,-0.5969259896790798,0.2002826123858906,0.3775916265320528,0.031504757703688456,0.530313018598887,0.05966605639271427,0.07840545021884422,0.06845507997075545,0.028132695257347955,-0.5821350696652143,-0.5176564815285772,-0.14585634541278655,-0.27311509917209525,0.07264711741439733,-0.258336151751891,-0.6367144239744428,-0.6163916142960045,-0.4328939497355026,-0.07944940162368608,-0.6246854954513812,-0.4710376450059668,-0.24035166554885998,-0.00969276759053201,-0.010643950297056042,0.022280786692248592,-0.03261945811204786,-0.023396040203746422,0.0016134232801130529,-0.03311784353404263,0.012347840089393805,0.019012969530515556,0.03131729957681924,0.03022457605355229,0.011145787472237255,0.0027987806423723986,-0.005579461304755006,-0.3856647669678002,-0.0025446032806985515,-0.3855913100450423,-0.23600299569950153,0.04879124206123926
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.07662716882970014,0.8531588574526167,0.9291428365714334,-0.8070556113459434,1.0,0.15570998580524184,0.4227746498809193,0.23044574708174478,0.07761398183802619,-0.3178631470789298,0.988033934333419,0.5062091451723655,0.8478545948047835,0.858348816834454,0.6555619334554761,0.5902545979873127,-0.3930379997790608,-0.5077432634920783,-0.6307130098106403,-0.31746803716813937,-0.17574636625721185,-0.48938559843965723,-0.3930379997790608,-0.2969436507389464,-0.62627723974505,-0.7569011196515585,0.2267274449985411,0.0026029559685180827,-0.12163093895021548,0.7532830095564271,-0.23302383215516362,-0.4195368708359298,0.05149117894089426,-0.7386910868996389,0.01524698508913585,-0.001448085446455394,0.020611328260461068,0.027766674695813728,0.7232401521867957,0.6133383925906144,-0.0704572092474152,0.438824273078007,0.20555383173065908,0.2379589567777595,0.9365318359289095,0.9343655873637603,0.7494147222928895,0.1420169431054064,0.8922502667104834,0.8213347115243987,0.4213167833966714,0.027169679690025157,0.03065144326800429,-0.017298908978667052,0.06221582147840894,0.05715571300201242,0.0007848246798161947,0.05548447823602363,-0.011728395973242206,-0.032413720724518494,-0.038761152639153196,-0.021212478960998652,-0.025021132328020407,-0.007618199991088106,0.034258657628700145,0.7430212702963191,0.03226327280000368,0.7436318633178935,0.25203103233751756,-0.015999481413175882
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.007871206416575061,0.1219610317163501,0.13433999094884005,-0.12120769118484966,0.15570998580524184,1.0,0.5770911686195183,0.43169672468056847,-0.004977441597230544,0.28084913699176783,0.22106719531744187,0.3919260761895432,0.11793858415818402,0.09547638442082403,-0.14219342228317303,-0.10025148370802174,0.14857719146678697,0.19452196776117897,0.11705264214678822,0.09301002071497588,0.1916320297775976,-0.07860362875614486,0.14857719146678697,0.10266433777837639,0.07886161137895002,0.019192333687871006,0.14506380990874365,0.1822586431598911,0.15263457954768966,0.23616280537447823,0.12168893357675029,0.10785084678435508,0.14250994763657995,-0.04149415593303851,-0.28831311872117266,-0.29547886510740595,-0.30041099203070654,-0.2615656644685168,-0.0795818470177361,-0.08035203328302717,-0.02181611263323362,-0.21956340212631761,-0.3662235207787589,-0.1279805874280114,0.08561704830431419,0.12084606794763418,-0.056682675047079766,-0.3581947377780544,-0.06474457332108857,-0.03441480376603767,0.05686075732773339,-0.003273446171192534,0.0062682683307869694,-0.028341985629579385,0.09013080554819407,0.08318355652155666,0.004461941993256307,0.08600306583252502,0.014190322908901683,-0.016987862218519875,-0.00650153560063423,0.023899929056632734,-0.029736292133871464,0.003635740793664722,-0.17581693040382423,0.25063027717926617,-0.16906685636949143,0.2458896488490295,-0.03150015948020761,0.018786525137492592
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.052950171364388524,0.27932074775793014,0.3493923104158369,-0.43656271090308263,0.4227746498809193,0.5770911686195183,1.0,0.43684512174623014,-0.07693186265880095,0.045170004311034156,0.4761604471996233,0.40852523961124426,0.2638599299967868,0.2591328724984968,0.1406348440741352,0.21261869304088202,0.05103529610069827,0.09166059140416727,0.007551414251413788,0.0020700494109576976,0.17928473994087107,-0.20489502196157855,0.05103529610069827,0.09755026213128386,0.003719957288952878,-0.09864027573448746,0.26084078361476865,0.24177520023607796,0.17907892774354625,0.4311407609988082,0.16320295176584984,-0.056938912617369046,0.12971864370481687,-0.24172913228109796,-0.3483938075434862,-0.36094048589929323,-0.36598935058621884,-0.3085343007377728,0.21869189436463612,0.24167053265499627,0.1302842119309918,0.016086011561944266,-0.2630271304131259,0.12690096974282045,0.28387381668358525,0.31985763246736526,0.08026547333835557,-0.6102165247847678,0.08619251111641343,0.11185635459110455,-0.08232849483540218,-0.02082307477804734,-0.020474113900985545,-0.05586134139275252,0.039825798549570544,0.019350716647012083,0.0008667780129911477,0.045462536392222225,0.0038362221304548555,-0.04109049051172156,-0.04038996480115302,-0.0002162342423911906,-0.04084488648775527,0.003067730388967436,-0.004721339488876572,0.41063263377487785,-0.0054211713236000485,0.4103309237601676,0.01572020474407797,0.14763554010689467
Aantal verkochte woningen|Aantal verkochte woningen,0.06218169216349735,0.19920432962818993,0.23305567664903995,-0.24996494530103786,0.23044574708174478,0.43169672468056847,0.43684512174623014,1.0,-0.053402358407485764,0.1832625978337691,0.2737961332947701,0.9134174891033813,0.18997927749305352,0.17216337425582443,-0.02354225882686735,0.016339897016950402,0.06723647650844533,0.11640065297863132,0.06511158994936828,0.029993793013337617,0.16204444213461194,-0.1189114333582043,0.06723647650844533,0.09512974831220826,0.07125199610159186,-0.01580988344519886,0.22297172145775532,0.17015312135654503,0.13384517588701844,0.25809395405062924,0.03013655860692001,0.008607049194121377,0.12262465634432823,-0.12085802006614063,-0.400494345994891,-0.4052008883390867,-0.4092426049258225,-0.3778654575801297,-0.007531316817061189,-0.012605877725646355,-0.034248516178360305,-0.16368561485945954,-0.2837768361490499,-0.10252470796987305,0.18843681265620874,0.20375350577226312,-0.031305951317575215,-0.14761111997238968,0.021348518389163455,-0.00545864153332938,0.03681104518255206,0.039560015763567664,0.019719989466282388,0.023901017375237997,-0.21426880345029053,-0.16540902588840764,0.043003304028725715,-0.239527789164895,-0.012228763882367872,0.07579361046142273,0.037947472008473586,-0.034794101548542844,0.09971553405694762,0.007049325940014259,-0.18583025846175388,0.26689899604537953,-0.16674094183097335,0.2622162548401584,0.11477562735269257,0.1516085542890027
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,0.01251630350417651,0.13870119388840246,0.11222772414405233,0.016966504389707673,0.07761398183802619,-0.004977441597230544,-0.07693186265880095,-0.053402358407485764,1.0,0.22981826447307063,0.08182513707592948,-0.1276927644360117,0.14468678606949495,0.1329074329432274,0.03750261010472737,0.010718150970208694,0.010388712462632243,-0.03138986464484876,-0.06706707083363046,0.026990127720826006,-0.0024838890909815257,0.0020161862400409672,0.010388712462632243,-0.00840657429928912,-0.07880095835299722,-0.06857917845065412,-0.056574102763364,0.03761595701015848,0.03485416771676838,0.025460899788107897,-0.04774911245993717,-0.000669014920236929,0.042305580633851626,-0.05012541032747844,0.018888913089302052,0.02116601660475828,0.025386526216466428,0.008976711591988177,0.021537185531050093,-0.013066889431873018,-0.13200481337213532,-0.0034285568416727026,0.037884522807474376,-0.0761872990228431,0.12229847650789413,0.11152620856346965,0.10560714729226547,0.16805621373582644,0.10213813297695598,0.11396948298949465,0.10430958814236693,0.013909411419858114,-0.000882056693225485,0.0010489537971861607,-0.060246856034335196,-0.043579156096579405,-0.0031511536136813807,-0.06788134802845004,0.0027941619112874095,0.024152164810842727,0.024451804554490426,0.006351337100348462,0.025356199165276865,-0.00271961492495225,0.25805878085722983,0.09795946230790971,0.23460363405158852,0.10437199497350697,0.11640962494914657,-0.02481015116141466
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,0.05489652812396411,-0.10093633168201388,-0.22147074424773958,0.5216523285326033,-0.3178631470789298,0.28084913699176783,0.045170004311034156,0.1832625978337691,0.22981826447307063,1.0,-0.23376182333014286,0.014489905691613713,-0.05160520089257932,-0.07152906430457794,-0.38655158593030803,-0.38832223830980966,0.3191600852394991,0.3636811559676125,0.33602541272889147,0.2611682983214925,0.34152018852287797,0.08813451724165058,0.3191600852394991,0.10692625219265124,0.17262935358876091,0.2751669842960679,-0.28822028983037584,0.09884202598674913,0.14631765364319255,-0.2301486646839134,0.3016774945038223,0.3957104200562345,0.26108265746709836,0.2678906075912738,-0.17169337426055878,-0.16564795188550285,-0.1730898307416892,-0.17351199616478963,-0.3683380319067867,-0.3340622438078349,-0.16345829546038748,-0.35920702268028715,-0.0976402029316308,-0.3120308062766701,-0.20455097159625124,-0.1848264099110369,-0.3032392012673593,-0.13774095451810764,-0.35199717534100644,-0.26705464620308883,0.02244238011881674,0.015967344797240136,0.011867136051028357,0.0034317649481493927,0.011012165091895182,0.012764666783439762,0.002644544902841014,0.00899530945626422,0.014304284425899112,-0.007184001591702751,0.004325068970651892,0.034201957325240666,-0.015231289555489953,-0.0089338655469927,-0.024614243366875056,0.04329126741438828,-0.023406540625794142,0.042631753819723214,-0.18853806420958047,-0.008959625821831341
