fold,model,epoch,time_str,time_sec,loss
1,Classical LSTM,1,00:03,3.0,0.0174
1,Classical LSTM,2,00:02,2.0,0.0102
1,Classical LSTM,3,00:02,2.0,0.0112
1,Classical LSTM,4,00:02,2.0,0.0122
1,QLSTM,1,37:19,2239.0,0.031
1,QLSTM,2,37:04,2224.0,0.0108
1,QLSTM,3,36:56,2216.0,0.00931
2,Classical LSTM,1,00:03,3.0,0.0162
2,Classical LSTM,2,00:03,3.0,0.0157
2,Classical LSTM,3,00:03,3.0,0.0157
2,QLSTM,1,57:09,3429.0,0.0347
2,QLSTM,2,57:19,3439.0,0.0228
2,QLSTM,3,57:20,3440.0,0.0183
3,Classical LSTM,1,00:04,4.0,0.0178
3,Classical LSTM,2,00:04,4.0,0.0136
3,Classical LSTM,3,00:04,4.0,0.0138
3,QLSTM,1,1:15:21,4521.0,0.0196
3,QLSTM,2,1:15:34,4534.0,0.0245
3,QLSTM,3,1:15:59,4559.0,0.0247
3,QLSTM,4,1:17:11,4631.0,0.0169
4,Classical LSTM,1,00:10,10.0,0.0201
4,Classical LSTM,2,00:09,9.0,0.0096
4,Classical LSTM,3,00:09,9.0,0.00973
4,QLSTM,1,1:37:07,5827.0,0.0436
4,QLSTM,2,1:37:47,5867.0,0.0104
4,QLSTM,3,1:37:49,5869.0,0.0102
