fold,model,epoch,time_str,time_sec,loss
1,Classical LSTM,1,00:04,4.0,0.0175
1,Classical LSTM,2,00:05,5.0,0.0155
1,Classical LSTM,3,00:04,4.0,0.0109
1,Classical LSTM,4,00:04,4.0,0.0125
1,Classical LSTM,5,00:04,4.0,0.0144
1,Classical LSTM,6,00:04,4.0,0.00995
1,Classical LSTM,7,00:03,3.0,0.0132
1,QLSTM,1,39:18,2358.0,0.0294
1,QLSTM,2,39:31,2371.0,0.0218
1,QLSTM,3,39:24,2364.0,0.0149
1,QLSTM,4,39:31,2371.0,0.0155
2,Classical LSTM,1,00:08,8.0,0.0188
2,Classical LSTM,2,00:06,6.0,0.0134
2,Classical LSTM,3,00:06,6.0,0.0172
2,QLSTM,1,59:30,3570.0,0.0332
2,QLSTM,2,59:44,3584.0,0.0174
2,QLSTM,3,59:46,3586.0,0.0221
3,Classical LSTM,1,00:08,8.0,0.0192
3,Classical LSTM,2,00:07,7.0,0.0137
3,Classical LSTM,3,00:07,7.0,0.022
3,QLSTM,1,1:16:46,4606.0,0.02
3,QLSTM,2,1:17:04,4624.0,0.0283
3,QLSTM,3,1:16:55,4615.0,0.0241
4,Classical LSTM,1,00:06,6.0,0.0187
4,Classical LSTM,2,00:06,6.0,0.0162
4,Classical LSTM,3,00:06,6.0,0.0162
4,QLSTM,1,1:37:16,5836.0,0.0362
4,QLSTM,2,1:37:57,5877.0,0.0191
4,QLSTM,3,1:38:01,5881.0,0.0172
