fold,model,epoch,time_str,time_sec,loss
1,Classical LSTM,1,00:03,3.0,0.0136
1,Classical LSTM,2,00:03,3.0,0.0161
1,Classical LSTM,3,00:03,3.0,0.0133
1,Classical LSTM,4,00:03,3.0,0.0166
1,QLSTM,1,40:27,2427.0,0.0328
1,QLSTM,2,57:00,3420.0,0.0255
1,QLSTM,3,3:13:13,11593.0,0.00745
1,QLSTM,4,1:24:55,5095.0,0.00666
2,Classical LSTM,1,00:07,7.0,0.0149
2,Classical LSTM,2,00:07,7.0,0.0116
2,Classical LSTM,3,00:07,7.0,0.023
2,QLSTM,1,1:41:18,6078.0,0.0352
2,QLSTM,2,3:20:05,12005.0,0.0182
2,QLSTM,3,1:43:59,6239.0,0.012
3,Classical LSTM,1,00:08,8.0,0.0192
3,Classical LSTM,2,00:08,8.0,0.0132
3,Classical LSTM,3,00:09,9.0,0.017
3,QLSTM,1,1:19:23,4763.0,0.027
3,QLSTM,2,1:19:02,4742.0,0.0211
3,QLSTM,3,1:20:20,4820.0,0.0223
4,Classical LSTM,1,00:11,11.0,0.0197
4,Classical LSTM,2,00:11,11.0,0.014
4,Classical LSTM,3,00:11,11.0,0.0108
4,QLSTM,1,1:41:09,6069.0,0.0402
4,QLSTM,2,1:41:51,6111.0,0.0253
4,QLSTM,3,1:41:23,6083.0,0.0157
