,Fold-1,Fold-2,Fold-3,Fold-4,Fold-5,Fold-6,Fold-7,Fold-8
Aantal verkochte woningen|Aantal verkochte woningen,0.029570907524721177,0.009821562056285236,0.11401651675215421,0.008709517616832311,0.08145210155213461,0.06261414184763867,-0.004013192753766305,0.1020102067659625
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,-0.20900557552682464,0.1075665305634236,0.06681316812593806,-0.07069622901774272,0.0248179732338867,-0.05621496422773295,-0.08982212334645817,-0.01668745754761025
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,-0.045369016401587615,0.04022212912214635,0.04012177531379352,0.0560366499542107,-0.03207233021501411,-0.020383393106472747,-0.019988882321178337,0.004402303463804313
Beroepsbevolking|Seizoengecorrigeerd,0.15523577307752617,0.08145018347381097,0.19265839974414203,0.22934477029298314,-0.038832211919815084,-0.07674475652348145,-0.004920533897958248,0.15068541615727388
CPI afgeleid | 2015 = 100,0.08992346286830459,-0.007825877619304812,-0.0011482075213496254,-0.09265143813341904,-0.07096677739166317,-0.008732868998992609,-0.055947134970074204,0.07964043971328554
CPI | 2015 = 100,0.08475946566907823,-0.0053463218771826575,0.08053067327643887,-0.15602105789767065,-0.10147793142404432,-0.01903353295629047,-0.06385705841972315,0.06249775635613536
"Coal, Australian | ($/mt)",0.0,0.0,0.0,0.0,0.0,0.0,0.28232888723915894,0.0
"Coal, South African ** | ($/mt)",0.0,0.0,0.0,0.0,0.0,0.0,0.23036390411849902,0.0
"Crude oil, Brent | ($/bbl)",0.0,-0.1660058483866004,0.0,0.0,0.0,0.0,0.0,0.0
"Crude oil, WTI | ($/bbl)",0.0,-0.1568480364945514,0.0,0.0,0.0,0.0,0.0,0.0
"Crude oil, average | ($/bbl)",0.0,-0.169691338579482,0.0,0.0,0.0,0.0,0.0,0.0
DailyMeanTemperature,-0.03336581739735887,0.03797647468159714,-0.15401589784327585,-0.05452278372744484,-0.025641202886476276,0.01881836507582527,-0.07644563991859557,-0.10289690921503908
DailyPrecipitation,0.03774139549872274,0.06874915238363778,0.03861644325562984,0.046471517039982195,0.01745981371489775,0.005174113533427398,0.04381928692137805,0.08010777931381928
Gemiddelde verkoopprijs,0.0361122235377441,-0.013929987370692388,-0.12743530888181803,-0.09856334178420201,-0.04593042518562089,0.011920200551182978,-0.0649070435000249,0.017456614806385946
HDMaxPrecipitation,-0.015707479737910677,0.01942616566562145,0.038438440109475884,0.01972879858255761,0.05416348244731564,0.03859947214619365,0.007223507793051881,0.028900149327411126
