fold,train_start,train_end,test_start,test_end,rmse,mape,pcc,prophet_baseline_mape,stacked_rmse,stacked_mape,stacked_pcc,selected_features,forecast_features,prophet_config
6,2010-01-01,2016-11-28,2017-01-01,2017-12-31,2086.2788,13.404098153114319,0.5080620048563034,15.968364931887374,1814.0264152706468,11.368701166726876,0.6044405014933848,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'yhat', 'weekly', 'Month', 'Week']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 8}"
7,2010-01-01,2017-11-28,2018-01-01,2018-12-31,2734.2117,18.017885088920593,0.28332023484765756,14.928846069544404,1960.426704371337,12.353255691304096,0.3933050856925507,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'euro per m3', 'euro per kWh.1', 'Beroepsbevolking|Seizoengecorrigeerd', 'euro per m3.1', 'CPI | 2015 = 100', 'WeekKey']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
8,2010-01-01,2018-11-28,2019-01-01,2019-12-31,2095.593,16.742390394210815,0.2715366681378092,12.58681826596481,1754.3586988184793,10.921954252421795,0.37418449567606205,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'euro per m3', 'euro per kWh.1', 'Beroepsbevolking|Seizoengecorrigeerd', 'euro per m3.1', 'CPI | 2015 = 100', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Overheid']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2010-01-01,2013-11-28,2014-01-01,2014-12-31,2059.3274,15.739402174949646,0.5068514254813618,16.886828487061226,1769.1594526560007,11.546488202328549,0.6552619685070762,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'yearly', 'trend', 'Week', 'Month', 'euro per m3', 'euro per kWh.2', 'euro per kWh.1', 'euro per m3.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2010-01-01,2011-11-01,2012-01-01,2012-12-31,1897.8682,15.089370310306549,0.5128500317348885,15.997432541519052,1964.8651728877676,13.47783110954903,0.599601925682872,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'yearly', 'euro per m3.1', 'euro per kWh.1', 'euro per m3', 'Month', 'Week', 'euro per kWh.2']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
2,2010-01-01,2012-11-01,2013-01-01,2013-12-31,2295.7603,13.855308294296265,0.4498288526258184,17.684607991866503,2056.833118206192,14.043607799567503,0.5158675920450633,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'yearly', 'Month', 'euro per kWh.2', 'Week', 'euro per m3', 'euro per kWh.1', 'Crude oil, WTI | ($/bbl)']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2010-01-01,2013-11-01,2014-01-01,2014-12-31,1873.8718,19.427701830863953,0.7005993557908149,15.514695506048554,1599.4243601959765,9.81061803490751,0.7272791496893856,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'yearly', 'trend', 'Month', 'Week', 'euro per m3', 'euro per kWh.2', 'Coal, Australian | ($/mt)', 'euro per kWh.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
4,2010-01-01,2014-11-01,2015-01-01,2015-12-31,1815.277,19.61469203233719,0.6479676462158721,13.283304667097434,1576.8149688730048,9.49065958237468,0.6634182174888039,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'Month', 'Week', 'yearly', 'euro per m3', 'euro per kWh.1', 'euro per kWh.2', 'Coal, Australian | ($/mt)']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
5,2010-01-01,2015-11-01,2016-01-01,2016-12-31,2051.6829,16.509462893009186,0.46761497096841015,15.595756007408651,2020.5305092557737,12.834240862782003,0.48864766015495154,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'yearly', 'Month', 'Week', 'euro per m3', 'euro per kWh.1', 'Coal, Australian | ($/mt)', 'euro per m3.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
6,2010-01-01,2016-11-01,2017-01-01,2017-12-31,2575.7795,16.27294421195984,0.6489487635391529,14.36778162024066,1727.697726504843,10.3822281028571,0.6489523799516381,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'yearly', 'euro per m3', 'trend', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'CPI afgeleid | 2015 = 100']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
7,2010-01-01,2017-11-01,2018-01-01,2018-12-31,1917.2938,12.013696879148483,0.5751795218680986,14.316668579493363,1728.0062006982885,10.573203031233836,0.5754118568283455,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'yearly', 'euro per m3', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'CPI afgeleid | 2015 = 100', 'CPI | 2015 = 100']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
8,2010-01-01,2018-11-01,2019-01-01,2019-12-31,2029.2028,16.279834508895874,0.28715284156013104,11.551562738528235,1775.846301229619,11.309747183930131,0.31797653576984786,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'euro per m3', 'yearly', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'CPI afgeleid | 2015 = 100', 'CPI | 2015 = 100']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2019-01-01,2020-11-28,2021-01-01,2021-12-31,2002.893,12.619073688983917,-0.037880347041635475,13.184174020920677,1786.966325860377,12.19000055632789,0.16718024010437116,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'euro per kWh.2', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'weekly', 'Month', 'Week', 'Natural gas, Europe | ($/mmbtu)', 'yearly', 'euro per kWh.1', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
