fold,horizon,model_type,rmse,mape (%),pearson_corr
10,1440,LSTM,1481.7203,9.388978034257889,0.5682422123158696
10,1440,QLSTM,1523.1923,9.78192389011383,0.5339338284438876
9,1440,LSTM,1491.3226318359375,9.348413348197935,0.5909705637878614
9,1440,QLSTM,1611.5107421875,10.361243784427645,0.490922959800635
9,1440,LSTM,1488.669677734375,9.19458121061325,0.592823695631602
9,1440,QLSTM,1600.568115234375,10.29205322265625,0.5027998835678238
10,1440,LSTM,1478.7857666015625,9.397099167108536,0.5713161877412045
10,1440,QLSTM,1524.7305908203125,9.850166738033296,0.5330059784589761
11,1440,LSTM,1595.3255615234375,10.912112891674042,0.5489841263345617
11,1440,QLSTM,1655.505859375,11.372620612382889,0.4982982589133766
11,1440,LSTM,1563.245849609375,10.710254311561584,0.5736707022847293
11,1440,QLSTM,1455.3724365234375,10.20413413643837,0.6469069919440942
10,1440,LSTM,1421.42333984375,8.851463347673416,0.6139782112243466
10,1440,QLSTM,1526.644287109375,9.824895113706589,0.5308972763409454
11,1440,LSTM,1675.6328125,11.581960320472716,0.4800878030590548
11,1440,QLSTM,1687.3792724609375,11.663506925106049,0.4682979453692448
1,1440,LSTM,1506.099609375,9.339635074138641,0.7900486405481311
1,1440,QLSTM,1623.32763671875,10.534768551588058,0.7506935542375721
