,Fold-1,Fold-2,Fold-3,Fold-4
Aantal verkochte woningen|Aantal verkochte woningen,0.1441328989564624,0.14728157765171643,0.04806811225421809,-0.11360529064598819
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,0.043250472868453856,0.05900771888224913,-0.010241169230154171,0.07119271821520672
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,-0.046648512739802916,0.03549969068768498,0.022817339815630763,-0.02539963401934637
Beroepsbevolking|Seizoengecorrigeerd,0.05749357240183471,0.14126650140712527,-0.3079385723018978,0.2653809815062878
CPI afgeleid | 2015 = 100,0.04861269977571515,-0.1896969471592195,-0.3542379067820239,0.0
CPI | 2015 = 100,0.06900068328952978,-0.18837101780931015,-0.30379767037075006,0.29124760544601935
"Coal, Australian | ($/mt)",0.0,0.0,0.0,-0.2862135936871559
"Crude oil, Brent | ($/bbl)",0.0,0.0,-0.43480334625377476,0.0
"Crude oil, Dubai | ($/bbl)",0.0,0.0,-0.4333917677268385,0.28653116423023717
"Crude oil, WTI | ($/bbl)",0.0,0.0,-0.4318330662330631,0.0
"Crude oil, average | ($/bbl)",0.0,0.0,-0.4344007449023526,0.0
DailyMeanTemperature,0.03362477085108877,-0.03248298846350699,-0.058883377717832835,0.07090132302315502
DailyPrecipitation,-0.004518818863979603,0.10376557088421326,0.09608130757899981,0.0950395160253779
Gemiddelde verkoopprijs,-0.08049541762941108,-0.2004565605294792,-0.3542674508872819,0.2944482270142525
HDMaxPrecipitation,0.0366180434375512,0.10382496223978613,0.07805340427724972,0.03167631803266838
HDMinTemperature,0.029909608653176545,0.06996890570195564,0.08284360870067012,0.04674651583757255
HourlyMaxTemperature,0.018798669383624362,-0.06640153050886467,-0.09611903244992707,0.04980926026206222
HourlyMinTemperature,0.07270093327752483,0.042992366787185765,0.022043976458513328,0.09904233364011716
Jaarmutatie CPI afgeleid | %,0.018637928448362494,-0.3452351465014854,-0.16000510367816623,-0.44445052866139034
Jaarmutatie CPI | %,0.2907502978158374,-0.34464075305895675,-0.2375883650237351,-0.4303245400213304
"Liquefied natural gas, Japan | ($/mmbtu)",0.0,-0.3992449081507835,0.0,0.0
MaxHourlyPrecipitation,-0.013467300513363204,0.11558969496878121,0.09887689450673492,0.10490916546429474
Month,0.0,0.40896751168294565,0.4228849966227732,0.35930196052994645
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,0.33258403378660123,0.17820395435990558,0.0,0.0
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Diensten,-0.3430124240745895,0.0,0.0,0.0
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen,0.3745112883506333,0.0,0.0,0.0
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,0.3075397242917907,0.17455922285873465,0.0,0.0
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Overheid,-0.35624550162351637,0.0,0.0,0.0
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,0.334765088551242,0.0,0.0,0.0
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal,0.34880772646943925,0.0,0.0,0.0
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen,0.3764011676101948,0.0,0.0,0.0
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.22131497806746012,-0.2041445823303535,0.04799354282528651,0.09063515121127777
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,0.03572875684198967,-0.22774054054190224,0.08771423488824749,0.2903841700932079
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.08321842834502342,-0.17322392586168642,-0.3664677891599993,0.2587605802048001
Totale waarde verkoopprijzen,0.10918942169695588,0.06237954534382094,-0.009378443187193183,-0.08294249333691243
Week,0.0,0.4164005334711319,0.42232447323141453,0.3494970487507362
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.37751342412303396,0.33872903542614663,0.3875920174549391,0.2294074430899037
Werkzame beroepsbevolking|Seizoengecorrigeerd,-0.07514054091111497,-0.12445777154589012,-0.3639134218494787,0.23101476624914
Year,0.0,0.0,-0.4603785532055628,0.0
euro per kWh.1,-0.3736193948458062,-0.3735649242776973,-0.4603785532054185,0.0
euro per kWh.2,-0.3641652404222857,-0.4160929362720525,0.0,0.0
euro per m3,0.0,0.34331678549629724,-0.43218852815704034,0.0
euro per m3.1,-0.3959122084895457,0.0,-0.4603785532054179,0.0
euro per m3.2,0.0,-0.31451541212556483,0.0,0.0
trend,0.0,0.0,0.0,0.0
weekly,0.0,0.0,0.0,0.0
yearly,0.0,0.0,0.0,0.0
yhat,0.0,0.0,0.0,0.0
