fold,train_start,train_end,test_start,test_end,rmse,mape,pcc,prophet_baseline_mape,stacked_rmse,stacked_mape,stacked_pcc,selected_features,forecast_features,prophet_config
1,2010-01-01,2011-11-28,2012-01-01,2012-12-31,2330.791496466383,16.704295575618744,0.5269680441108876,17.64924074766853,1847.4101798690058,12.09232256741696,0.6460144366013484,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'Month', 'Week', 'Werkzame beroepsbevolking|Seizoengecorrigeerd', 'euro per m3.1', 'euro per kWh.1', 'Natural gas, US | ($/mmbtu)', 'euro per m3']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
2,2010-01-01,2012-11-28,2013-01-01,2013-12-31,2303.7165624268973,22.94611930847168,0.4538122151889246,17.123798095748434,1961.4751343198552,12.810384737050203,0.5862413135538931,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'yearly', 'Week', 'Month', 'euro per kWh.2', 'euro per kWh.1', 'euro per m3', 'euro per m3.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
5,2010-01-01,2015-11-28,2016-01-01,2016-12-31,2400.577118111393,19.576558470726013,0.3767190601483126,19.546924809472983,2100.6054988513756,13.783255206377303,0.4107960130495657,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'yearly', 'euro per m3', 'trend', 'euro per kWh.1', 'euro per m3.1', 'euro per kWh.2']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
4,2010-01-01,2014-11-28,2015-01-01,2015-12-31,2544.9475436637194,18.737128376960754,0.4490411397821889,15.35555801942689,1723.3754402257055,10.892452563902806,0.5644695722617923,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'yearly', 'Month', 'Week', 'trend', 'euro per m3', 'euro per kWh.2', 'euro per kWh.1', 'euro per m3.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
6,2010-01-01,2016-11-28,2017-01-01,2017-12-31,2681.1382843859433,26.750335097312927,0.367243053633928,15.95805301863579,2086.5922872500264,13.423759147214643,0.40037660445031376,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'yearly', 'Month', 'Week', 'euro per m3', 'euro per kWh.1', 'euro per m3.1', 'Beroepsbevolking|Seizoengecorrigeerd', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
7,2010-01-01,2017-11-28,2018-01-01,2018-12-31,2369.402878364083,15.964443981647491,0.32431627344390357,14.942547260489725,1873.1105330955036,11.626402448520642,0.4778192641595451,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'euro per m3', 'euro per kWh.1', 'yearly', 'Beroepsbevolking|Seizoengecorrigeerd', 'euro per m3.1', 'CPI | 2015 = 100']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
8,2010-01-01,2018-11-28,2019-01-01,2019-12-31,2291.9465526054487,19.790397584438324,0.24014992056923234,12.587239299772367,1772.8455575727644,11.23204605598631,0.34899002791118094,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'Month', 'Week', 'euro per m3', 'euro per kWh.1', 'Beroepsbevolking|Seizoengecorrigeerd', 'euro per m3.1', 'CPI | 2015 = 100', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Overheid']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2010-01-01,2011-11-01,2012-01-01,2012-12-31,2647.086228289513,21.44673317670822,0.4451329790772277,15.98031158931975,2001.6971688145125,14.200196898467807,0.5790384456252929,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'euro per m3.1', 'euro per kWh.1', 'yearly', 'euro per m3', 'Month', 'Week', 'euro per kWh.2']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2010-01-01,2013-11-01,2014-01-01,2014-12-31,2348.5549812597533,19.890888035297394,0.695309346902877,15.473430665667252,1673.5346215698696,10.330152931538212,0.6958947077766904,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'yearly', 'trend', 'Month', 'Week', 'euro per m3', 'euro per kWh.2', 'Coal, Australian | ($/mt)', 'euro per kWh.1']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
4,2010-01-01,2014-11-01,2015-01-01,2015-12-31,2301.459971409453,18.033425509929657,0.563377437219822,13.280975487674862,1728.7841005852215,10.89296004338342,0.5718431398650301,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'Month', 'Week', 'yearly', 'euro per m3', 'euro per kWh.1', 'euro per kWh.2', 'Coal, Australian | ($/mt)']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
