,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Werkzame beroepsbevolking|Seizoengecorrigeerd,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,euro per kWh.1,euro per m3.1,euro per m3,euro per kWh.2,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Week,Jaarmutatie CPI | %,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,Beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.03710564616876031,0.027077514196503043,-0.007426278735523846,-0.03931547721264453,-0.021578592431196985,0.05645621979047174,-0.055317846922423544,0.24536474130334576,0.22593027236330707,-0.2236396388822118,0.2234619419197114,0.21901650942575188,0.21880883750249117,-0.2087340664772354,0.2085803037595444,0.2065038327722609,0.20583781886314712,0.1554762600679591,-0.19426985353075918,-0.14614962625172312,-0.10299475181659186,0.15950883648451467,0.021344488736783903,-0.03843195337345603,0.02563086258445352,0.020410345141345605,0.09756729311289736,0.10265932524211378,0.19857674720775348,0.04912916221803355,0.15698428803157527
DailyPrecipitation,0.03710564616876031,1.0,0.9372754375565338,0.4402040595811415,0.0653542093867053,0.15674612058621618,0.0835690964619392,0.01792931120508015,0.06554044930928302,0.07391013623424039,-0.11968575465246403,0.1181577124708549,0.1098822741261778,0.12461841160793352,-0.048165427369364,0.02199972008719701,0.10242278602480998,0.12599665058740758,0.027108971881739236,-0.06284553647603516,-0.027354680473706948,-0.03672989098515718,0.062116405067699665,-0.00693640787104241,-0.07442489645125248,0.012460801242204275,-0.00020609417399238293,0.03003618110717826,0.029279667969707834,0.09942966010726245,-0.03050412405410874,0.03653400034547515
MaxHourlyPrecipitation,0.027077514196503043,0.9372754375565338,1.0,0.47100150960179354,0.13324433814550152,0.21723502426187818,0.10777936870828021,0.08784049453296613,0.06127086966359421,0.1017833136733327,-0.1674017001499503,0.16622915321472137,0.15862405665341042,0.1692396257239009,-0.0312662622963372,0.04709356157135876,0.12994000205625666,0.17343188575641372,0.035112657923419305,-0.046598129352219575,0.009319458988918844,0.01405422365960352,0.11515521386428346,-0.026987066082634254,-0.0666638212875183,0.06267614416631205,-0.02276572936457434,0.01632442778841387,0.014562297216906469,0.1260308288127957,-0.028607033657874332,0.05265098065884994
HDMaxPrecipitation,-0.007426278735523846,0.4402040595811415,0.47100150960179354,1.0,-0.07936694472449782,-0.020999032359024717,-0.03786802650114466,-0.11074434260432418,0.039896851088966095,-0.003799107218050326,-0.07256846899206175,0.07021794598125562,0.059340641933967056,0.08303047956281398,-0.04337088464074823,-0.010331205868128863,0.098615765143512,0.07975661800019115,0.007015318146374858,-0.04787967124757212,-0.08103879697840519,-0.05591125092862688,-0.03320204889828406,0.09078606356721645,0.012530071379948339,-0.09620611457169435,0.08716084063503543,-0.07069453892754961,-0.07204778909792142,0.10632503518209492,-0.14954049409978015,-0.06404486161605709
DailyMeanTemperature,-0.03931547721264453,0.0653542093867053,0.13324433814550152,-0.07936694472449782,1.0,0.9532095055443502,-0.10590545922284016,0.9837864428059894,-0.1273762523486292,0.2106804833599784,-0.22131125875898924,0.22880064973725306,0.25594289731721503,0.17631492473915056,0.14453668128039907,0.15675124575505742,-0.0443493906682278,0.2115188354548682,0.0517385495271805,0.24659933124549666,0.445814446398107,0.3691786931014712,0.4712306954310925,-0.4242897596477086,-0.10538007418337492,0.6343966361488313,-0.41132828754710893,0.09682921020884068,0.09087999433066425,-0.08697010930405066,0.3313137083312924,0.25459012243037443
HourlyMinTemperature,-0.021578592431196985,0.15674612058621618,0.21723502426187818,-0.020999032359024717,0.9532095055443502,1.0,-0.035527398171451154,0.8957220831116902,-0.09134176313028834,0.2263262907961637,-0.26806306826958787,0.27414638378122996,0.294726364958938,0.22923896504693927,0.11185746978049135,0.1603849556088066,0.006109539808602251,0.2618334892995964,0.061272449277859645,0.20607697780595474,0.38117805218701406,0.30869081072711907,0.4654676964924679,-0.38381362817445425,-0.1270886955208495,0.5903844468813889,-0.3684374309539779,0.08600824581358736,0.07976594230007465,-0.035455636782017415,0.2702193817886941,0.240596111143328
HDMinTemperature,0.05645621979047174,0.0835690964619392,0.10777936870828021,-0.03786802650114466,-0.10590545922284016,-0.035527398171451154,1.0,-0.14310161312582034,0.07255618966733329,0.028798008242652922,-0.06972219149033468,0.06906664736147626,0.06521121909888479,0.07136480791669714,-0.08481179918225498,0.02879157516832474,0.07837990093440815,0.06698946107841454,0.08760527186864503,-0.015975564627610864,-0.01609194713100019,-0.023652304395810203,-0.004543125683384232,0.09177458501057138,-0.06737718503423876,-0.015128732620322825,0.09090923759419224,-0.05945628109286356,-0.05988220223151954,0.08316108590056154,-0.07587527886212621,-0.017214004740176012
HourlyMaxTemperature,-0.055317846922423544,0.01792931120508015,0.08784049453296613,-0.11074434260432418,0.9837864428059894,0.8957220831116902,-0.14310161312582034,1.0,-0.16393392753048683,0.17727500657872952,-0.17207607190519536,0.18025678974283105,0.21106145595526096,0.12472144580621117,0.16801533791607529,0.13349401109233172,-0.08709288546393576,0.16033280604677883,0.027249175378346244,0.27283001740322477,0.47813317593271415,0.3980909617099223,0.44110514412531165,-0.43826678259931634,-0.08488978391387278,0.6366170598625385,-0.4262996311750103,0.09336705182411235,0.08786852585924056,-0.12737974670282684,0.34347578492081104,0.23742157932439986
Werkzame beroepsbevolking|Seizoengecorrigeerd,0.24536474130334576,0.06554044930928302,0.06127086966359421,0.039896851088966095,-0.1273762523486292,-0.09134176313028834,0.07255618966733329,-0.16393392753048683,1.0,0.856000644591553,-0.7063376259755715,0.7031048107348374,0.6780712814859566,0.705096656872679,-0.6641984771548243,0.6977423637248585,0.7097782360762777,0.671377769940655,0.7038287761743173,-0.7257146224277738,-0.5529643697555132,-0.2529178555919178,0.6623601092768019,0.058760821995814325,-0.03164787060526316,-0.05065441326887836,0.033436278616538695,0.35977870548054386,0.3701687319890873,0.671436583515736,0.4802328630997667,0.7519901840715617
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,0.22593027236330707,0.07391013623424039,0.1017833136733327,-0.003799107218050326,0.2106804833599784,0.2263262907961637,0.028798008242652922,0.17727500657872952,0.856000644591553,1.0,-0.8753588184430828,0.8740172557327811,0.8539588456916265,0.8598397546729603,-0.44797707976341056,0.8223307715609403,0.7729006210414242,0.8346311095039513,0.4842614803445303,-0.7289727381320117,-0.4195243127892729,-0.005743937661198873,0.8969890526683187,-0.23431796800636173,0.11639219591004599,0.18501366208717862,-0.26126327620397644,0.5391059784847689,0.5519336024450018,0.7245409744689411,0.5756189308072318,0.875770001053943
euro per kWh.1,-0.2236396388822118,-0.11968575465246403,-0.1674017001499503,-0.07256846899206175,-0.22131125875898924,-0.26806306826958787,-0.06972219149033468,-0.17207607190519536,-0.7063376259755715,-0.8753588184430828,1.0,-0.9992205999222055,-0.9794053559107033,-0.9783195917051409,0.48328077957984805,-0.7479355070741823,-0.8323332647132451,-0.96096015474973,-0.43831314095693313,0.5571924265480013,0.3163255015407412,-0.0035243595519963396,-0.8235071887292236,0.15140266541343203,-0.07561577324364177,-0.3032283522833957,0.1717379492562908,-0.29654030121772723,-0.3052222859735431,-0.7951771114939635,-0.171380172212062,-0.603813800829918
euro per m3.1,0.2234619419197114,0.1181577124708549,0.16622915321472137,0.07021794598125562,0.22880064973725306,0.27414638378122996,0.06906664736147626,0.18025678974283105,0.7031048107348374,0.8740172557327811,-0.9992205999222055,1.0,0.9866119481363335,0.969381999465984,-0.4864961513070376,0.762202759368536,0.8130273909506401,0.949707237545339,0.4558463298512782,-0.536041673747235,-0.29031407064288084,0.022955533317004746,0.8225704403415673,-0.1773127323103331,0.09065580794564171,0.3009756858695428,-0.19797477190874113,0.27617861939862415,0.28620027662736275,0.7739113586597655,0.16376315583134093,0.5915238257013239
euro per m3,0.21901650942575188,0.1098822741261778,0.15862405665341042,0.059340641933967056,0.25594289731721503,0.294726364958938,0.06521121909888479,0.21106145595526096,0.6780712814859566,0.8539588456916265,-0.9794053559107033,0.9866119481363335,1.0,0.916356990047842,-0.4917005775225362,0.808488733239214,0.7197628906657341,0.8874432926501458,0.5207134281085658,-0.4397553226063632,-0.1780270459446149,0.10285360201143334,0.8050389435339981,-0.28141457253500174,0.15128764180496318,0.28667022118113267,-0.3030834361912198,0.18746812839071458,0.20285816174150229,0.6731993199977869,0.1295738808552413,0.5309240599416907
