,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,euro per kWh.1,Natural gas index | (2010=100),"Natural gas, Europe | ($/mmbtu)",Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen,euro per m3.2,Month,"Natural gas, US | ($/mmbtu)",euro per kWh.2,Week,Year,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.07296205430035019,0.07997904740224214,0.09516060740781367,-0.0032498673213468858,0.07126627335847471,0.03146299124850109,-0.030296026822653425,-0.4777297363082852,0.4699266797895572,0.46961614303335086,0.4692745386008181,-0.4658367916009369,0.4619452013167076,0.460122218560296,-0.4497125308099864,0.44703913593794015,-0.4433581880391339,0.2312384984680043,0.09416131778662407,0.07468381374767998,-0.1972437427280493,-0.03192844234517448,-0.16383996296024705,0.11229863004125758,0.014741345682477787,0.08934499723754719,-0.18249794000716085,0.0520217041599639,-0.03332720639670957,-0.06649373492066137,0.3568121112849873,0.06731801946906533,0.3654086896656791,0.3466861844939975
DailyPrecipitation,0.07296205430035019,1.0,0.9438016729591774,0.5214997390249589,-0.017130121089079447,0.1875860892636916,0.10101281358901201,-0.14088310650174846,-0.12338253836500163,0.17740224919153164,0.18651899402062758,0.10923991488167739,-0.1206239944965592,0.08788514142993013,0.16017007846126408,-0.113063606352984,0.09587275470688539,-0.11529074279814527,0.24464530191888836,0.18300203845173815,-0.023077849434115047,-0.08805018607617049,-0.09519992487925849,-0.09739555279699603,-0.06678782520195843,-0.05003537140292161,0.03346949606910574,-0.09586899886049638,-0.06723710920774055,-0.05403887969259914,-0.05994975947614118,0.13396376195832235,0.11426887783347307,0.1778524777752513,0.1645808103160167
MaxHourlyPrecipitation,0.07997904740224214,0.9438016729591774,1.0,0.5718100014905013,0.03467712079800099,0.23004894090618952,0.11239908007643552,-0.08664427574532174,-0.09921517873738163,0.1480840894023396,0.15931026667054105,0.10920880926289987,-0.09416970596193028,0.0936702904127197,0.14345719978972088,-0.11876260743168168,0.10279987248607414,-0.08561564996149781,0.2500744332896896,0.1395700328054437,0.03548078773828114,-0.045500367240960245,-0.11765842254874422,-0.05308739065743355,-0.10887922986225958,-0.0932278146993649,0.010766483459557294,-0.06980368084356488,-0.10243063282085899,-0.014698370429143749,-0.024637326534932405,0.096149850500915,0.06443613743292621,0.16415697984475194,0.15560499267818856
HDMaxPrecipitation,0.09516060740781367,0.5214997390249589,0.5718100014905013,1.0,0.011495421145786602,0.17966398455249083,0.031349961358932824,-0.09342570020435441,-0.09961189424758184,0.1721388474636081,0.17668031522142838,0.08398492393678011,-0.0980273702839529,0.04171470028264923,0.15895336031375062,-0.08495248120249825,0.05203756598944659,-0.09469104186100828,0.24008079594154194,0.19851696959679221,-0.04572471610981924,-0.07445314704213947,0.013186941049711477,-0.0800011137815668,0.06564620232335908,-0.09384491135823152,0.0326126225605738,-0.07207072981885945,0.06793673442992935,-0.06281384065259486,-0.06948380275307611,0.10919974320381351,0.09531842007165878,0.15967873177423794,0.14799948789159825
DailyMeanTemperature,-0.0032498673213468858,-0.017130121089079447,0.03467712079800099,0.011495421145786602,1.0,0.8934796861029096,-0.05494093199571695,0.9583170788603667,0.19767284874395147,-0.367196369046008,-0.3765293435363847,0.12874457353477975,0.2353199688380345,0.15107337263458862,-0.17253721277939554,-0.23316638454537567,0.17752881441810112,0.2902409274697653,-0.08826998144274298,-0.6784988483452775,0.7679541105980721,0.5269301700302975,0.008038753999598693,0.5411510518047057,-0.19042067579060343,-0.14301019006091767,-0.12696071348074198,0.4334659949015458,-0.16897297629217434,0.6837972223599375,0.6507923216583082,-0.39174874959027145,-0.5652273727258261,-0.08985772004652842,-0.03753833190823744
HourlyMinTemperature,0.07126627335847471,0.1875860892636916,0.23004894090618952,0.17966398455249083,0.8934796861029096,1.0,0.05324894128061406,0.7538762139328992,0.07718330199602726,-0.1992166116199767,-0.19717674959383896,0.2165753805381299,0.11374388934166788,0.2056031279005252,-0.041802667668817725,-0.30634646001985416,0.22955402624472532,0.1681696083771184,0.1273229291164696,-0.46981601550418706,0.6889272429393567,0.41564469052451763,0.005631102391632895,0.4190482462617409,-0.1173475447204004,-0.13367705403528607,-0.05941965527455455,0.3264370610502739,-0.10597343079217698,0.5927097290447941,0.5548477504936751,-0.24300068514961393,-0.421561920922808,0.06752747112412559,0.10818029226214634
HDMinTemperature,0.03146299124850109,0.10101281358901201,0.11239908007643552,0.031349961358932824,-0.05494093199571695,0.05324894128061406,1.0,-0.10824075661739688,-0.04750819414624321,0.06975141659230205,0.05906851715164187,0.038777569237138966,-0.04719240689428712,0.015064285377583106,0.07540055967838737,-0.036183894783071456,0.012557234780010897,-0.04626491095065452,0.08535307116139026,0.08165590965395435,-0.03044122419341385,-0.049445519093341835,0.005445116451101291,-0.056737062303538796,0.013794974038343144,-0.0009814848592868308,-0.029442992503575165,-0.04971430777162089,0.008505245761067278,-0.0052656972575045044,-0.0003740844939516813,0.044978396629281096,0.038286554119147456,0.06872760663486309,0.06309719905117431
HourlyMaxTemperature,-0.030296026822653425,-0.14088310650174846,-0.08664427574532174,-0.09342570020435441,0.9583170788603667,0.7538762139328992,-0.10824075661739688,1.0,0.23535242862960093,-0.4132905928917963,-0.42602620462800267,0.07805873580490044,0.27020302640052335,0.1223483972207853,-0.21803689913180335,-0.17939252598878377,0.14583726234377653,0.320547150973298,-0.20758575751072555,-0.7406081117545854,0.7453162170357124,0.5362438874351815,-0.004675079237551712,0.559789729039899,-0.23611074357092704,-0.1438306977326769,-0.1503762407740427,0.4449764781387925,-0.21093649792468963,0.6664073134338784,0.6388951080019888,-0.43805458069352265,-0.6062235864053447,-0.16795585567604368,-0.11399985560789619
euro per kWh.1,-0.4777297363082852,-0.12338253836500163,-0.09921517873738163,-0.09961189424758184,0.19767284874395147,0.07718330199602726,-0.04750819414624321,0.23535242862960093,1.0,-0.8631943563338804,-0.8106481985066794,-0.8214507454598355,0.9975189297095269,-0.816427242004782,-0.8266017091107675,0.7206052116709171,-0.7870061979988606,0.9842811671587824,-0.28166519439269216,-0.29883328875619575,0.13841604341368768,0.7143469994341529,0.37739562374409635,0.6530730160600632,0.06258797560164757,-0.14857162844256983,-0.00898310115563092,0.6944998579658918,0.20213218807432534,0.29105372891865094,0.32804419637284465,-0.8774176940231861,-0.40218323943014833,-0.6308203922699427,-0.5793807318105818
Natural gas index | (2010=100),0.4699266797895572,0.17740224919153164,0.1480840894023396,0.1721388474636081,-0.367196369046008,-0.1992166116199767,0.06975141659230205,-0.4132905928917963,-0.8631943563338804,1.0,0.9697948418904465,0.6817893830426283,-0.8633173898576205,0.6055105103066891,0.9349375499958605,-0.5997179022796929,0.5842366958755691,-0.8553073240620803,0.45218853141183557,0.5544613269897233,-0.31262918179032195,-0.6364600406053941,-0.08469166747491419,-0.5922929139362575,0.09205699481607106,-0.09881459662914807,-0.001463501569037095,-0.5674907304978558,0.015579710335228201,-0.4484676070581147,-0.4738879938493662,0.7161651492256188,0.3212074444725786,0.6960468459909328,0.6379600392048621
