,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Week,Month,nat,Year,euro per kWh,euro per m3,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,WeekKey,Beroepsbevolking|Seizoengecorrigeerd,"Crude oil, Brent | ($/bbl)",Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.05099970633503551,0.05335112471645595,0.02745989164281112,-0.03861255765503958,0.02054766667304395,0.0535134886623643,-0.0656096430439112,0.4164418904993343,0.40752452397150973,0.4064305642023429,-0.3412958545850187,0.3206120580894155,0.278551770929867,-0.2646882684688272,-0.23152879271521637,0.19758170176737475,-0.17789573988918994,0.025873451933162143,0.16442532563992815,-0.009844821568545659,-0.002259865218061269,0.03381539388922331,0.009377531902430127,-0.11877110862045338,-0.09720676841220588,-0.012352834248328344,0.01143774154804034,0.02843537422490334,-0.0331551297528843,0.022913126335937783,,
DailyPrecipitation,0.05099970633503551,1.0,0.9483643165099543,0.4911939294135362,0.031673407313862416,0.15862848199147167,0.26163136253011743,-0.037030685034799685,0.07072655635147714,0.08204004603007797,0.006066612313752307,-0.07701797874418315,0.050513592614186996,0.040968864753950604,-0.028458867174959736,-0.0629542829717927,-0.017173259963910746,-0.03600218135592589,-0.02881551546877315,0.03406033461102179,-0.01884166953228137,-0.020735683672174047,0.007833266298576298,-0.0018250870505933656,-0.05648289467762987,-0.06835643831006519,-0.016293584421612172,0.0043391717496274705,0.008224882367756559,-0.02849497952951201,-0.006237621849682034,,
MaxHourlyPrecipitation,0.05335112471645595,0.9483643165099543,1.0,0.49533047417272247,0.08554647444352691,0.1981245409635288,0.2546843896680602,0.025008247273469446,0.07976708808995882,0.09190738589841817,-0.019748404963969585,-0.03932575848315963,0.09742709870215738,0.09272823381480264,0.020342655192698074,-0.01204129645802064,0.03071166387291079,0.011460390464664407,0.026939572848472954,-0.019549639172793665,0.04388583929363007,0.044239730181140906,-0.03632049035693704,-0.031073757834920782,-0.11399959689733333,-0.02283000010382547,-0.046324770158938856,0.06565848894214127,0.06962021332474445,0.016129290924598357,0.042548874763265965,,
HDMaxPrecipitation,0.02745989164281112,0.4911939294135362,0.49533047417272247,1.0,0.004852303832241943,0.10782872816941169,0.006325131063077259,-0.06317360184714024,0.05274548154658142,0.03659548474591563,0.03155960062765595,-0.09090643527428978,-0.0006773128573893086,-0.01209029143549163,0.012580507692781167,-0.08846078621904528,-0.04807436822170186,-0.09437403325523173,-0.07580838722654977,0.08880824243214015,-0.06477120442020544,-0.06055808961989621,0.04259998120517773,0.006860145291941726,0.024850704181290068,-0.07181793022458961,0.024984295390241915,-0.046060247991245674,-0.04264989624687288,-0.043113940108126504,-0.03854852605795835,,
DailyMeanTemperature,-0.03861255765503958,0.031673407313862416,0.08554647444352691,0.004852303832241943,1.0,0.9315339655678446,-0.054169435614365845,0.969469266258596,0.2661769264223061,0.30447700665601135,-0.15038986505887397,0.2114712815955667,0.4982142396436342,0.5259750286927243,0.3906161462571584,0.38486771379183443,0.4935296531851233,0.4631993403209864,0.5480650385007976,-0.4987516306477436,0.5519443003715515,0.6017757157941782,-0.5004012742872428,-0.011435392691841765,-0.5543125641303281,0.3825021327055137,-0.4088298849765572,0.47107095674865096,0.47412707500185536,0.16642815378301334,0.2822884085970727,,
HourlyMinTemperature,0.02054766667304395,0.15862848199147167,0.1981245409635288,0.10782872816941169,0.9315339655678446,1.0,0.018036486432425815,0.834269589562092,0.32152502266793903,0.35068750396404946,-0.060833580119451204,0.11815875656914174,0.532907632458961,0.5490396814302334,0.3228239268040664,0.2946212147552017,0.4893843425173078,0.36914259486011164,0.49750238143891046,-0.4085629383622263,0.4916456180413706,0.5429891295624935,-0.4226629324915392,0.00013479520643214457,-0.5121492599281512,0.32466040060594736,-0.3496795766508305,0.4195718539646588,0.42595809916775124,0.12393541335081686,0.24149453584847358,,
HDMinTemperature,0.0535134886623643,0.26163136253011743,0.2546843896680602,0.006325131063077259,-0.054169435614365845,0.018036486432425815,1.0,-0.093777110471074,0.05814939730577056,0.07408183567835835,0.027542475681383485,-0.09086094741775423,0.027564680964387713,0.016226295904198967,-0.05313286430400259,-0.08591575143806009,-0.005846331144119154,-0.0740171025487842,-0.03470355241832545,0.058450683251160075,-0.040666461911692764,-0.037495070670645336,0.0333661935690418,0.010195653975096494,0.009651088868906775,-0.0724740556329241,0.009674903684095728,-0.03684600371364042,-0.03344051665752053,-0.02642203741036878,-0.030575578136095818,,
HourlyMaxTemperature,-0.0656096430439112,-0.037030685034799685,0.025008247273469446,-0.06317360184714024,0.969469266258596,0.834269589562092,-0.093777110471074,1.0,0.20618022195193011,0.25227780331518873,-0.1910007380925133,0.26622658032069857,0.4538427000034504,0.48836860218844597,0.40696603044502216,0.425150932603117,0.4787657820064293,0.5000189438080351,0.555336500032997,-0.5279652787731847,0.5644087562445924,0.6093059685741197,-0.5280325208457631,-0.030924429074497394,-0.549485363692608,0.4107847929455444,-0.42593919866133184,0.4856728497076812,0.48637965635329605,0.2014469397026392,0.3057365961674761,,
Week,0.4164418904993343,0.07072655635147714,0.07976708808995882,0.05274548154658142,0.2661769264223061,0.32152502266793903,0.05814939730577056,0.20618022195193011,1.0,0.9539122927291661,0.5115619528052665,-0.6569004734084154,0.654614148224936,0.5737512089076685,-0.5475046599827718,-0.3542322509620668,0.40020960026531716,-0.17263357735002974,0.15041508112952867,0.15099808833222605,0.028081497029188055,0.056960460954264054,-0.16891995814482066,0.19983884562208754,-0.3193273601274314,-0.20248096437141835,-0.3020985942519216,0.07059210749828847,0.10309757936438572,-0.11908629542553509,-0.019831450610286756,,
Month,0.40752452397150973,0.08204004603007797,0.09190738589841817,0.03659548474591563,0.30447700665601135,0.35068750396404946,0.07408183567835835,0.25227780331518873,0.9539122927291661,1.0,0.46796262992591625,-0.6534570536435521,0.6917052687211748,0.6113650428217334,-0.5659589537430447,-0.3711857331007534,0.43641843089138777,-0.12847607740752487,0.19102827001115344,0.11425026466383179,0.05638611735266879,0.08642035107518087,-0.24601819190277088,0.2042925304096019,-0.36363538393220557,-0.17967389226164251,-0.380529351859132,0.1032103062007978,0.13623693757635938,-0.10555660938469194,-0.003929927657514091,,
