,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Week,Month,"Crude oil, WTI | ($/bbl)","Crude oil, average | ($/bbl)","Crude oil, Dubai | ($/bbl)","Crude oil, Brent | ($/bbl)",Werkloze beroepsbevolking|Seizoengecorrigeerd,"Coal, South African ** | ($/mt)","Coal, Australian | ($/mt)",euro per kWh.1,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.1114987801080917,0.10721014071765685,0.11567076971557222,-0.16345295245284366,-0.08661464471621978,0.0987373849502098,-0.19760819493410564,0.43233370951054395,0.4315404742924959,-0.4279471604474047,-0.42546070351667403,-0.4230400179504377,-0.42048541637694586,0.35886776701334877,-0.32919865082352623,-0.32791916332770266,-0.3192717353553769,0.0640686969333026,-0.022425741407078842,-0.27383025727210525,-0.18900924092950963,-0.22614286960880725,0.01520771981285222,0.029995103114379907,0.14318052233941636,-0.2770100627110846,-0.019571794574794625,0.06214966139993441,-0.05430890020496144,,,,
DailyPrecipitation,0.1114987801080917,1.0,0.9535705523576699,0.5380418084208677,-0.11282863749381834,0.05748221402934068,0.15617100910980936,-0.1978411553986601,0.08267988445869598,0.06465080375947375,-0.13737283404570264,-0.1461768859407353,-0.15352594615051116,-0.1457119612035902,0.07189031027783825,-0.049749357544499766,-0.050590728242882105,-0.05368448551523728,-0.004983555877009554,-0.02317229066603641,-0.09106446308915979,-0.1125217532829329,-0.05152180870395388,-0.02006890989419673,0.015157685261407039,0.09337466381849034,-0.13157401608544853,-0.039482885554057,-0.03843800511405975,-0.0728544899318466,,,,
MaxHourlyPrecipitation,0.10721014071765685,0.9535705523576699,1.0,0.5548268177143643,-0.08527660987929145,0.07505712411220121,0.18050622856031526,-0.1673818419155311,0.056724268667987,0.03620653391760923,-0.11045311461734499,-0.1197920762456943,-0.1271998490453913,-0.12007984198367068,0.05701577556065251,-0.03191864269473837,-0.02972668744551059,-0.023127698592258158,-0.00035732481635230304,-0.01461579033139323,-0.06286495290597603,-0.08680268341571207,-0.053831638763187355,-0.03229847863243512,-0.03806206565438148,0.10367228664081381,-0.1035464825527022,-0.04961724631696353,-0.026124806612104128,-0.06236334516526213,,,,
HDMaxPrecipitation,0.11567076971557222,0.5380418084208677,0.5548268177143643,1.0,-0.10663888083921325,0.047595286414007176,0.08236487645198927,-0.19575081858826432,0.14016144412050838,0.10047132825055745,-0.17632010365658682,-0.18824111470290633,-0.19850012747942247,-0.1874302872080636,0.07933715716545559,-0.1033002733697853,-0.104931324705477,-0.10715299239175688,-0.027272098984538674,-0.04807701047164567,-0.14444033400090117,-0.08565836329813874,-0.04450762681530586,-0.017390508642104275,-0.00253852397807141,0.0721545944132316,-0.18443333463913486,-0.045627936470805756,-0.05788165292052571,-0.10835849668909782,,,,
DailyMeanTemperature,-0.16345295245284366,-0.11282863749381834,-0.08527660987929145,-0.10663888083921325,1.0,0.9001126346351216,-0.08550137791912227,0.9628088601176359,0.12187768559787963,0.12097365507870005,0.38449550689333895,0.437107867316222,0.47459979543384995,0.4455465430494859,0.18033936059336136,0.3308773872383898,0.356918174762052,0.3585554933186745,0.4888722777429485,0.46685177687958657,0.6485764448931071,-0.2572197087452986,-0.30917678107543717,-0.3331404295840121,-0.0991493535537153,0.5060602622825179,0.6418784578624905,-0.23451076867105303,0.4605552180676355,0.5330407585083071,,,,
HourlyMinTemperature,-0.08661464471621978,0.05748221402934068,0.07505712411220121,0.047595286414007176,0.9001126346351216,1.0,0.011400094387731716,0.7752474738542675,0.20042333436607573,0.18621509974702025,0.1994301599213719,0.2426672126531755,0.27353418484495967,0.25090617066907966,0.2707634332678278,0.21326051583439826,0.2332420150729647,0.2393896681171663,0.4185508513372359,0.37089983780522273,0.49327158053309134,-0.2598839458081663,-0.32085767987699765,-0.23319422867059972,-0.11872247381148156,0.49859820890005707,0.5005507638259857,-0.1556903686232166,0.3848111708475962,0.43041000442455557,,,,
HDMinTemperature,0.0987373849502098,0.15617100910980936,0.18050622856031526,0.08236487645198927,-0.08550137791912227,0.011400094387731716,1.0,-0.14960840393638333,0.053294682380068056,0.04725715091228042,-0.08175340704210549,-0.08460533212015585,-0.08885277874058953,-0.08223870287337616,0.0525311603257322,-0.004328355436462457,-0.007580576940598842,-0.008604531562667904,0.038008204798904835,0.026918562544955116,-0.03317007255367719,-0.0580584483836629,-0.07493004624252922,0.05041976843756553,-0.0039038707658107545,0.03608545993521702,-0.05500877704049137,0.04246013895786147,0.025673781748195394,0.007384290227829506,,,,
HourlyMaxTemperature,-0.19760819493410564,-0.1978411553986601,-0.1673818419155311,-0.19575081858826432,0.9628088601176359,0.7752474738542675,-0.14960840393638333,1.0,0.06269431785931888,0.07023530458207099,0.4611217191671414,0.515713707146286,0.5553900911286634,0.5230072971531271,0.11304433214916915,0.38147219152342643,0.40952531005589393,0.4080271256333485,0.4981045567145485,0.4930406491170504,0.6907141391001906,-0.24428106343377065,-0.2844238313142819,-0.372064648828693,-0.06933351077095541,0.46814782789932974,0.6718372786194725,-0.2687236088768431,0.48427336491735273,0.5599163808949232,,,,
Week,0.43233370951054395,0.08267988445869598,0.056724268667987,0.14016144412050838,0.12187768559787963,0.20042333436607573,0.053294682380068056,0.06269431785931888,1.0,0.9698922741519169,-0.5567649659934283,-0.5285659817223652,-0.5114030515734861,-0.5123595032236515,0.6738222127892086,-0.5117126762244446,-0.5035472760551588,-0.5405178792123186,0.34299487656564853,0.1906940747166211,-0.28397776850595396,-0.5994131453502419,-0.48147205058923387,-0.22332836160214609,0.3583014594436644,0.473576308432828,-0.34250043666261015,-0.24994638404755157,0.22996469273705736,0.08784108353710132,,,,
Month,0.4315404742924959,0.06465080375947375,0.03620653391760923,0.10047132825055745,0.12097365507870005,0.18621509974702025,0.04725715091228042,0.07023530458207099,0.9698922741519169,1.0,-0.5414741104870703,-0.5112003589913896,-0.49288250771199094,-0.4943537049472445,0.6692081614181802,-0.516627084620358,-0.5056758500160571,-0.5465016495893755,0.36496084490233516,0.21466867716428004,-0.27867523238899083,-0.6357918218383334,-0.4894089036886848,-0.2795008694088665,0.3989129205956291,0.4996883294801508,-0.3500508598444151,-0.30591221157383214,0.24050178178322734,0.09614778357294534,,,,
