,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,"Liquefied natural gas, Japan | ($/mmbtu)",Beroepsbevolking|Seizoengecorrigeerd,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden,"Natural gas, US | ($/mmbtu)",Jaarmutatie CPI | %,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Bedrijven en huishoudens,Natural gas index | (2010=100),Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal
LoadConsumption,1.0,0.04421229555270539,0.015581839605740675,0.05627265807418809,-0.15142644293612378,-0.12116091336636237,0.025539942283812154,-0.16117916321262815,-0.29008951947443656,-0.2775255930093679,-0.26238176704884997,0.25304276828952094,-0.24501302303069727,-0.24161008604466913,0.2388770921664912,0.235181481696657,-0.23415589439861317,0.23105124520112158,0.053472471885884706,0.1906852987066982,-0.22362593412550705,0.03807164985494044,-0.1367777679648967,0.12208656939425054,0.031226294383597406,0.07526183387130787,-0.1694945796866001,0.10428815538889775,0.17082122270213518,0.07624794996037963,-0.08875281342813882,-0.10576473547058207
DailyPrecipitation,0.04421229555270539,1.0,0.9194345800319884,0.3955909976617391,0.03880871134619316,0.12694299235898718,0.07551857201922413,-0.0015300769638937443,-0.08017252007495357,-0.17191613631154076,-0.03317571346984044,0.08862505330272868,-0.06257421261273949,-0.025048541042092243,0.06229427669549219,0.03137165350357326,-0.03411477167231497,0.04901100818697023,0.0819772459986481,0.03675102287030855,-0.06165811336826018,0.014040955918544902,-0.05150024316896862,0.08679782462876957,0.1101414424288448,0.1627181480286574,-0.02378368960824092,0.03509319863687726,-0.015409016935801679,-0.049502938594890744,0.024457262186923834,0.06302375148812334
MaxHourlyPrecipitation,0.015581839605740675,0.9194345800319884,1.0,0.4297083529160072,0.12178804560013438,0.19875621871796875,0.07944353547431218,0.0846891272575353,-0.029174650982140348,-0.13889989080790638,0.028841967092310086,0.032714827958262326,-0.04244261630792694,0.05034366254373758,0.016942077084018393,-0.03858808782459095,0.004099063223633121,-0.005292406602850523,0.13590644379512096,-0.035688838694571116,-0.018931277088055826,-0.015277215316840438,-0.06340236264303611,0.037152325894896594,0.06059699407142259,0.1006298962821835,-0.012937111760297777,-0.003526200767474623,-0.0633481608205925,-0.04937865189630871,0.08316140679943101,0.09276728419364302
HDMaxPrecipitation,0.05627265807418809,0.3955909976617391,0.4297083529160072,1.0,-0.01345382032381753,0.04905373847253908,-0.09788645071643612,-0.051478181541194816,-0.09431663826925528,-0.15307957583059406,-0.0626049400168511,0.07216883644857149,-0.06113218732043469,-0.06689525673052438,0.08338830054822831,0.07242725182195758,-0.060661336649332306,0.07943871240450037,-0.03922924187121293,0.08042384381183099,-0.08085753779040401,-0.0256900941788344,-0.041226666279461296,0.10173739531961952,-0.025460870094555655,0.07571508966345245,-0.044923213018439725,0.08127847441869887,0.02545583803787975,-0.03877807266650095,-0.037296039651893306,0.014056084254944567
DailyMeanTemperature,-0.15142644293612378,0.03880871134619316,0.12178804560013438,-0.01345382032381753,1.0,0.944022160935161,-0.07843352470129347,0.9782922397435069,0.47576987192082243,0.3293291415422566,0.6101402729656429,-0.44539262570970445,0.16167218330686145,0.7205023875430434,-0.39904916900024767,-0.7084229268217355,0.353418863195297,-0.4747381701798198,0.5780141808240596,-0.6506856168899225,0.4051736644201561,-0.11874919065231382,-0.02427366724100269,-0.3526276257502245,-0.07784405521196427,-0.201843781918702,0.2054136709582428,-0.35693470218390266,-0.561172875281803,-0.17930230757421273,0.5703226952377255,0.27118703294698276
HourlyMinTemperature,-0.12116091336636237,0.12694299235898718,0.19875621871796875,0.04905373847253908,0.944022160935161,1.0,-0.022164378219458682,0.8712485243654076,0.3839150550958173,0.2422104232260799,0.5352085048447214,-0.36387002966819554,0.10225403830007271,0.6242744897041898,-0.3116423096957231,-0.6141216358869083,0.2776559386293006,-0.3872968636876523,0.5401371293419189,-0.5633454417732566,0.3256673118392633,-0.09740279502880626,-0.060989039194810954,-0.2938230122497139,-0.06668966039040929,-0.15732779912465839,0.15308265893203338,-0.30441288981427844,-0.49729768359663296,-0.17820281234106794,0.5037365863480467,0.2286019058570022
HDMinTemperature,0.025539942283812154,0.07551857201922413,0.07944353547431218,-0.09788645071643612,-0.07843352470129347,-0.022164378219458682,1.0,-0.12048479476855299,-0.07922315659955084,-0.10417931878084151,-0.0936902418944766,0.08850690201412306,-0.03904288972722584,-0.08204524411467991,0.08126746442645731,0.07184591067204787,-0.05016987626228341,0.07984839686687507,0.005636766725331681,0.07332993685764001,-0.06851458610608756,0.048542196751055824,-0.027781911945035834,0.051911485551234905,0.019044349448819966,0.05069717260410387,-0.0268438102303053,0.04586025061709513,0.07664807133112665,0.04574763021132936,-0.06699030638675803,-0.003282727190902571
HourlyMaxTemperature,-0.16117916321262815,-0.0015300769638937443,0.0846891272575353,-0.051478181541194816,0.9782922397435069,0.8712485243654076,-0.12048479476855299,1.0,0.49822013548902266,0.36221223319840723,0.6195051929964571,-0.4613299107167765,0.18065903641151504,0.7333612624017184,-0.4254778294181426,-0.7151639077892589,0.3701908141771973,-0.4977492090718533,0.5708071737906231,-0.6608597284685506,0.422799897153276,-0.12290939078698145,-0.014125887452698582,-0.3859795758506233,-0.0822187444141751,-0.23323257642231712,0.21172197289164682,-0.38308976369745046,-0.5547075210567458,-0.15013603748228516,0.57998677543717,0.2716540983176254
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal,-0.29008951947443656,-0.08017252007495357,-0.029174650982140348,-0.09431663826925528,0.47576987192082243,0.3839150550958173,-0.07922315659955084,0.49822013548902266,1.0,0.7979734091174218,0.7573619883505716,-0.7954215407724449,0.8721313130557622,0.8812204938893773,-0.8650202457224849,-0.8861239507348794,0.8720301696141995,-0.8581123645312937,-0.00921377250208644,-0.6728593218815685,0.7487511649167138,-0.10776684238988263,0.534756260289362,-0.18362897277154713,-0.08629119686199348,-0.10541650569137444,0.639759838937405,-0.1627198830172542,-0.6853792847331543,-0.3831441153220523,0.33135497949937087,0.5330943731625547
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,-0.2775255930093679,-0.17191613631154076,-0.13889989080790638,-0.15307957583059406,0.3293291415422566,0.2422104232260799,-0.10417931878084151,0.36221223319840723,0.7979734091174218,1.0,0.6917006834800196,-0.7585287294637011,0.553282038496617,0.677769660252528,-0.7493215745666153,-0.6737758195625747,0.5484355124558066,-0.7205490376441367,-0.14390930444672828,-0.5823968773363536,0.6079856399555601,-0.30807839676616866,0.3983022855888145,-0.20454546801640586,-0.24630153799181165,-0.3608193577381623,0.4136564883256256,-0.12628067546764796,-0.5665067111220232,-0.328578361793293,0.3339979714598599,0.0686308304882382
