,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Overheid,euro per kWh.1,euro per m3,Week,Month,"Liquefied natural gas, Japan | ($/mmbtu)",Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,"Coal, South African ** | ($/mt)",Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal
LoadConsumption,1.0,0.044309599150976306,0.030208882124708587,0.0676507450774726,-0.02784139893458234,0.0023378074045386013,-0.011425216955688246,-0.05167577802521386,0.22191240546350305,-0.22171680720507547,0.22046694778853237,0.21677780828761134,0.19973299299421632,0.1872108783532429,-0.18206428058488133,0.17424969402529908,-0.1740784972749238,0.1688696084829091,-0.15429643229955958,-0.15511723724745957,0.11407847649710315,-0.07592671417001645,-0.015421349341547371,-0.04678348392513737,0.0732516150209677,-0.03799093468310396,-0.1143446872665565,0.0016367936756060781,0.05934664818263153,-0.05834983303697462,-0.04860263152307219,0.04454216394751104,-0.00146237117559851,0.03175204981864125
DailyPrecipitation,0.044309599150976306,1.0,0.9262539576488572,0.4585130389316535,-0.01931425583363437,0.14147490745858635,0.0755828591799157,-0.10455739281595912,0.007776683625678121,-0.09653787633062803,0.09752272740834912,0.010269148922369308,-0.013786983349539386,0.04897874695989917,0.02766682484902483,0.008308037327271414,-0.03910527868723858,0.0048868915392525575,-0.10808706889550491,-0.04003274869860287,-0.02433181188640711,0.01835194107254378,0.04431420815618993,0.025238354252510396,0.03813719012305872,-0.12172360077579136,0.09089242878861133,0.053902734479759504,0.06275426244688327,-0.0723138752353322,-0.07101100370534139,0.002206238276927606,0.018584591394732265,-0.05047559314443587
MaxHourlyPrecipitation,0.030208882124708587,0.9262539576488572,1.0,0.47666781393557495,0.052860398335807364,0.19334961228914857,0.12025731819143383,-0.024083421767329805,0.00197698314582768,-0.0889190362664693,0.0894268503755718,0.013171258294415783,-0.001356261150578563,0.033198678446514696,0.047672892023536674,0.050353465787701564,0.031068359304719323,0.04902650166670737,-0.06495613683165093,-0.019437806929491378,-0.02228435803446837,-0.0008079669008272466,0.050347599611459466,-0.002846903732474384,0.021396947770648808,-0.12550790160206704,0.11010697717085241,0.0364494432698481,0.04049941457990651,0.0014762546133665953,0.0021757604358095873,-0.010794930429775348,0.0011905893395475875,-0.09907213185975576
HDMaxPrecipitation,0.0676507450774726,0.4585130389316535,0.47666781393557495,1.0,-0.08261040440605691,0.018766140618654618,-0.020381625799554964,-0.143190845599496,0.012960413074352027,-0.053258066321128526,0.054325154375070274,0.027685012578813475,-0.0031982619955033915,0.02087601996677397,-0.028224668031992514,-0.028499340861412956,-0.09789100095621853,-0.030624458784840936,-0.10092174892353985,-0.024850159398322417,-0.04327201760842494,0.06099302761007531,0.06581754149803185,0.09565340172359058,0.07500057184975172,-0.03410333597552207,-0.029944065343691265,0.06433271287976222,0.08812481931264857,-0.13415129267102172,-0.1327347186496502,-0.018783428123454734,-0.002568327335294822,0.01710668191875565
DailyMeanTemperature,-0.02784139893458234,-0.01931425583363437,0.052860398335807364,-0.08261040440605691,1.0,0.914369162232692,-0.04310495697225687,0.9652630579205478,0.24160574195346832,-0.14508573870255387,0.1373212274814549,0.3107887231846244,0.34637893418048593,0.1552557878358816,0.0015820753804086016,0.5499556842975137,0.603409379196373,0.5549729173544384,0.15041828111199324,-0.0979357290839321,0.2682020636383965,-0.4222938827246566,-0.14711298224894173,-0.5247605984522499,-0.2737793960583943,-0.03749322412042595,0.22738933618064922,-0.3523105983553899,-0.3301626684014367,0.6442875179976356,0.6557052629018177,0.143542980750193,0.055008274854449035,-0.272543317000493
HourlyMinTemperature,0.0023378074045386013,0.14147490745858635,0.19334961228914857,0.018766140618654618,0.914369162232692,1.0,0.05161365220600726,0.8031486107146819,0.2851947979787558,-0.2367335563450393,0.23012914182886093,0.3671290256404018,0.3909416752413936,0.17379149604891897,-0.06305957446880191,0.5479317273229678,0.4617490412927553,0.5508620194319794,0.059440588162133455,-0.10698622677241587,0.210127247850795,-0.36639178068378453,-0.14525008714666154,-0.45706130542268436,-0.18067734980248024,0.024146439817904725,0.11169857446818722,-0.28916909575319133,-0.2559530437803447,0.5054315579960961,0.5185121382128195,0.1269565675369982,0.0482563696464734,-0.26011905712828975
HDMinTemperature,-0.011425216955688246,0.0755828591799157,0.12025731819143383,-0.020381625799554964,-0.04310495697225687,0.05161365220600726,1.0,-0.08868044052492177,0.020667138235224886,-0.006321783030898763,0.005801767748302347,0.0038396591145898437,-0.005296740833138451,0.04225300079493205,0.001507742242290334,0.0026323009133091355,0.011548163293533486,0.0002722550542976048,-0.03639125438938586,-0.04927344271320766,0.04654605040600594,-0.04231731947683378,0.0031726125149520524,-0.04457440452734568,0.004796233327455915,-0.011634186917015005,0.017098666458123135,-0.021131074386904487,0.00942396923484547,0.007046025871388273,0.009221262404561519,0.05367641026925215,0.05148104294211591,0.02931502848386599
HourlyMaxTemperature,-0.05167577802521386,-0.10455739281595912,-0.024083421767329805,-0.143190845599496,0.9652630579205478,0.8031486107146819,-0.08868044052492177,1.0,0.1842124921163543,-0.10288231047360477,0.09557077972980957,0.25104744222897324,0.29404312305104124,0.12099662365144155,0.05487870336333087,0.5120435422427876,0.6310238186944075,0.518299190427076,0.20858601201603802,-0.05966180275595797,0.2558736267082482,-0.4009380049257175,-0.14550558957523782,-0.5073013209613553,-0.3200782644512681,-0.06910163949427499,0.28105784019621133,-0.3413246184879478,-0.3648566782560891,0.6860147088380649,0.6944141720573647,0.11884546590720538,0.03385728843986384,-0.29692980563883137
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Overheid,0.22191240546350305,0.007776683625678121,0.00197698314582768,0.012960413074352027,0.24160574195346832,0.2851947979787558,0.020667138235224886,0.1842124921163543,1.0,-0.6172321609827701,0.6047216483309036,0.9044903742458817,0.9299668604412233,0.7478624281190345,-0.7987323136273689,0.8146075388361125,-0.04598796125220046,0.7958102997943106,-0.4184470028587509,-0.6788707137963881,0.7015235324155796,-0.6883314142777337,-0.4237545826032403,-0.601376211209104,-0.1676459734877347,0.16464137259751,-0.4219931915330643,-0.4441860640752479,-0.268608897668725,0.11286029337847336,0.16242734273734685,0.507800701888443,0.30886607773787417,0.34702369044907516
euro per kWh.1,-0.22171680720507547,-0.09653787633062803,-0.0889190362664693,-0.053258066321128526,-0.14508573870255387,-0.2367335563450393,-0.006321783030898763,-0.10288231047360477,-0.6172321609827701,1.0,-0.9998392812993225,-0.6556373812276567,-0.6775121326188837,-0.5041596025621866,0.37224870879733774,-0.7117230033070793,0.4425902486602929,-0.6972529498542004,0.33623371098751026,0.28824002985447195,-0.17283913152413244,0.16754663779091855,0.16779130583505186,0.1917642591860527,-0.04669179060578059,0.019312663194890122,0.25824337597332203,-0.05820415306621136,0.07392345083105686,-0.17430636697328725,-0.19567660204639636,-0.038284626728257144,0.09936527346713724,0.3749582147795618
