,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,Month,Week,euro per kWh.2,Year,euro per m3,euro per m3.2,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal
LoadConsumption,1.0,-0.004512257205442464,0.0014364931230382873,0.007355537844845037,-0.07510168990962743,-0.05139409983006324,0.004870585662931214,-0.07799163156426155,-0.27510355985723217,0.26778952945413,0.2675109492750507,0.26291335082048894,-0.2585215225718686,0.2570470919336286,-0.25037343589615185,-0.2449149544694263,-0.24152781824841013,0.2358548453009951,-0.18273133735411964,-0.16260007688795675,0.14334807733014276,-0.18114569262854022,-0.09798216768248157,-0.16792162319721454,0.020098433225671116,0.0011990492407055334,-0.01641785352626981,-0.20594693546329454,-0.009598724323033554,-0.21054743665761522,-0.2072087579214237,-0.14590781453768556,-0.14565162409299293,-0.1022842106817786
DailyPrecipitation,-0.004512257205442464,1.0,0.9459473749602262,0.49788295595054594,0.03337744436604584,0.15325766670859925,0.07692305328198351,-0.04214836110975852,-0.005132950466420304,-0.05533994144122821,-0.06054006166244088,-0.0082283778961378,-0.011651941924633995,0.0030615400109711304,-0.033010693251404384,0.026274615529240028,-0.07434341614550219,-0.03382240385030162,-0.048397356267993547,-0.0750151677487643,0.09180157398462382,-0.06229254961230543,0.06769150474844672,-0.09169005028541953,-0.040128092064182753,-0.014658701746755013,0.029653354956192528,-0.049573960873487595,-0.01051620081652166,-0.06291947043949789,-0.0625439373958798,-0.0472319928026704,-0.0385677247320781,-0.10878625707540103
MaxHourlyPrecipitation,0.0014364931230382873,0.9459473749602262,1.0,0.5437621646386563,0.09053821540229764,0.20370589936273023,0.08128876097670094,0.020924275293214032,-0.020880344793592315,-0.035338641467727215,-0.0404969041804556,0.007921411971730444,-0.031510561894355554,0.020926358946274176,-0.05660917694567996,-0.00013331310282852087,-0.09146074289383797,-0.006847964655569817,-0.059235415726607524,-0.0898906909463689,0.10952358747430863,-0.0787211274858363,0.05450504125118483,-0.10936080810864413,-0.05427225721915332,0.002431265128972179,0.00842741390861203,-0.0592355129879686,-0.03595291109242765,-0.06669640955045696,-0.06578319635367569,-0.08464649390217979,-0.07586097928459883,-0.1390105055629329
HDMaxPrecipitation,0.007355537844845037,0.49788295595054594,0.5437621646386563,1.0,-0.03402430770971002,0.059795240069509537,0.0009631241892750553,-0.09411557703930347,0.0062300826939245095,-0.024757902196856408,-0.013598492021396543,-0.02298888203095601,0.010649152935186472,-0.014853442466434713,-0.002911867954156869,0.04216866087083194,-0.04718601900070933,-0.030635166379844325,-0.024253306723359406,-0.019830480150809012,0.01597181159361317,-0.029200128044352194,-0.03334677696002077,-0.03334387040242741,-0.06983122099817676,0.05185591998365078,0.02538213454156777,-0.05775421271413634,-0.06295962011793983,-0.04137702364232728,-0.04182805898349369,0.03981034014973745,0.04257122877773317,-0.06430394756415825
DailyMeanTemperature,-0.07510168990962743,0.03337744436604584,0.09053821540229764,-0.03402430770971002,1.0,0.9378709090875876,-0.020342546230829917,0.9743423446401082,-0.10949817580619649,0.17096558485877325,0.15648392806575087,0.15383092475092203,-0.18684609755602039,0.23386674550335187,-0.224979862058952,-0.29915396953259343,-0.05610547334754809,0.2760677154235052,-0.08007567985351847,-0.16333069841619458,0.22419892608206363,-0.13650247498351917,-0.024788699713235763,-0.1539752957193666,-0.3209709174949621,0.03500302128073626,-0.08715694001383738,0.02503340093257188,-0.39349435089435436,0.046467944452682194,0.05380789564125377,-0.5442386196451732,-0.536565536549236,-0.1597950183853554
HourlyMinTemperature,-0.05139409983006324,0.15325766670859925,0.20370589936273023,0.059795240069509537,0.9378709090875876,1.0,0.03897610277344288,0.8558783805145675,-0.15826381710730386,0.18303403350895409,0.1721694345566464,0.19733738474508297,-0.23018236852501908,0.2546508083362246,-0.2658714351894003,-0.3181111429704689,-0.12000782557842495,0.27401068485127444,-0.14396230059632806,-0.22211534326128254,0.27742536536059464,-0.19651987954761016,-0.027895783004157737,-0.2141041054387139,-0.28079941578435946,0.05353266073271917,-0.08976611863984979,-0.0448380299775271,-0.35394639274645695,-0.038174972903264125,-0.03138678601269009,-0.5402332166848286,-0.5358068430153665,-0.20608757055016544
HDMinTemperature,0.004870585662931214,0.07692305328198351,0.08128876097670094,0.0009631241892750553,-0.020342546230829917,0.03897610277344288,1.0,-0.05443460727855631,-0.013651126453871282,0.03019480481651608,0.033271660353288914,0.012031937794281215,-0.010788798011831868,0.02670121421039203,-0.010491857613617267,-0.025621583900190124,0.002314876359027603,0.04716781108326125,0.01094527373203516,0.00897897474402443,-0.007891628638825064,0.0026620871180346264,-0.026837042719951697,-0.0004055099702568925,-0.022288505062321304,-0.018149464509199534,-0.07626249819399168,-0.017142323131075967,-0.022033834270146824,0.028839402035015872,0.02980937320933758,0.000940772550479742,0.0013601700521238195,0.016165924772357138
HourlyMaxTemperature,-0.07799163156426155,-0.04214836110975852,0.020924275293214032,-0.09411557703930347,0.9743423446401082,0.8558783805145675,-0.05443460727855631,1.0,-0.0773283027502656,0.15218059921539634,0.1366262571570199,0.12421315534223558,-0.1541563655784706,0.2073657324369769,-0.18973751135350742,-0.2728571720580099,-0.01603692073044465,0.25552483937397413,-0.04505844858520633,-0.12486611811774749,0.18427814690744804,-0.0975752350589311,-0.017848961004495702,-0.11385173504091126,-0.3210451717595499,0.01722923365869904,-0.06786529765861733,0.06711100130483395,-0.38803438921081773,0.08761943987860883,0.0943477656933853,-0.5213164880428461,-0.5126354120058986,-0.12251236237326973
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,-0.27510355985723217,-0.005132950466420304,-0.020880344793592315,0.0062300826939245095,-0.10949817580619649,-0.15826381710730386,-0.013651126453871282,-0.0773283027502656,1.0,-0.8572925513925439,-0.8509242311148449,-0.9863837903091576,0.9926069674705303,-0.8741795775588651,0.9784098986642646,0.9489682901012955,0.928195804283392,-0.7897743287067294,0.8402380208384534,0.8190989153268081,-0.782558432167616,0.8720940873226712,0.3419247693819376,0.8097393791506706,0.16087270166003698,-0.1424413926805294,0.08679034378725214,0.8821037332198837,0.29778944827094234,0.8151426783005097,0.8049626393063793,0.7912071956335345,0.7936922626116168,0.622669743190928
Month,0.26778952945413,-0.05533994144122821,-0.035338641467727215,-0.024757902196856408,0.17096558485877325,0.18303403350895409,0.03019480481651608,0.15218059921539634,-0.8572925513925439,1.0,0.9810388948438707,0.815914786938016,-0.8247765840408051,0.8476217296162464,-0.8263876774635701,-0.8769768988643186,-0.7368985097716345,0.9375360569929848,-0.47677994099608556,-0.42958389069944625,0.3853857463597284,-0.5275722096407897,-0.5298093487767339,-0.43605075560465817,-0.2109542960868168,0.2390975525393913,-0.1482506198597307,-0.6252735372596687,-0.41976300328329647,-0.5274629136181044,-0.5068527893273852,-0.6076948653756967,-0.5976726206230358,-0.42881891792990456
