,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,euro per kWh.1,euro per kWh,Natural gas index | (2010=100),Year,Jaarmutatie CPI | %,euro per m3.1,"Natural gas, Europe | ($/mmbtu)",WeekKey,Werkloze beroepsbevolking|Seizoengecorrigeerd,"Natural gas, US | ($/mmbtu)",Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.009368404946705851,-0.022692289881300044,-0.0023648087582058813,-0.08316155327975301,-0.04382806596007889,0.06131721443557647,-0.09364959210277667,-0.34261620760214256,-0.3343800240159363,0.3332950520331168,-0.33277563299246876,-0.3305788153186588,-0.3269831290932996,0.32274670668803346,-0.31613604861044353,0.3020245825641711,0.3000256651427078,-0.2297026908739299,-0.2729437567888641,-0.23358627674497337,-0.0011932391287224349,0.23975961609418914,0.08558646086779198,-0.08700908514341879,-0.17407960062664712,-0.19184124322935361,0.05899628902479106,-0.2588675879421351,-0.16182252389871485,-0.031925364659701194,-0.2705884871212258,0.07456215186890101
DailyPrecipitation,0.009368404946705851,1.0,0.9521478157802074,0.5751194925491342,-0.04038166005183478,0.09133850312643428,0.12633934827462504,-0.12601691868153442,0.01151142846697001,0.007286511438113481,0.017042879010033037,0.0068846914110918716,0.0169439655513678,0.016055682629135048,-0.002444996934661466,0.0019944425071485045,0.031467652983339256,0.03911808904421252,0.01949884279186284,0.005879892998082593,-0.0017621135431958685,-0.01881337954262137,-0.028648903949363376,0.03081670005353393,-0.06623518729663956,-0.1255418254518519,-0.011220330724861245,0.03651685136240617,-0.023641318625799487,-0.03904412808049037,-0.0077184489957255464,-0.015646221770675615,0.08348630643845609
MaxHourlyPrecipitation,-0.022692289881300044,0.9521478157802074,1.0,0.6010098093712054,0.00369543443849867,0.11970997402710958,0.14472790816204145,-0.07060737064543236,0.028902859611987075,0.02740541224582405,-0.03683602040638657,0.027199337554679202,0.04300392828491091,0.028614670224506637,-0.045459107330277235,0.025776308079009894,0.022545990509335322,-0.0203023788510435,0.04295319119368312,0.0273664687760259,0.0170461488802122,-0.02067051293896975,-0.05230628515757912,-0.0009454264889272341,-0.05507740886842026,-0.09455086377748631,0.007837145753317197,0.0011008560509747807,0.01508621145081347,0.004274316676091596,0.023236253471428304,0.04810011510336722,0.01860673903971247
HDMaxPrecipitation,-0.0023648087582058813,0.5751194925491342,0.6010098093712054,1.0,-0.0576207726580795,0.05470911890291853,0.020887046296919263,-0.13068173161965865,0.026077601903034903,0.023183377389244884,0.0024251953649663846,0.022861463906639266,-0.0038285147198430514,0.027799000798656066,-0.020436386019661187,0.00915247811911839,0.038984425115486436,0.031508906450922795,0.040517087685084656,0.020728428855607363,0.02392466477150281,0.017845924767945165,-0.053861311157770875,0.10292172264434757,-0.03832644350592234,-0.07523573551010364,-0.00035562388451657745,0.09956131973185241,-0.00839313945300151,-0.027240819742668787,-0.08241742619426948,-0.010735476487630806,0.0640046770525831
DailyMeanTemperature,-0.08316155327975301,-0.04038166005183478,0.00369543443849867,-0.0576207726580795,1.0,0.9181546208762777,-0.017865271793663637,0.962854226029106,-0.027135291067073797,0.08853603212221385,-0.48256804426553973,0.09879857526316382,0.16480400419651678,-0.17358227501142617,-0.3748979023298837,0.21265943575682145,0.10532762378927392,-0.5515589783394028,0.34656890487899544,0.24476443698467357,0.2858583127800016,-0.054648617474911454,-0.3177582384270002,-0.25084377121021567,0.049529562161398984,0.16166374340198977,0.31714535982564335,-0.2895738335602343,0.45788599582240047,0.6029943635561882,0.36261190670306914,0.4941851562044992,-0.6050225963993174
HourlyMinTemperature,-0.04382806596007889,0.09133850312643428,0.11970997402710958,0.05470911890291853,0.9181546208762777,1.0,0.08847314811478882,0.8031630611651109,-0.09419002196092578,0.017741732691398775,-0.3757713077261067,0.02784670288258803,0.0837344575814783,-0.23070603246847915,-0.29138275875400654,0.13426305926862542,0.17238937813759522,-0.42912092277127994,0.2880046156508044,0.17800053797280996,0.22992118289564564,-0.02007135968757369,-0.25170689993931017,-0.1742565148672429,0.041901256540051536,0.09069064447710191,0.26419556681359035,-0.2188537258623597,0.3721628964545561,0.5238830061663057,0.31230578899061034,0.38579096205602603,-0.509689178327496
HDMinTemperature,0.06131721443557647,0.12633934827462504,0.14472790816204145,0.020887046296919263,-0.017865271793663637,0.08847314811478882,1.0,-0.08712457009957894,-0.08021073018285851,-0.06492171868049425,0.05028007650621834,-0.06336875550236246,-0.08140078107880319,-0.09370620459363269,0.05742875644334999,-0.06385600759098575,0.12418451618067697,0.03276848670104734,-0.02996442110065606,-0.060893226445558044,-0.021753958988382442,0.09627118904986855,0.043604451875914205,0.0810842097090485,0.005626318125496935,-0.003403136375077731,0.004647720411788503,0.06972609694693878,-0.028774479587646274,-0.0005108272637379311,-0.02305770209212151,-0.016929109527337054,0.030412374232428867
HourlyMaxTemperature,-0.09364959210277667,-0.12601691868153442,-0.07060737064543236,-0.13068173161965865,0.962854226029106,0.8031630611651109,-0.08712457009957894,1.0,0.007944547305826206,0.11577828398098813,-0.49803682895732787,0.12526021891702355,0.19881433083429778,-0.1311223554231089,-0.3802386751189849,0.23177783601391375,0.05971298328989113,-0.5798708569205809,0.33772419952742216,0.25131483829355605,0.28247006211531117,-0.07966105781490969,-0.31993629696808196,-0.29365616907201775,0.04819530406012717,0.1930018625187632,0.3171237653771553,-0.3231527016952493,0.4629452306250651,0.5934863296984003,0.3737369128809791,0.5090847915079708,-0.6007307403989323
euro per kWh.1,-0.34261620760214256,0.01151142846697001,0.028902859611987075,0.026077601903034903,-0.027135291067073797,-0.09419002196092578,-0.08021073018285851,0.007944547305826206,1.0,0.9740447197893789,-0.7753391822117852,0.9691931010378554,0.8637864256439028,0.9568318501549503,-0.7784115841317341,0.8970963682245879,-0.7858564063482469,-0.672248442945459,0.6907299066924625,0.7841175227362662,0.742730758962051,0.16133991361419256,-0.7257870482455405,0.09488184941226929,0.0034060418522028012,0.41474904309892174,0.6382185663799675,0.21673829014654025,0.6657693968744683,0.34296424590844926,-0.14737185685774698,0.5431009702576531,0.07891275692758186
euro per kWh,-0.3343800240159363,0.007286511438113481,0.02740541224582405,0.023183377389244884,0.08853603212221385,0.017741732691398775,-0.06492171868049425,0.11577828398098813,0.9740447197893789,1.0,-0.8643689008184459,0.9997893002793594,0.893906509398564,0.8662085353150615,-0.8634522332806113,0.9657285177140932,-0.7552701504576573,-0.7543985265939406,0.8125219297379923,0.8717759953618762,0.861504732044903,0.16422240814336997,-0.8371636008032811,0.11475339104812145,0.07297722437156305,0.47499686011913145,0.7771713740473164,0.22053041597489725,0.8035404267780216,0.5234493681300415,-0.09109559479616265,0.5906299311789662,0.023142299562014024
