fold,horizon,model_type,rmse,mape (%),pearson_corr
1,4320,LSTM,1745.769672665899,11.189623177051544,0.7079149851523051
1,4320,QLSTM,1755.8833959007643,11.48441955447197,0.7037729312486907
3,4320,LSTM,1531.2630407607962,9.721724689006804,0.7298850672381778
3,4320,QLSTM,1753.9206082374424,11.383264511823654,0.6213023251851428
4,4320,LSTM,1560.4283065876496,9.622518718242643,0.6997667121643832
4,4320,QLSTM,1689.7628531838425,10.79743504524231,0.6365279178498058
2,4320,LSTM,1885.219416937986,12.503007054328918,0.605596368694527
2,4320,QLSTM,1684.4814483988837,10.71702167391777,0.7029404730428079
5,4320,LSTM,1700.413258593334,10.221824795007706,0.6744070212289001
5,4320,QLSTM,1567.249740787983,9.582457691431046,0.7332910184917175
6,4320,LSTM,1584.6790684551872,9.601384401321411,0.7082484264236014
6,4320,QLSTM,1851.036669004696,11.565959453582764,0.5679876365499283
7,4320,LSTM,1535.493894484768,9.321657568216324,0.6675482916432713
7,4320,QLSTM,1557.2120118981873,9.413262456655502,0.6568092709905193
8,4320,LSTM,1601.356456258256,10.150405019521711,0.5846248817694137
8,4320,QLSTM,1665.527393950637,10.620470345020294,0.5364388761352349
9,4320,LSTM,1571.9584918184069,10.340844839811323,0.5355196425584936
9,4320,QLSTM,1526.6510734283718,9.907831996679306,0.5724930505881981
10,4320,LSTM,1533.2728883013615,10.148478299379349,0.6220441313223513
10,4320,QLSTM,1672.254316783186,11.149853467941284,0.5183407395902464
11,4320,LSTM,1572.4182808654955,10.96758097410202,0.5048019407443135
11,4320,QLSTM,1656.3710333134904,11.808941513299942,0.4181179912352405
13,4320,LSTM,1562.5876775400477,9.217111766338348,0.6048746230941225
13,4320,QLSTM,1651.75490009868,9.853842109441755,0.5411175327142336
12,4320,LSTM,1485.2669793676826,8.921598643064499,0.6408974685448943
12,4320,QLSTM,1784.7324029108677,11.03607639670372,0.3865955640553396
10,4320,LSTM,1643.4808334750971,11.253886669874191,0.5425235922815906
10,4320,QLSTM,1634.78920659515,10.923442989587784,0.5482708140507275
