,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Jaarmutatie CPI afgeleid | %,Jaarmutatie CPI | %,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Month,Week,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,"Coal, Australian | ($/mt)",CPI | 2015 = 100,WeekKey,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI afgeleid | 2015 = 100,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.09762217521392536,0.1081488330002357,0.04231154884118858,0.08852961036954803,0.12845091861035052,0.0576686818406527,0.06009262156040226,-0.5053686304389324,-0.4913613407802136,0.4667203161889033,0.4468013836589105,0.4024353252290219,0.39103310703646843,0.36341088654941933,-0.35784464272340777,0.3571711103023767,0.3539319252219022,0.2515979029381716,0.3324473947444875,0.11108975134030184,-0.1188994457100008,-0.015968412507620943,0.08277401008984851,0.34270158576132936,-0.08623704526382531,,,
DailyPrecipitation,0.09762217521392536,1.0,0.9417756941468006,0.5218598676846409,-0.05382569210261135,0.0827475705871599,0.19572830336127156,-0.13796210226491865,-0.15488539835893128,-0.15908902441749914,0.17741526193169446,0.17626632099773532,0.14318522300043496,0.16032682354439895,0.2505242395615904,-0.09502242232472295,0.07001389568498827,0.0883382271083746,0.06256033988176739,0.09136407705447219,0.16134434462068123,0.11587321905235269,-0.020775073596512802,0.08339987376627701,0.1812617510799955,0.12729003233338,,,
MaxHourlyPrecipitation,0.1081488330002357,0.9417756941468006,1.0,0.5575378819942657,-0.0035962790063505,0.12369121014984394,0.19810113385605477,-0.08156914396119669,-0.16469595563581704,-0.1648860386380908,0.1915052487695968,0.18156495250379678,0.13923304842336784,0.1503037325262581,0.24035181776728226,-0.1305093347698936,0.11749607838618913,0.12141847214632039,0.11114614672525146,0.13664626005248875,0.11404192533299744,0.10257620781188839,-0.07023996206222326,0.054381933241698925,0.2010547415988777,0.11473271595019106,,,
HDMaxPrecipitation,0.04231154884118858,0.5218598676846409,0.5575378819942657,1.0,-0.06890419625692058,0.050885158888953674,-0.004722334421306614,-0.14094038140640933,-0.07129895439587598,-0.08702204204338546,0.06307819105955469,0.05863822561959977,0.06289241256276219,0.07663980925890704,0.18353090031824293,0.0027184491572734048,-0.012477328327429517,0.0037190504750289873,0.03902135611875365,-0.0017767895301318587,0.15700447393691952,0.062438151367929205,-0.007998778834606621,0.03811544929872635,0.11155422456794448,0.0684380634009509,,,
DailyMeanTemperature,0.08852961036954803,-0.05382569210261135,-0.0035962790063505,-0.06890419625692058,1.0,0.938285813817825,-0.07864617942103273,0.9746594076683465,-0.15728746378164024,-0.1632305925072751,0.14456300239897832,0.08835809538792135,0.09255672715160729,0.09259248166903364,-0.35319859565036943,-0.5114235145653183,0.6062466625177091,0.40120477898276763,0.32927929488740093,0.6104384857077355,-0.693680560398668,-0.283172637526839,-0.1428787950617434,0.15981293838730362,0.14451619831772866,-0.26654931244454455,,,
HourlyMinTemperature,0.12845091861035052,0.0827475705871599,0.12369121014984394,0.050885158888953674,0.938285813817825,1.0,-0.0080835111394816,0.8567237187495423,-0.21496175905829032,-0.22239113984843287,0.19916277972596685,0.1383796785320633,0.14081655121074532,0.14323647688507032,-0.21839708211355552,-0.5050207523485029,0.595909638969803,0.39924146914770703,0.3671863862891034,0.6065044373497245,-0.5744420254532279,-0.20032104117635283,-0.1357309632843042,0.1885534709047727,0.2223277292628953,-0.17944852457942506,,,
HDMinTemperature,0.0576686818406527,0.19572830336127156,0.19810113385605477,-0.004722334421306614,-0.07864617942103273,-0.0080835111394816,1.0,-0.12372319357397633,-0.06706512385433293,-0.05682583436171313,0.0766122563704102,0.07852234499355158,0.049072797184750314,0.06061670987523938,0.11743050617918871,-0.020402872000456145,0.002587685390137633,0.04009648809445099,0.018896655443842173,0.012934803899388605,0.08198942239066004,0.030018777910799502,-0.021004001438088962,-0.001864272076632784,0.0573202158207238,0.03289096211482403,,,
HourlyMaxTemperature,0.06009262156040226,-0.13796210226491865,-0.08156914396119669,-0.14094038140640933,0.9746594076683465,0.8567237187495423,-0.12372319357397633,1.0,-0.1175507737132479,-0.12400513525165671,0.09380152004392907,0.04230456677610498,0.050045081568621225,0.047839049739324485,-0.42398425313913984,-0.47476802522794015,0.5864414675227236,0.37926924000981255,0.291018571860322,0.5786765251514856,-0.7400364425368756,-0.33073099304592046,-0.1492048298398823,0.12091065012570422,0.08403336960738168,-0.31827551956562794,,,
Jaarmutatie CPI afgeleid | %,-0.5053686304389324,-0.15488539835893128,-0.16469595563581704,-0.07129895439587598,-0.15728746378164024,-0.21496175905829032,-0.06706512385433293,-0.1175507737132479,1.0,0.9891540170542125,-0.8349689616142338,-0.7622633212281523,-0.6886477960087305,-0.6813282692761441,-0.7026207890899799,0.591373160340612,-0.6715687057363492,-0.669729253419755,-0.6245784549285365,-0.6627149677756008,-0.1992068480047091,0.08616344233075454,-0.01034197357973443,-0.1974374125358014,-0.7507209423138398,0.01975682445569545,,,
Jaarmutatie CPI | %,-0.4913613407802136,-0.15908902441749914,-0.1648860386380908,-0.08702204204338546,-0.1632305925072751,-0.22239113984843287,-0.05682583436171313,-0.12400513525165671,0.9891540170542125,1.0,-0.78788923190821,-0.7101244334907405,-0.6491323430600028,-0.6414975931218421,-0.6791419748080992,0.563348156900761,-0.6647031684567688,-0.6527411804008783,-0.6303482015010623,-0.6635135816913634,-0.17524355146724396,0.10712734340272143,-0.02043805031967401,-0.2346214119606924,-0.7633784463930245,0.040525797982399546,,,
Beroepsbevolking|Seizoengecorrigeerd,0.4667203161889033,0.17741526193169446,0.1915052487695968,0.06307819105955469,0.14456300239897832,0.19916277972596685,0.0766122563704102,0.09380152004392907,-0.8349689616142338,-0.78788923190821,1.0,0.9822530918903767,0.6796855662470418,0.6698838540192822,0.6138848118037029,-0.797328833849741,0.6377407893895728,0.8028095267147888,0.41888789983679064,0.7167801041077223,0.13535730418326958,-0.12107705068815462,0.09529005418310264,0.16316665956041848,0.662185984731882,-0.05585139233010095,,,
Werkzame beroepsbevolking|Seizoengecorrigeerd,0.4468013836589105,0.17626632099773532,0.18156495250379678,0.05863822561959977,0.08835809538792135,0.1383796785320633,0.07852234499355158,0.04230456677610498,-0.7622633212281523,-0.7101244334907405,0.9822530918903767,1.0,0.6688620421228626,0.6575478735454011,0.5524563920524234,-0.7780594531509704,0.5859413763077245,0.768061583565661,0.24132131057505016,0.6376238072052731,0.13984940902664209,-0.16701277546811538,0.10873371371343134,0.14275950060839848,0.5470423350657462,-0.10838713264150483,,,
