,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,Month,Week,euro per kWh.1,euro per m3,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen,euro per m3.1,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,"Liquefied natural gas, Japan | ($/mmbtu)",Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.061968079974716074,0.05308560790910238,-0.004521895953635451,0.032011079436750856,0.0409891376353126,0.008624259278294006,0.027439497738628027,-0.2055479458291561,0.19790835787634134,0.19628140768195693,-0.19470282990204235,0.19312687285919328,-0.18391145547550652,-0.17523814466855012,0.16901059507399138,-0.15325735784717953,0.14733861942203466,0.12759207803498843,0.11068391721037678,0.13709484669924854,-0.08674677943528647,-0.08605415947683427,-0.10697241150742254,0.004914656541654048,0.058526040268739095,0.061817582874182354,-0.054874902240452515,-0.008418819103875761,0.08375456097456649,0.08591647122427719,0.11595892727175647,0.11733432682333145,-0.09492540344099148,-0.10451793953410683
DailyPrecipitation,0.061968079974716074,1.0,0.9461059194398262,0.4560579379311038,0.1092156556011995,0.23289288157962218,0.1295683594322233,0.024099802407850188,-0.1355716491817988,0.14161564464912782,0.15410275885613434,-0.15459437331841885,0.15442859224990702,-0.12641018777911955,-0.10875695704595091,0.1469019149440446,-0.09870593025992302,0.1665969084540057,0.1031671404542848,0.1177376884988176,0.08639362347480667,-0.12562720269735383,-0.15008076171927853,-0.15210164006259957,0.0892916443836311,0.12078495376983582,0.004830047835541334,-0.08350330554170249,0.06666637311640881,0.028887878187562575,0.014980502860082557,0.1491909456898688,0.13131006649432161,-0.07056640853697016,-0.08685967606222543
MaxHourlyPrecipitation,0.05308560790910238,0.9461059194398262,1.0,0.4648158222276915,0.15596291049434868,0.2705889480760314,0.15844427232984432,0.07735189830644763,-0.09442937385652016,0.14268144966877497,0.15194449019843856,-0.13408012740789851,0.13289776390306163,-0.07445126334525189,-0.06089110832507009,0.11525081799200428,-0.0496560499847378,0.1429845543630006,0.03848102198511776,0.053602163113175026,0.023778452555382967,-0.06144932394905416,-0.10606308786092813,-0.09263704683058907,0.04011409642347822,0.10977303129799658,0.02015347630207509,-0.020276043297737644,0.02042069863662897,0.004186756309227927,-0.005853031012942737,0.15533762752815006,0.14624006738791429,-0.029560176119525685,-0.030428603494028036
HDMaxPrecipitation,-0.004521895953635451,0.4560579379311038,0.4648158222276915,1.0,0.16369235941393917,0.24342823223562873,0.04006103509300625,0.08351912478503573,-0.051458133995352213,0.06265697661765882,0.0765705573985108,-0.10704307892255582,0.10759385877279073,-0.05522009047306703,-0.01085565483517502,0.10950786463155097,-0.006747543345484747,0.12005520252710246,0.043502547920146795,0.05402680875343622,0.03159519438592122,-0.06847731369552065,-0.10603997985957986,-0.10089222388223343,0.02674781986667909,0.06040882314780107,0.028930030731849757,0.0056000663226584224,0.018108665732044643,0.038681889394129115,0.03038873559340215,0.137859984172241,0.13111419099591706,0.0004133344648360444,-0.028101865386761914
DailyMeanTemperature,0.032011079436750856,0.1092156556011995,0.15596291049434868,0.16369235941393917,1.0,0.929602774712539,0.010017542014099996,0.9643542093466538,0.043521401384621995,0.3282802879872319,0.32554787017988257,-0.1397173672909857,0.12780663569548617,0.22023187534357588,0.08413205029335935,-0.004907837299911516,0.10852960809792551,0.09503477391269632,-0.4787844523960228,-0.5380187229598046,-0.40397442650378,0.43041321810049543,0.18362657699677856,0.2767754784188671,-0.2668981987408646,-0.17013751310349992,0.09223640117332638,0.5386166314833127,-0.2712380583215104,0.039575153343723135,0.08004526696804147,0.3439960661272982,0.4231721314915251,0.07271975411049665,0.27765383255733533
HourlyMinTemperature,0.0409891376353126,0.23289288157962218,0.2705889480760314,0.24342823223562873,0.929602774712539,1.0,0.07919816147859297,0.8180943396414817,-0.06122469172438282,0.3679747623973842,0.37150692540385816,-0.2278509766679972,0.21723295614380544,0.09649471595140878,-0.0025590710835374573,0.09507914068452775,0.028469734369475235,0.18192711892967156,-0.3496569729468549,-0.40929215637649596,-0.2801477802861154,0.3159653570920925,0.09031281390233892,0.16913482844890143,-0.19941643760301808,-0.12741439446423394,0.09851622122649137,0.42205620504651636,-0.20877722895806247,0.053138364879762943,0.08178487433109767,0.3957190024084539,0.4575268894431717,0.024273077199262257,0.1861070246196566
HDMinTemperature,0.008624259278294006,0.1295683594322233,0.15844427232984432,0.04006103509300625,0.010017542014099996,0.07919816147859297,1.0,-0.03733099329484211,-0.05780131738847797,0.027788826256395456,0.03932147788520261,-0.08021759801111235,0.0814003581398372,-0.06220285136160175,-0.04942460898645955,0.09107840466398127,-0.05210239169250831,0.1119062883132206,0.0651009867171473,0.04994617429633615,0.07492276109365857,-0.08133685497826769,-0.09886669420568461,-0.08688225898016884,0.09315735892038463,-0.09018631035571169,0.028450597307305033,-0.009881397516350334,0.09653772382070602,0.07791818967797398,0.07008344058426785,0.11116571207344834,0.10386004869344767,-0.052722375937529986,-0.06949230410126217
HourlyMaxTemperature,0.027439497738628027,0.024099802407850188,0.07735189830644763,0.08351912478503573,0.9643542093466538,0.8180943396414817,-0.03733099329484211,1.0,0.10353375282219687,0.28482136694644633,0.27795428145522527,-0.07448546388841007,0.06225641060862347,0.2816221534394492,0.13282491131078233,-0.0714389972959433,0.15377742431348496,0.026378926735548952,-0.5343090625212698,-0.5919972314633289,-0.45865006486962295,0.48735508980636205,0.2479629476827839,0.34032887444884785,-0.3032906632507811,-0.20130903831272215,0.08863386230334766,0.5888110951977567,-0.30267056854942076,0.03127019651542048,0.0790242863200207,0.2787044328099604,0.3677574545984894,0.1053520737070899,0.3239864107230435
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,-0.2055479458291561,-0.1355716491817988,-0.09442937385652016,-0.051458133995352213,0.043521401384621995,-0.06122469172438282,-0.05780131738847797,0.10353375282219687,1.0,-0.7853334176966507,-0.7845501384301199,0.9308351868769685,-0.9306128842448588,0.9591311656619252,0.9067800479333125,-0.8936003282729551,0.8378898039303437,-0.8294850908247617,-0.724708006732049,-0.614315907875107,-0.7930865004654354,0.552282354655102,0.33521777186454566,0.59475931609672,-0.0084216590474394,-0.20911924157926484,0.061297653090752906,0.38664601716312147,0.02752586248009402,-0.5113547192159611,-0.5031817567576303,-0.6457581241222061,-0.599204818966911,0.6049381647757428,0.7114377180191651
Month,0.19790835787634134,0.14161564464912782,0.14268144966877497,0.06265697661765882,0.3282802879872319,0.3679747623973842,0.027788826256395456,0.28482136694644633,-0.7853334176966507,1.0,0.9832398635475489,-0.7394052736559473,0.7265468192910762,-0.5928860658651381,-0.7255561452835023,0.5613740921919219,-0.6350460613389032,0.5712376898298277,0.29713657688625517,0.22320239607438622,0.35266935557304446,-0.09833281122976179,-0.07281347380341742,-0.1732309033900158,-0.35530282424669307,0.3596165595452163,0.11562050932623094,-0.1395558363175454,-0.4109302923287538,0.22314600489454606,0.2523911983546867,0.4763816230560083,0.4847416364666186,-0.43267051581577615,-0.31042775969191877
