,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Bedrijven en huishoudens,euro per m3,euro per kWh.1,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Diensten,Month,Week,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal,"Liquefied natural gas, Japan | ($/mmbtu)",Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.06935207218440216,0.06310281349885973,0.02420780110553102,-0.008038334309563234,0.015443176337892491,0.02360091074589121,-0.030432865085104885,0.21992028621903523,0.21951183933595728,0.2194032652878522,0.21850856891151965,0.21845862703777458,0.2173986043106345,0.21249250188706412,0.21129112955742624,-0.20618694221579117,0.20004031785377194,0.18401076030756658,0.11691085777406086,0.03694122096682855,-0.06713745254911781,0.0279908511283006,0.003505947798768677,0.025931320838964246,0.04814952085810461,0.02391986416803118,-0.016181830034854683,0.0034214658955895845,-0.09390757520784901,-0.043960277208464384,0.00027388967068116824,-0.002169105144658701,0.19451192774858625,0.1268844526476125
DailyPrecipitation,0.06935207218440216,1.0,0.9486670298369172,0.44803385338976665,-0.08975739971497672,0.08257189883653922,0.05075200525760616,-0.17989613722615955,0.15048947018204428,0.07157124283845666,0.07154935527706917,0.14916319439529252,0.13171006366451568,0.11221615589601283,0.11352980752658424,0.15933182330987453,-0.08343363932575792,0.17208728490229708,0.12831611720086816,0.0805841781152989,0.02756312491606531,-0.12634308758577883,-0.035930761789263244,0.006267223430352435,0.06528815544630032,0.07436808313319475,-0.009872009523669664,-0.05713980512731569,0.05119390186066282,-0.17075683394777055,-0.1701481091389719,-0.06672907063669796,-0.06268796304794225,0.13865756660859052,0.0914508294190395
MaxHourlyPrecipitation,0.06310281349885973,0.9486670298369172,1.0,0.467772986577116,-0.04631228585488736,0.12499171489882488,0.04167842471303717,-0.1377066502072112,0.15164653984802687,0.07097241040397244,0.07080962015231179,0.1507497687130308,0.13238044331867443,0.1125390295671008,0.1129921208364863,0.15930569041428772,-0.07352105373858277,0.172109510281964,0.13853899134222572,0.08598464888312686,0.031712212643728276,-0.1524585679606307,-0.02410411240350739,-0.011819434544865164,0.058693565061503944,0.0675906414936703,-0.022570981177331473,-0.08755246447288415,0.04793801514545778,-0.1667262733263398,-0.16204568005239972,-0.049981568441631534,-0.03936568388722051,0.1354625579494609,0.08408780986278365
HDMaxPrecipitation,0.02420780110553102,0.44803385338976665,0.467772986577116,1.0,-0.11271953781378787,0.021657670807674275,-0.09052876946482381,-0.1937046339647732,0.08943256787540002,0.03014499847455537,0.030947897021598555,0.08487668535017956,0.08014915096049047,0.02997956863210929,0.011994214872488205,0.1028421143285988,-0.054767977935468205,0.11679117954015938,0.11337036729070515,0.04593225450220866,0.0727506811807764,-0.004933167098013101,0.011483503004881013,0.082363271150484,0.10937527681013043,0.014507235906618456,0.0660719519696767,0.022836007132861217,0.10260372166945597,-0.1392232441445684,-0.16835778097328424,-0.11385965890190014,-0.09712458425247311,0.10571553217605903,0.09969768956023894
DailyMeanTemperature,-0.008038334309563234,-0.08975739971497672,-0.04631228585488736,-0.11271953781378787,1.0,0.9111413988672996,-0.06754341914701026,0.9662266236113095,-0.002009302099625725,0.33365511282534327,0.3310666758479814,0.015751397494880123,0.03307486546228128,0.20736220723869883,0.2158352877617082,-0.06719878666494249,-0.28920388276592374,-0.1674009309922435,0.31280477208184887,0.19064062764702824,0.07831189220040288,-0.3068537926131337,0.13928101607334853,-0.2778415317702963,-0.3575750581118746,-0.001552238368293015,0.05190085620836178,-0.3036805256653556,-0.32556022364651094,0.30580619648421664,0.4919995262653683,0.5775091802995855,0.6062834390148387,-0.0800544936710072,-0.14700795417026952
HourlyMinTemperature,0.015443176337892491,0.08257189883653922,0.12499171489882488,0.021657670807674275,0.9111413988672996,1.0,-0.008805883144249196,0.7986438796576288,0.08442719315520822,0.3756932835141759,0.3738967009546067,0.09873195995361751,0.11145372846066819,0.2514501770555121,0.2571343521325096,0.03154398341580764,-0.3005697462364918,-0.05969831840702474,0.35886316860737527,0.188904056074878,0.14693993437004443,-0.32745310021198376,0.19562725044523957,-0.20384185645414551,-0.23550187701540995,0.06384093112200977,0.09756683054553827,-0.27441182636866357,-0.21800242128472266,0.20501820958502268,0.3705131300674768,0.4899220119214358,0.542061504022621,0.02380575311170368,-0.047854665591535624
HDMinTemperature,0.02360091074589121,0.05075200525760616,0.04167842471303717,-0.09052876946482381,-0.06754341914701026,-0.008805883144249196,1.0,-0.09244401161442983,0.039266366592188344,-0.005216858344793103,-0.004795464054347194,0.03882298918854258,0.035155610685671246,0.020714738113585502,0.028629544509089108,0.048884510794239854,-0.015164983540657161,0.05614919996620924,-0.009201917082983579,-0.021018960967508635,0.02721648268566968,-0.02142479535410174,-0.026275696207262347,0.03146826917071869,-0.0018040196491708323,-0.03585292255036138,0.00101581023222235,-0.008952857235372745,-0.006172961001433809,-0.012797865639110844,-0.027349801425533598,-0.07771172449951716,-0.08390602986326064,0.05247224551800112,0.05577477492076516
HourlyMaxTemperature,-0.030432865085104885,-0.17989613722615955,-0.1377066502072112,-0.1937046339647732,0.9662266236113095,0.7986438796576288,-0.09244401161442983,1.0,-0.07109480763677782,0.26505367608741043,0.26237669460981206,-0.05308419450682402,-0.03273380560541911,0.14842058516217502,0.15905686534084476,-0.13645762174079526,-0.25088159075701977,-0.23308295165374573,0.23723700148833354,0.15460669850408973,0.040196917657267135,-0.25661551919947856,0.09082418498479694,-0.28701457111927,-0.40878222960721666,-0.05220602811333169,0.02683075788725785,-0.28852877394483034,-0.37050946376624927,0.36057012060455157,0.5371853882037165,0.5657508289700196,0.5745515552296726,-0.14614438556137535,-0.19448697287326575
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Bedrijven en huishoudens,0.21992028621903523,0.15048947018204428,0.15164653984802687,0.08943256787540002,-0.002009302099625725,0.08442719315520822,0.039266366592188344,-0.07109480763677782,1.0,0.8235590988723246,0.823348428752814,0.9993291296445298,0.9889000970933339,0.9085972206464717,0.8769386995009792,0.9864023747558202,-0.5897815656587766,0.9627293286320306,0.5433562065068052,0.3311397371672008,0.13605386592955937,-0.32716201244377685,0.17922637813783512,0.007487445593953961,-0.032147366939050535,0.3963726660663014,-0.008223264588659745,-0.14449694575456967,-0.15511394612875498,-0.31978033463916417,-0.1360893129019405,-0.09270859986882002,-0.03233088931502784,0.9125241119812774,0.635265645740238
euro per m3,0.21951183933595728,0.07157124283845666,0.07097241040397244,0.03014499847455537,0.33365511282534327,0.3756932835141759,-0.005216858344793103,0.26505367608741043,0.8235590988723246,1.0,0.9999250296183189,0.8241529985980902,0.8589776940016851,0.8767147471785588,0.8575436247588781,0.7671088171918616,-0.7638799093355599,0.6689398721154407,0.6575264946317073,0.3677306388010383,0.22783253820020843,-0.21112153517892082,0.3617114533353631,-0.0014615643105806314,-0.1007609955294431,0.3740066151059192,0.2178656205705558,-0.06281105141530335,-0.20051560414764347,-0.08501950302067136,0.1669820208506184,0.21960649114006886,0.28752948455778277,0.7412396891680773,0.5113700023416973
