,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,euro per m3.2,Month,Week,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,euro per kWh.1,euro per m3,nat,euro per kWh.2,"Coal, Australian | ($/mt)",euro per kWh,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,-0.003884076563567488,-0.010023913629256176,0.034752972112471546,-0.046577550596377616,-0.011523337398779396,0.00989117634307699,-0.06690619916201557,-0.22439802856707022,0.22341301866317503,0.2202000519495034,-0.2006387642391638,-0.1926914840528451,0.1771445285401351,0.16328596484989133,0.15501008058176297,-0.14335408790383028,-0.1367618361705644,0.084447744823448,0.11741777784382884,-0.1108802874537973,-0.0011809992846103694,-0.048231512332911446,0.022865659472259676,0.12144503716988339,-0.0010962417999781095,-0.03828252923097322,0.06095076180545694,0.08322587314257406,-0.04605521011675704,-0.020544912977936293,0.09609978155881416,0.05519112625333208,-0.06248754837550945,0.11082634622954396
DailyPrecipitation,-0.003884076563567488,1.0,0.9386743838943585,0.48236437386152464,0.04101699119278883,0.1748528793392923,0.09694806015648852,-0.04121809356203066,-0.044986160830540106,-0.013754726842129169,0.0009324459146009213,0.06064509309375557,-0.03488745197128624,0.0439785506859374,-0.04494843597425187,0.024933960446110803,0.07203132469418778,-0.03720976402963107,-0.0018422408889799816,-0.03180073103793096,0.0766504259416248,-0.0018065766860084166,0.11048300801992415,-0.048447266978383724,0.12466949424297906,-0.0024064266896198804,-0.028210070390625876,0.06881858209999989,0.12426677024869022,-0.058006703755134406,-0.05159594172645319,-0.009467569356807632,-0.027747431531630274,-0.09757519227229722,-0.03138369700919154
MaxHourlyPrecipitation,-0.010023913629256176,0.9386743838943585,1.0,0.5150904608721665,0.09838663975768605,0.22322185692209243,0.09624660436999198,0.022001726713481443,-0.034458878250995854,-0.011772375464943575,-0.005985558072619513,0.08957521727271175,-0.014498636518781496,0.06134056899204232,-0.039713713528102754,-0.0009632385083111369,0.10863878520711406,-0.06049030036412946,-0.04970484429497644,-0.07259879719151179,0.07498570685117058,-0.029692071430953645,0.0985747336862598,-0.07125344637180292,0.08486644796260734,-0.01884227759142423,-0.012787942846959145,0.06979125230886735,0.09183493899691454,-0.024818001513653976,-0.014452507113133452,0.027813207462403084,0.012291952586583875,-0.10395291565911245,-0.07694991925069883
HDMaxPrecipitation,0.034752972112471546,0.48236437386152464,0.5150904608721665,1.0,-0.017041071827483448,0.10639245926395464,-0.04299733293487172,-0.09460605850371628,-0.08632702023300204,0.05883497469085317,0.05847043025950675,-0.08178526107178909,-0.07682018139689424,0.06206147482528342,-0.019198814472181757,0.06404912095328545,-0.01938016796161291,-0.04557196661437809,0.08253965174259778,0.05794155713608122,0.03481454674137081,0.021306435062454967,0.08131856655951278,0.03272583200486344,0.14449065913208284,-0.01381413899749443,-0.06280900413023277,0.07846694866428132,0.13104270772290605,-0.08364615188049622,-0.0748541464390556,0.02649139144485056,-0.006652065217296726,-0.08530777240862693,0.10555156966663556
DailyMeanTemperature,-0.046577550596377616,0.04101699119278883,0.09838663975768605,-0.017041071827483448,1.0,0.9236450797646361,-0.0903044300799486,0.9713101006037317,-0.05349535329489015,0.2791090700380683,0.30446194101438934,0.32840128553911674,0.150996571793572,0.48771154976540293,0.4230173323839626,-0.286238847883262,0.42696817917486096,-0.5479113794002279,-0.7874201052018067,-0.6353876642631995,-0.12157825411466133,-0.4870918852236494,-0.16549915492657064,-0.4538129120270956,-0.46281113187034373,-0.08838011208833982,0.44364425065300184,0.14654885970927267,-0.42688893809460293,0.5070078102334615,0.6040398788924942,0.6665172664179988,0.68502976877438,-0.17981685668651023,-0.7146434610024784
HourlyMinTemperature,-0.011523337398779396,0.1748528793392923,0.22322185692209243,0.10639245926395464,0.9236450797646361,1.0,0.0032306034078866813,0.8254493239746519,-0.14707303993928925,0.34223063980476914,0.36186439046890473,0.26702208805728245,0.06670503679021289,0.5526801470787329,0.4803222271273479,-0.21513760411373498,0.4021554748919977,-0.5946441337790446,-0.722797357190777,-0.5819499612005862,-0.11529722739708853,-0.48255416834354725,-0.11896257620238136,-0.4340814898882255,-0.35687823563167836,-0.07086924128425401,0.4184030376744279,0.15049488502501412,-0.3335820923538675,0.39772459135317917,0.5045109485833745,0.6569733008409808,0.6428395830887236,-0.274318943694097,-0.6277683436393211
HDMinTemperature,0.00989117634307699,0.09694806015648852,0.09624660436999198,-0.04299733293487172,-0.0903044300799486,0.0032306034078866813,1.0,-0.13442901920181657,-0.03807656170899454,0.021705394211901027,0.037771245399131605,-0.06272048924135265,-0.043749017980022176,0.0050566133126671116,0.012338429775394942,0.044441189587832906,-0.05392523715505973,0.005714554835617164,0.0744522265266583,0.062008410147416385,0.006592489130753537,0.03603066165531936,0.031164657535823398,0.015750930541660275,0.08420597743171566,-0.025915469286123746,-0.06352121172550025,0.024535720478901357,0.07884088011806235,-0.04273010855917329,-0.04338762459645379,-0.007974828782935558,-0.017004980052067794,-0.0031677117696088616,0.07067181500471026
HourlyMaxTemperature,-0.06690619916201557,-0.04121809356203066,0.022001726713481443,-0.09460605850371628,0.9713101006037317,0.8254493239746519,-0.13442901920181657,1.0,-0.0049109545492759515,0.21136690573801378,0.23899554911420987,0.34169022541851335,0.17434243230256266,0.4077948672186678,0.35975800588329687,-0.2896463992349994,0.4045395950396408,-0.47022314507180135,-0.7594914966040822,-0.6092449623372411,-0.1260946682711769,-0.4409008707290705,-0.17823700672224993,-0.43683744383195344,-0.5005640730656759,-0.08737242160091621,0.42468610955368236,0.12640124619712917,-0.45744560422315445,0.5448568199606694,0.6267266496201378,0.6138906833347435,0.6522970072381263,-0.10425474661413368,-0.7144504278199277
euro per m3.2,-0.22439802856707022,-0.044986160830540106,-0.034458878250995854,-0.08632702023300204,-0.05349535329489015,-0.14707303993928925,-0.03807656170899454,-0.0049109545492759515,1.0,-0.6306046313442059,-0.6042598385875512,0.3746663301277449,0.9369483468314437,-0.612425108884201,-0.44743808479742453,-0.8191907438124358,0.40210538455126466,0.40472181201884244,-0.06659392566322468,-0.33722793669220713,0.706839406672608,-0.1798029175838765,0.11210515819043702,-0.1075906307888013,-0.16169085983417922,-0.15629711891553252,0.05074443124972548,-0.3942948915569297,-0.030405889991122266,-0.16396423142064642,-0.2323415797034013,-0.2404124552004415,-0.17421550149306692,0.10952494654038761,0.07240009440913844
Month,0.22341301866317503,-0.013754726842129169,-0.011772375464943575,0.05883497469085317,0.2791090700380683,0.34223063980476914,0.021705394211901027,0.21136690573801378,-0.6306046313442059,1.0,0.9522886922224116,-0.46602055319639435,-0.3658533039234889,0.8951477713376432,0.6897855346608927,0.14734722590881508,-0.05237654331915968,-0.8439443217385222,-0.31994988924396267,-0.14589176379936591,-0.3326932428561306,-0.4866611445043877,-0.5217214921793515,-0.25408520560563985,-0.07768421754447936,0.26703335344993345,0.36116638100374027,0.15030626362738722,-0.29615091478346617,0.05877201161727107,0.21636628561188356,0.6844091834266371,0.5751737009076309,-0.3572392949879797,-0.04547291497786
Week,0.2202000519495034,0.0009324459146009213,-0.005985558072619513,0.05847043025950675,0.30446194101438934,0.36186439046890473,0.037771245399131605,0.23899554911420987,-0.6042598385875512,0.9522886922224116,1.0,-0.4246274720045886,-0.3455883278365502,0.8690179744594112,0.7023051581499434,0.13301751908864873,-0.03194475242484134,-0.8217196693381478,-0.33625024373952495,-0.15929287504248704,-0.33453054964494994,-0.48235186470759894,-0.5101345843329305,-0.25773863165186267,-0.12231409837821351,0.20484144791409664,0.33914728314954196,0.11936484898630259,-0.3118556298557935,0.08254569567638256,0.23567196878476127,0.684818333289537,0.5795719103807178,-0.3513165488414049,-0.07260649531083345
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,-0.2006387642391638,0.06064509309375557,0.08957521727271175,-0.08178526107178909,0.32840128553911674,0.26702208805728245,-0.06272048924135265,0.34169022541851335,0.3746663301277449,-0.46602055319639435,-0.4246274720045886,1.0,0.40908853676063733,-0.0981506992493136,-0.10751272226007046,-0.4021832893729521,0.7291690191228198,-0.000250009372036971,-0.583660958995091,-0.640333734973886,0.33545277267337215,-0.2939752282485599,0.19814714869030092,-0.3557564889705381,-0.15071498700902056,-0.11016261431744433,0.28233947742037047,-0.19975647500104257,0.005053268051112759,-0.10137813839039936,-0.09904957758647236,-0.1816063049397582,-0.17510455415505263,-0.4128966638919197,-0.7165018797445721
euro per kWh.1,-0.1926914840528451,-0.03488745197128624,-0.014498636518781496,-0.07682018139689424,0.150996571793572,0.06670503679021289,-0.043749017980022176,0.17434243230256266,0.9369483468314437,-0.3658533039234889,-0.3455883278365502,0.40908853676063733,1.0,-0.2975463395741465,-0.201963675937553,-0.9679666352770435,0.5915301491179898,0.059636078896151655,-0.345102251185815,-0.6017395209081113,0.7640896710277398,-0.5028821423892796,-0.019965597183641295,-0.34362839439806625,-0.24093109606768037,-0.10399758190178048,0.27786622593731547,-0.431152117075306,-0.1470916778323041,-0.17993140656523102,-0.18276178422350411,0.020796683519404148,0.043255808452203774,-0.13349815633348608,-0.0764439220372275
