,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,"Liquefied natural gas, Japan | ($/mmbtu)",Year,euro per m3.1,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,euro per kWh.1,nat,euro per kWh,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,WeekKey,Month,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
LoadConsumption,1.0,0.10417600241096771,0.10151759887677826,0.04983232372307553,-0.0743249857174872,-0.037238674083867565,0.07244937211967502,-0.09364747614112823,-0.3000576514467127,-0.27226877496940544,-0.267667406664197,0.26231216094440984,-0.26134778992355884,0.26067539806186496,-0.25930388825366646,0.25778341308468916,-0.2572935876034343,0.2496747031164294,-0.19193678276007492,-0.21390023680252349,0.21800204002696544,-0.2092826143521314,-0.024267026371929873,-0.19926442008057116,0.17686208937718292,0.008706927499958578,-0.22899851558971998,0.09791677199532024,-0.19440916772710184,-0.1653712338490288,-0.008031882747358346,0.12223619542294227,0.16769675307539098,0.07552645669784781
DailyPrecipitation,0.10417600241096771,1.0,0.9491745442489594,0.4772114065573813,-0.13540848373644107,-0.019248044223404835,0.1758484924882721,-0.1864764512614934,-0.2322595215656302,-0.2023348902718676,-0.17469407219670793,0.15138493668959643,-0.16116861407374525,0.20619394557700596,-0.15740261076110298,0.17295847507075346,-0.2156873620869639,0.11718375033296051,-0.21338665043801938,-0.22060250602039277,0.20481438705054064,-0.2052240562861465,-0.013862967789442637,-0.19739513735831618,0.20633583168636244,0.01854244387532932,-0.2284485695236844,0.13713104614311517,-0.22186159078357207,-0.21064539728962056,-0.13845225259539204,-0.029962534868566544,0.21401520402436058,0.1295272482774914
MaxHourlyPrecipitation,0.10151759887677826,0.9491745442489594,1.0,0.490989675900166,-0.07619649260398666,0.04276704193336491,0.17470819256686992,-0.1290050495532582,-0.22431015459107803,-0.2069996330209088,-0.180025802363461,0.15714338596146735,-0.16666393542457883,0.20110042796300714,-0.16293210649650686,0.18575472334818205,-0.2211969962029301,0.1191879947012251,-0.2069327970054615,-0.22208359577823042,0.2160832807164692,-0.21550135274890386,-0.03170601742962514,-0.2142649832514437,0.1543659412746256,-0.01192458559546626,-0.22700759947430224,0.09131368733307944,-0.2058571314742971,-0.19153361930024734,-0.13662772592204317,-0.02394319544134508,0.2120595302131892,0.14932416267104928
HDMaxPrecipitation,0.04983232372307553,0.4772114065573813,0.490989675900166,1.0,-0.09855725709892188,0.0020413795179662158,-0.010384807638652979,-0.14741561416565668,-0.2227630483919051,-0.18149366398797884,-0.14315282679704167,0.14735038022969535,-0.12608239233170512,0.18810827501833996,-0.12144749154154479,0.14892176674682805,-0.206816702982969,0.06745080232855206,-0.23169972905828934,-0.22847560463171762,0.19876173761883428,-0.21374086292041894,0.002383599455905508,-0.1854933536419372,0.15735958471684627,-0.05193196606336256,-0.2332220222278766,0.11514419539531423,-0.2220753986267235,-0.2148815808053964,-0.17124652280029484,-0.0573123277070209,0.2198160325232082,0.1640059204321441
DailyMeanTemperature,-0.0743249857174872,-0.13540848373644107,-0.07619649260398666,-0.09855725709892188,1.0,0.9406623716615274,-0.10916595288793408,0.9804479039303666,0.2460574493803421,-0.01642421299326908,-0.1385427303177655,0.04335523725694289,-0.18277687955684174,-0.0765831788180858,-0.1940086560822445,0.17947911098404812,0.06495205701862472,0.22617949107664057,0.42678657756769034,0.23783382332516784,0.023304923710209424,0.14678261736642992,0.0020864336257069727,-0.15446039415874485,-0.2504447851552028,-0.09763843259837922,0.31066157966072494,-0.2435516284697499,0.5305057695563705,0.6007887819748537,0.5763237196395932,0.5434551875206175,-0.3155251343808301,-0.15043169128886252
HourlyMinTemperature,-0.037238674083867565,-0.019248044223404835,0.04276704193336491,0.0020413795179662158,0.9406623716615274,1.0,-0.027604785566529805,0.8707348875409613,0.10334161470628865,-0.13073434041870866,-0.23065070172678717,0.12494161386891138,-0.264842747923597,0.031370307131887896,-0.2733358665748852,0.27204452680017843,-0.0567508449737007,0.29197971429934666,0.3003522608652902,0.11066397840974572,0.13686419978463263,0.030215069627975873,0.007737033746762527,-0.2397057739117194,-0.15942352764092552,-0.1127407204882807,0.19091490947573603,-0.18020317285314977,0.3865024871518127,0.4590581136930581,0.50817089935345,0.5342904982088043,-0.19107591255134568,-0.06184856694730523
HDMinTemperature,0.07244937211967502,0.1758484924882721,0.17470819256686992,-0.010384807638652979,-0.10916595288793408,-0.027604785566529805,1.0,-0.14912166864561263,-0.11112103076282481,-0.07738504873161886,-0.06855235927914236,0.047215859594603754,-0.06401323923557597,0.07406021354755805,-0.06273420895678408,0.0648788213125815,-0.07388124973412394,0.06134428025658236,-0.07030538205763633,-0.07152762700435952,0.06408666006078668,-0.0589625869155999,0.0283434391601988,-0.04865480932471236,0.09126989096614521,-0.02272250771638856,-0.07522877250439723,0.07860662708799394,-0.08379853504753083,-0.08051436863485799,0.022692396447475272,0.06532020357593003,0.066896006884054,0.03541720064652013
HourlyMaxTemperature,-0.09364747614112823,-0.1864764512614934,-0.1290050495532582,-0.14741561416565668,0.9804479039303666,0.8707348875409613,-0.14912166864561263,1.0,0.3157636512242029,0.050048395752258605,-0.07385821543219427,-0.0153886745740087,-0.11987755117239693,-0.1391866113736406,-0.1316699990417254,0.11493469005150996,0.12816911314240176,0.16794715337237162,0.4680286760152266,0.2910276100005244,-0.03874355815409067,0.1965886682224175,-0.014390612808437278,-0.10184274022662385,-0.3101287143526976,-0.08247421826860622,0.35743121817830015,-0.286225923765882,0.5732808050241234,0.6371202464651832,0.5672484330633774,0.5041536258352957,-0.35648827747258477,-0.17613304132182636
"Liquefied natural gas, Japan | ($/mmbtu)",-0.3000576514467127,-0.2322595215656302,-0.22431015459107803,-0.2227630483919051,0.2460574493803421,0.10334161470628865,-0.11112103076282481,0.3157636512242029,1.0,0.9142078759853455,0.8330548891726512,-0.7563663881212552,0.7878855190079019,-0.8783010516377706,0.7749271725933865,-0.8321866223481637,0.942880193882993,-0.6066028636371882,0.8762688726472107,0.9182460134476911,-0.8686909393573794,0.9052124977030447,0.14549259045587334,0.7561112423361834,-0.3526314500693869,0.03470195948388805,0.9166685552427883,-0.1272559072089774,0.8348816016540921,0.7542785315306322,0.3546027636859691,-0.14264326197965407,-0.8181241941534636,-0.5017467137678376
Year,-0.27226877496940544,-0.2023348902718676,-0.2069996330209088,-0.18149366398797884,-0.01642421299326908,-0.13073434041870866,-0.07738504873161886,0.050048395752258605,0.9142078759853455,1.0,0.967530799742464,-0.7786655777896956,0.9386446577483781,-0.9095849502514607,0.929693336245507,-0.9796080963373367,0.9763249584900308,-0.8138018862533508,0.7286946225932645,0.8517723949169197,-0.9075898430178314,0.910047111609237,0.330491433884471,0.8647067909377157,-0.1847752185779242,-0.15592355460815,0.8842059702954765,0.11733390686268975,0.7042864310844962,0.5884960717541424,0.2194420218254235,-0.2876265879834649,-0.7475631416438159,-0.4615519067538935
