jobid,fold,variant,epoch,batch,total_batches,loss,filename
err_12191775,1,classical,1,0,52,0.247,err_12191775_1.err
err_12191775,1,classical,1,0,52,0.246,err_12191775_1.err
err_12191775,1,classical,1,2,52,0.246,err_12191775_1.err
err_12191775,1,classical,1,2,52,0.25,err_12191775_1.err
err_12191775,1,classical,1,2,52,0.229,err_12191775_1.err
err_12191775,1,classical,1,2,52,0.194,err_12191775_1.err
err_12191775,1,classical,1,2,52,0.202,err_12191775_1.err
err_12191775,1,classical,1,2,52,0.154,err_12191775_1.err
err_12191775,1,classical,1,7,52,0.154,err_12191775_1.err
err_12191775,1,classical,1,7,52,0.144,err_12191775_1.err
err_12191775,1,classical,1,7,52,0.101,err_12191775_1.err
err_12191775,1,classical,1,7,52,0.108,err_12191775_1.err
err_12191775,1,classical,1,7,52,0.0774,err_12191775_1.err
err_12191775,1,classical,1,7,52,0.0807,err_12191775_1.err
err_12191775,1,classical,1,7,52,0.0741,err_12191775_1.err
err_12191775,1,classical,1,13,52,0.0741,err_12191775_1.err
err_12191775,1,classical,1,13,52,0.0877,err_12191775_1.err
err_12191775,1,classical,1,13,52,0.0609,err_12191775_1.err
err_12191775,1,classical,1,13,52,0.0776,err_12191775_1.err
err_12191775,1,classical,1,13,52,0.0658,err_12191775_1.err
err_12191775,1,classical,1,13,52,0.0725,err_12191775_1.err
err_12191775,1,classical,1,13,52,0.0552,err_12191775_1.err
err_12191775,1,classical,1,19,52,0.0552,err_12191775_1.err
err_12191775,1,classical,1,19,52,0.0385,err_12191775_1.err
err_12191775,1,classical,1,19,52,0.0325,err_12191775_1.err
err_12191775,1,classical,1,19,52,0.0372,err_12191775_1.err
err_12191775,1,classical,1,19,52,0.0498,err_12191775_1.err
err_12191775,1,classical,1,19,52,0.0498,err_12191775_1.err
err_12191775,1,classical,1,19,52,0.0488,err_12191775_1.err
err_12191775,1,classical,1,25,52,0.0488,err_12191775_1.err
err_12191775,1,classical,1,25,52,0.0508,err_12191775_1.err
err_12191775,1,classical,1,25,52,0.0557,err_12191775_1.err
err_12191775,1,classical,1,25,52,0.0479,err_12191775_1.err
err_12191775,1,classical,1,25,52,0.0544,err_12191775_1.err
err_12191775,1,classical,1,25,52,0.0595,err_12191775_1.err
err_12191775,1,classical,1,25,52,0.0806,err_12191775_1.err
err_12191775,1,classical,1,31,52,0.0806,err_12191775_1.err
err_12191775,1,classical,1,31,52,0.0633,err_12191775_1.err
err_12191775,1,classical,1,31,52,0.0867,err_12191775_1.err
err_12191775,1,classical,1,31,52,0.0658,err_12191775_1.err
err_12191775,1,classical,1,31,52,0.054,err_12191775_1.err
err_12191775,1,classical,1,31,52,0.0586,err_12191775_1.err
err_12191775,1,classical,1,31,52,0.0653,err_12191775_1.err
err_12191775,1,classical,1,37,52,0.0653,err_12191775_1.err
err_12191775,1,classical,1,37,52,0.0556,err_12191775_1.err
err_12191775,1,classical,1,37,52,0.0573,err_12191775_1.err
err_12191775,1,classical,1,37,52,0.0534,err_12191775_1.err
err_12191775,1,classical,1,37,52,0.0532,err_12191775_1.err
err_12191775,1,classical,1,37,52,0.0588,err_12191775_1.err
err_12191775,1,classical,1,37,52,0.0585,err_12191775_1.err
err_12191775,1,classical,1,43,52,0.0585,err_12191775_1.err
err_12191775,1,classical,1,43,52,0.0608,err_12191775_1.err
err_12191775,1,classical,1,43,52,0.043,err_12191775_1.err
err_12191775,1,classical,1,43,52,0.0445,err_12191775_1.err
err_12191775,1,classical,1,43,52,0.0547,err_12191775_1.err
err_12191775,1,classical,1,43,52,0.055,err_12191775_1.err
err_12191775,1,classical,1,43,52,0.0506,err_12191775_1.err
err_12191775,1,classical,1,49,52,0.0506,err_12191775_1.err
err_12191775,1,classical,1,49,52,0.0555,err_12191775_1.err
err_12191775,1,classical,1,49,52,0.0557,err_12191775_1.err
err_12191775,1,classical,1,49,52,0.038,err_12191775_1.err
err_12191775,1,classical,2,0,52,0.059,err_12191775_1.err
err_12191775,1,classical,2,0,52,0.0656,err_12191775_1.err
err_12191775,1,classical,2,0,52,0.066,err_12191775_1.err
err_12191775,1,classical,2,0,52,0.0681,err_12191775_1.err
err_12191775,1,classical,2,0,52,0.0546,err_12191775_1.err
err_12191775,1,classical,2,0,52,0.0587,err_12191775_1.err
err_12191775,1,classical,2,6,52,0.0587,err_12191775_1.err
err_12191775,1,classical,2,6,52,0.0462,err_12191775_1.err
err_12191775,1,classical,2,6,52,0.0439,err_12191775_1.err
err_12191775,1,classical,2,6,52,0.0385,err_12191775_1.err
err_12191775,1,classical,2,6,52,0.0378,err_12191775_1.err
err_12191775,1,classical,2,6,52,0.0397,err_12191775_1.err
err_12191775,1,classical,2,6,52,0.0332,err_12191775_1.err
err_12191775,1,classical,2,12,52,0.0332,err_12191775_1.err
err_12191775,1,classical,2,12,52,0.0361,err_12191775_1.err
err_12191775,1,classical,2,12,52,0.034,err_12191775_1.err
err_12191775,1,classical,2,12,52,0.0344,err_12191775_1.err
err_12191775,1,classical,2,12,52,0.0379,err_12191775_1.err
err_12191775,1,classical,2,12,52,0.0324,err_12191775_1.err
err_12191775,1,classical,2,12,52,0.0335,err_12191775_1.err
err_12191775,1,classical,2,18,52,0.0335,err_12191775_1.err
err_12191775,1,classical,2,18,52,0.0329,err_12191775_1.err
