"Arbeidsdeelname en werkloosheid per maand "
"Geslacht: Totaal"
"Leeftijd: 15 tot 75 jaar"
"";"Onderwerp"
"";"Beroepsbevolking|Seizoengecorrigeerd";"Werkzame beroepsbevolking|Seizoengecorrigeerd";"Werkloze beroepsbevolking|Seizoengecorrigeerd";"Werkloosheidspercentage|Seizoengecorrigeerd";"Bruto arbeidsparticipatie|Seizoengecorrigeerd";"Netto arbeidsparticipatie|Seizoengecorrigeerd"
"Perioden";"x 1000";"x 1000";"x 1000";"%";"%";"%"
"2003 januari";"8439";"7993";"446";"5,3";"69,8";"66,1"
"2003 februari";"8444";"7991";"453";"5,4";"69,8";"66,0"
"2003 maart";"8440";"7971";"470";"5,6";"69,7";"65,9"
"2003 april";"8447";"7963";"484";"5,7";"69,8";"65,8"
"2003 mei";"8458";"7964";"494";"5,8";"69,8";"65,8"
"2003 juni";"8451";"7950";"501";"5,9";"69,8";"65,6"
"2003 juli";"8463";"7957";"505";"6,0";"69,8";"65,7"
"2003 augustus";"8471";"7958";"513";"6,1";"69,9";"65,6"
"2003 september";"8458";"7937";"521";"6,2";"69,8";"65,5"
"2003 oktober";"8469";"7940";"529";"6,2";"69,8";"65,5"
"2003 november";"8467";"7930";"538";"6,4";"69,8";"65,4"
"2003 december";"8461";"7912";"548";"6,5";"69,7";"65,2"
"2004 januari";"8475";"7921";"555";"6,5";"69,8";"65,3"
"2004 februari";"8479";"7923";"556";"6,6";"69,8";"65,3"
"2004 maart";"8481";"7914";"567";"6,7";"69,8";"65,2"
"2004 april";"8505";"7918";"586";"6,9";"70,0";"65,2"
"2004 mei";"8515";"7921";"594";"7,0";"70,1";"65,2"
"2004 juni";"8507";"7918";"589";"6,9";"70,0";"65,1"
"2004 juli";"8516";"7940";"576";"6,8";"70,0";"65,3"
"2004 augustus";"8495";"7925";"570";"6,7";"69,9";"65,2"
"2004 september";"8493";"7923";"570";"6,7";"69,8";"65,1"
"2004 oktober";"8511";"7931";"580";"6,8";"70,0";"65,2"
"2004 november";"8515";"7934";"581";"6,8";"70,0";"65,2"
"2004 december";"8531";"7935";"596";"7,0";"70,1";"65,2"
