"Bestaande koopwoningen; verkoopprijzen prijsindex 2015=100 1995-2023"
""
"";"Onderwerp"
"";"Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen";"Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode";"Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder";"Aantal verkochte woningen|Aantal verkochte woningen";"Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode";"Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder";"Gemiddelde verkoopprijs";"Totale waarde verkoopprijzen"
"Perioden";"2015=100";"%";"%";"aantal";"%";"%";"euro";"mln euro"
"1995 januari";"41,3";"";"";"8793";"";"";"88991";"782"
"1995 februari";"41,5";"0,6";"";"10103";"14,9";"";"89741";"907"
"1995 maart";"41,4";"-0,3";"";"11838";"17,2";"";"90432";"1071"
"1995 april";"41,6";"0,5";"";"10626";"-10,2";"";"89808";"954"
"1995 mei";"41,8";"0,6";"";"12746";"20,0";"";"92326";"1177"
"1995 juni";"42,2";"1,0";"";"13682";"7,3";"";"93652";"1281"
"1995 juli";"42,7";"1,1";"";"14346";"4,9";"";"95222";"1366"
"1995 augustus";"43,2";"1,2";"";"13580";"-5,3";"";"96583";"1312"
"1995 september";"43,3";"0,1";"";"12572";"-7,4";"";"95676";"1203"
"1995 oktober";"43,5";"0,5";"";"13629";"8,4";"";"95076";"1296"
"1995 november";"43,4";"-0,1";"";"13363";"-2,0";"";"95408";"1275"
"1995 december";"43,9";"1,1";"";"19290";"44,4";"";"96804";"1867"
"1995";"42,5";"";"";"154568";"";"";"93750";"14491"
"1996 januari";"44,5";"1,4";"7,9";"10193";"-47,2";"15,9";"96767";"986"
"1996 februari";"44,8";"0,7";"8,0";"12061";"18,3";"19,4";"96539";"1164"
"1996 maart";"45,2";"0,7";"9,1";"13415";"11,2";"13,3";"98188";"1317"
