"Consumentenprijzen; prijsindex 2015=100"
"Bestedingscategorieën: 000000 Alle bestedingen"
"";"Onderwerp"
"";"CPI";"CPI afgeleid";"Jaarmutatie CPI";"Jaarmutatie CPI afgeleid"
"Perioden";"2015 = 100";"2015 = 100";"%";"%"
"1996 januari";"68,03";"72,28";"";""
"1996 februari";"68,29";"72,55";"";""
"1996 maart";"68,92";"73,22";"";""
"1996 april";"69,13";"73,44";"";""
"1996 mei";"68,96";"73,26";"";""
"1996 juni";"68,67";"72,95";"";""
"1996 juli";"68,84";"73,14";"";""
"1996 augustus";"68,75";"73,04";"";""
"1996 september";"69,37";"73,72";"";""
"1996 oktober";"69,53";"73,89";"";""
"1996 november";"69,45";"73,80";"";""
"1996 december";"69,37";"73,72";"";""
"1996";"68,94";"73,25";"";""
"1997 januari";"69,45";"73,63";"2,1";"1,9"
"1997 februari";"69,59";"73,78";"1,9";"1,7"
"1997 maart";"70,12";"74,32";"1,7";"1,5"
"1997 april";"70,20";"74,39";"1,5";"1,3"
"1997 mei";"70,36";"74,56";"2,0";"1,8"
"1997 juni";"70,02";"74,21";"2,0";"1,7"
"1997 juli";"70,25";"74,48";"2,0";"1,8"
"1997 augustus";"70,44";"74,68";"2,5";"2,2"
"1997 september";"71,07";"75,37";"2,5";"2,2"
"1997 oktober";"71,14";"75,44";"2,3";"2,1"
"1997 november";"71,17";"75,47";"2,5";"2,3"
"1997 december";"70,95";"75,24";"2,3";"2,1"
"1997";"70,40";"74,63";"2,1";"1,9"
"1998 januari";"70,71";"74,81";"1,8";"1,6"
"1998 februari";"71,11";"75,22";"2,2";"2,0"
"1998 maart";"71,70";"75,85";"2,3";"2,1"
"1998 april";"71,88";"76,04";"2,4";"2,2"
"1998 mei";"71,81";"75,96";"2,1";"1,9"
"1998 juni";"71,51";"75,65";"2,1";"1,9"
"1998 juli";"71,65";"75,80";"2,0";"1,8"
"1998 augustus";"71,66";"75,80";"1,7";"1,5"
"1998 september";"72,25";"76,45";"1,7";"1,4"
"1998 oktober";"72,41";"76,63";"1,8";"1,6"
"1998 november";"72,41";"76,61";"1,7";"1,5"
"1998 december";"72,21";"76,39";"1,8";"1,5"
"1998";"71,78";"75,93";"2,0";"1,7"
"1999 januari";"72,25";"76,06";"2,2";"1,7"
"1999 februari";"72,61";"76,44";"2,1";"1,6"
"1999 maart";"73,24";"77,11";"2,1";"1,7"
"1999 april";"73,40";"77,28";"2,1";"1,6"
"1999 mei";"73,42";"77,31";"2,2";"1,8"
"1999 juni";"73,14";"77,00";"2,3";"1,8"
"1999 juli";"73,06";"76,92";"2,0";"1,5"
"1999 augustus";"73,46";"77,34";"2,5";"2,0"
"1999 september";"73,80";"77,68";"2,1";"1,6"
"1999 oktober";"73,86";"77,74";"2,0";"1,4"
"1999 november";"73,95";"77,84";"2,1";"1,6"
"1999 december";"73,70";"77,58";"2,1";"1,6"
"1999";"73,32";"77,19";"2,1";"1,7"
"2000 januari";"73,55";"77,17";"1,8";"1,5"
"2000 februari";"74,00";"77,64";"1,9";"1,6"
"2000 maart";"74,66";"78,33";"1,9";"1,6"
"2000 april";"74,78";"78,46";"1,9";"1,5"
"2000 mei";"75,02";"78,69";"2,2";"1,8"
"2000 juni";"74,94";"78,62";"2,5";"2,1"
"2000 juli";"74,75";"78,41";"2,3";"1,9"
"2000 augustus";"75,08";"78,75";"2,2";"1,8"
"2000 september";"75,99";"79,70";"3,0";"2,6"
"2000 oktober";"76,12";"79,84";"3,1";"2,7"
"2000 november";"76,11";"79,83";"2,9";"2,6"
"2000 december";"75,66";"79,36";"2,7";"2,3"
"2000";"75,06";"78,73";"2,4";"2,0"
"2001 januari";"76,31";"79,25";"3,8";"2,7"
"2001 februari";"76,98";"79,91";"4,0";"2,9"
"2001 maart";"77,70";"80,67";"4,1";"3,0"
"2001 april";"78,13";"81,12";"4,5";"3,4"
"2001 mei";"78,39";"81,39";"4,5";"3,4"
"2001 juni";"78,09";"81,07";"4,2";"3,1"
"2001 juli";"77,98";"80,99";"4,3";"3,3"
"2001 augustus";"78,27";"81,28";"4,2";"3,2"
"2001 september";"79,23";"82,27";"4,3";"3,2"
"2001 oktober";"79,15";"82,18";"4,0";"2,9"
"2001 november";"79,05";"82,08";"3,9";"2,8"
"2001 december";"78,81";"81,84";"4,2";"3,1"
"2001";"78,17";"81,17";"4,1";"3,1"
"2002 januari";"79,38";"82,37";"4,0";"3,9"
"2002 februari";"79,81";"82,82";"3,7";"3,6"
"2002 maart";"80,52";"83,55";"3,6";"3,6"
"2002 april";"80,90";"83,94";"3,5";"3,5"
"2002 mei";"80,92";"83,96";"3,2";"3,2"
"2002 juni";"80,65";"83,66";"3,3";"3,2"
"2002 juli";"80,54";"83,55";"3,3";"3,2"
"2002 augustus";"80,81";"83,84";"3,2";"3,1"
"2002 september";"81,69";"84,74";"3,1";"3,0"
"2002 oktober";"81,49";"84,59";"3,0";"2,9"
"2002 november";"81,25";"84,34";"2,8";"2,8"
"2002 december";"80,97";"84,05";"2,7";"2,7"
"2002";"80,74";"83,78";"3,3";"3,2"
"2003 januari";"81,25";"84,06";"2,4";"2,1"
"2003 februari";"81,75";"84,58";"2,4";"2,1"
"2003 maart";"82,53";"85,39";"2,5";"2,2"
"2003 april";"82,61";"85,47";"2,1";"1,8"
"2003 mei";"82,55";"85,42";"2,0";"1,7"
"2003 juni";"82,17";"85,02";"1,9";"1,6"
"2003 juli";"82,24";"85,19";"2,1";"2,0"
"2003 augustus";"82,50";"85,45";"2,1";"1,9"
"2003 september";"83,31";"86,29";"2,0";"1,8"
"2003 oktober";"83,08";"86,06";"2,0";"1,7"
"2003 november";"82,87";"85,84";"2,0";"1,8"
"2003 december";"82,34";"85,29";"1,7";"1,5"
"2003";"82,43";"85,34";"2,1";"1,9"
"2004 januari";"82,35";"85,09";"1,4";"1,2"
"2004 februari";"82,72";"85,47";"1,2";"1,1"
"2004 maart";"83,44";"86,14";"1,1";"0,9"
"2004 april";"83,71";"86,31";"1,3";"1,0"
"2004 mei";"83,85";"86,45";"1,6";"1,2"
"2004 juni";"83,31";"85,89";"1,4";"1,0"
"2004 juli";"83,19";"85,72";"1,2";"0,6"
"2004 augustus";"83,47";"86,01";"1,2";"0,7"
"2004 september";"84,20";"86,76";"1,1";"0,5"
"2004 oktober";"84,23";"86,80";"1,4";"0,9"
"2004 november";"83,98";"86,54";"1,3";"0,8"
"2004 december";"83,25";"85,79";"1,1";"0,6"
"2004";"83,48";"86,08";"1,3";"0,9"
"2005 januari";"83,58";"85,92";"1,5";"1,0"
"2005 februari";"84,10";"86,46";"1,7";"1,2"
