"Eindverbruikersprijzen aardgas en elektriciteit"
"Belastingen: Inclusief btw en belastingen"
"";"";"Onderwerp"
"";"";"Aardgasprijs|Verbruiksklassen huishoudens|Minder dan 569 m3";"Aardgasprijs|Verbruiksklassen huishoudens|569 tot 5 687 m3";"Elektriciteitsprijs |Verbruiksklassen huishoudens|1 tot 2,5 MWh";"Elektriciteitsprijs |Verbruiksklassen huishoudens|2,5 tot 5 MWh";"Elektriciteitsprijs |Verbruiksklassen huishoudens|5 tot 15 MWh";"Elektriciteitsprijs |Verbruiksklassen niet-huishoudens|500 tot 2 000 MWh";"Elektriciteitsprijs |Verbruiksklassen niet-huishoudens|150 000 MWh en meer"
"Perioden";"Prijscomponenten";"euro per m3";"euro per m3";"euro per kWh";"euro per kWh";"euro per kWh";"euro per kWh";"euro per kWh"
"2009 1e halfjaar";"Totaalprijs";"1,057";"0,791";"0,144";"0,198";"0,216";"0,132";"0,080"
"2009 2e halfjaar";"Totaalprijs";"1,031";"0,658";"0,136";"0,190";"0,209";"0,127";"0,072"
"2009";"Totaalprijs";"1,045";"0,735";"0,140";"0,195";"0,213";"0,129";"0,076"
"2010 1e halfjaar";"Totaalprijs";"0,943";"0,664";"0,120";"0,177";"0,196";"0,120";"0,074"
"2010 2e halfjaar";"Totaalprijs";"1,060";"0,703";"0,125";"0,179";"0,197";"0,115";"0,076"
"2010";"Totaalprijs";"0,994";"0,681";"0,123";"0,178";"0,197";"0,118";"0,075"
"2011 1e halfjaar";"Totaalprijs";"0,955";"0,674";"0,128";"0,180";"0,196";"0,117";"0,076"
"2011 2e halfjaar";"Totaalprijs";"1,170";"0,768";"0,127";"0,180";"0,197";"0,113";"0,078"
"2011";"Totaalprijs";"1,045";"0,713";"0,128";"0,180";"0,196";"0,116";"0,077"
"2012 1e halfjaar";"Totaalprijs";"1,001";"0,724";"0,134";"0,185";"0,200";"0,116";"0,070"
"2012 2e halfjaar";"Totaalprijs";"1,235";"0,825";"0,134";"0,187";"0,201";"0,115";"0,076"
"2012";"Totaalprijs";"1,095";"0,763";"0,134";"0,186";"0,201";"0,115";"0,073"
"2013 1e halfjaar";"Totaalprijs";"1,034";"0,772";"0,140";"0,190";"0,204";"0,115";"0,088"
