"Hernieuwbare energie; verbruik naar energiebron, techniek en toepassing"
"Energietoepassingen: Totaal energietoepassingen"
""
"Perioden";"2022 ";"2022 ";"2023 **";"2023 **"
"Onderwerp";"Bruto eindverbruik";"Bruto eindverbruik relatief";"Bruto eindverbruik";"Bruto eindverbruik relatief"
"Bron/techniek";"TJ";"% van totaal eindverbruik energie";"TJ";"% van totaal eindverbruik energie"
"Totaal hern. energie exc. stat. overdr.";"280854";"15,13";"311982";"17,42"
"Totaal hern. energie inc. stat. overdr.";"280854";"15,13";"311982";"17,42"
"Statistische overdracht";"";"";"";""
"Totaal, inclusief niet-hernieuwbaar";"1855683";"";"1790898";""
"Waterkracht";"312";"0,02";"304";"0,02"
"Totaal windenergie";"77054";"4,15";"96674";"5,40"
"Windenergie op land";"46644";"2,51";"56762";"3,17"
"Windenergie op zee";"30410";"1,64";"39912";"2,23"
"Totaal zonne-energie";"61132";"3,29";"71657";"4,00"
"Zonnestroom";"59964";"3,23";"70481";"3,94"
"Zonnewarmte";"1168";"0,06";"1176";"0,07"
"Totaal aardwarmte en bodemenergie";"12783";"0,69";"13455";"0,75"
"Aardwarmte";"6798";"0,37";"6798";"0,38"
"Bodemwarmte";"5984";"0,32";"6657";"0,37"
"Buitenluchtwarmte";"14191";"0,76";"18867";"1,05"
"Hernieuwbare koude";"5119";"0,28";"5825";"0,33"
"Totaal biomassa";"110263";"5,94";"105200";"5,87"
"Afvalverbrandingsinstallaties";"18347";"0,99";"16579";"0,93"
"Bij- en meestoken biomassa in centrales";"22308";"1,20";"15369";"0,86"
"Totaal biomassa huishoudens";"16195";"0,87";"16180";"0,90"
"Biomassa huishoudens, openhaarden";"1775";"0,10";"1707";"0,10"
"Biomassa huishoudens, inzethaarden";"2229";"0,12";"2222";"0,12"
"Biomassa huishoudens, houtkachels";"9739";"0,52";"9673";"0,54"
"Biomassa huishoudens, pelletkachels";"2182";"0,12";"2307";"0,13"
"Biomassa huishoudens, houtskoolverbruik";"270";"0,01";"270";"0,02"
"Totaal biomassaketels bedrijven";"18881";"1,02";"20622";"1,15"
"Biomassaketels bedrijven, WKK";"6927";"0,37";"10803";"0,60"
"Biomassaketels bedrijven, alleen warmte";"11954";"0,64";"9819";"0,55"
"Totaal Biogas";"7974";"0,43";"8294";"0,46"
"Biogas uit stortplaatsen";"265";"0,01";"233";"0,01"
"Biogas rioolwaterzuiveringsinstallaties";"2082";"0,11";"2219";"0,12"
"Biogas, co-vergisting van mest";"2790";"0,15";"3069";"0,17"
"Overig biogas";"2836";"0,15";"2772";"0,15"
"Vloeibare biotransportbrandstof, totaal";"26557";"1,43";"28157";"1,57"
"Biobenzine";"10512";"0,57";"10781";"0,60"
"Biodiesel";"15167";"0,82";"14730";"0,82"
"Biokerosine";"878";"0,05";"2646";"0,15"
"Bron: CBS"
