"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"01.01.2024 00:00 - 01.01.2024 00:15","10783","11257"
"01.01.2024 00:15 - 01.01.2024 00:30","10713","11279"
"01.01.2024 00:30 - 01.01.2024 00:45","10626","11291"
"01.01.2024 00:45 - 01.01.2024 01:00","10527","11266"
"01.01.2024 01:00 - 01.01.2024 01:15","10457","11312"
"01.01.2024 01:15 - 01.01.2024 01:30","10335","11281"
"01.01.2024 01:30 - 01.01.2024 01:45","10290","11248"
"01.01.2024 01:45 - 01.01.2024 02:00","10235","11128"
"01.01.2024 02:00 - 01.01.2024 02:15","10233","11127"
"01.01.2024 02:15 - 01.01.2024 02:30","10221","11074"
"01.01.2024 02:30 - 01.01.2024 02:45","10135","10982"
"01.01.2024 02:45 - 01.01.2024 03:00","10107","10894"
"01.01.2024 03:00 - 01.01.2024 03:15","10075","10848"
"01.01.2024 03:15 - 01.01.2024 03:30","10015","10758"
"01.01.2024 03:30 - 01.01.2024 03:45","10004","10783"
"01.01.2024 03:45 - 01.01.2024 04:00","10008","10715"
"01.01.2024 04:00 - 01.01.2024 04:15","10037","10703"
"01.01.2024 04:15 - 01.01.2024 04:30","10086","10627"
"01.01.2024 04:30 - 01.01.2024 04:45","10111","10598"
"01.01.2024 04:45 - 01.01.2024 05:00","10137","10580"
"01.01.2024 05:00 - 01.01.2024 05:15","10223","10614"
"01.01.2024 05:15 - 01.01.2024 05:30","10298","10662"
"01.01.2024 05:30 - 01.01.2024 05:45","10376","10710"
"01.01.2024 05:45 - 01.01.2024 06:00","10499","10727"
"01.01.2024 06:00 - 01.01.2024 06:15","10620","10852"
"01.01.2024 06:15 - 01.01.2024 06:30","10915","10861"
"01.01.2024 06:30 - 01.01.2024 06:45","11149","10875"
"01.01.2024 06:45 - 01.01.2024 07:00","11390","10912"
"01.01.2024 07:00 - 01.01.2024 07:15","11736","11052"
"01.01.2024 07:15 - 01.01.2024 07:30","12128","11076"
"01.01.2024 07:30 - 01.01.2024 07:45","12443","11202"
"01.01.2024 07:45 - 01.01.2024 08:00","12748","11252"
"01.01.2024 08:00 - 01.01.2024 08:15","13016","11382"
"01.01.2024 08:15 - 01.01.2024 08:30","13313","11557"
"01.01.2024 08:30 - 01.01.2024 08:45","13524","11624"
"01.01.2024 08:45 - 01.01.2024 09:00","13719","11686"
"01.01.2024 09:00 - 01.01.2024 09:15","13830","11790"
"01.01.2024 09:15 - 01.01.2024 09:30","13943","11850"
"01.01.2024 09:30 - 01.01.2024 09:45","13963","11912"
"01.01.2024 09:45 - 01.01.2024 10:00","13988","12064"
"01.01.2024 10:00 - 01.01.2024 10:15","14050","12156"
"01.01.2024 10:15 - 01.01.2024 10:30","14072","12224"
"01.01.2024 10:30 - 01.01.2024 10:45","14039","12247"
"01.01.2024 10:45 - 01.01.2024 11:00","13942","12296"
"01.01.2024 11:00 - 01.01.2024 11:15","13879","12332"
"01.01.2024 11:15 - 01.01.2024 11:30","13885","12352"
"01.01.2024 11:30 - 01.01.2024 11:45","13802","12385"
"01.01.2024 11:45 - 01.01.2024 12:00","13807","12374"
"01.01.2024 12:00 - 01.01.2024 12:15","13762","12380"
"01.01.2024 12:15 - 01.01.2024 12:30","13730","12403"
"01.01.2024 12:30 - 01.01.2024 12:45","13649","12443"
"01.01.2024 12:45 - 01.01.2024 13:00","13593","12496"
