"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"01.01.2019 00:00 - 01.01.2019 00:15","12536","11268"
"01.01.2019 00:15 - 01.01.2019 00:30","12481","11280"
"01.01.2019 00:30 - 01.01.2019 00:45","12350","11287"
"01.01.2019 00:45 - 01.01.2019 01:00","12196","11304"
"01.01.2019 01:00 - 01.01.2019 01:15","12006","11266"
"01.01.2019 01:15 - 01.01.2019 01:30","11866","11252"
"01.01.2019 01:30 - 01.01.2019 01:45","11751","11185"
"01.01.2019 01:45 - 01.01.2019 02:00","11617","11072"
"01.01.2019 02:00 - 01.01.2019 02:15","11522","11043"
"01.01.2019 02:15 - 01.01.2019 02:30","11451","11002"
"01.01.2019 02:30 - 01.01.2019 02:45","11367","10883"
"01.01.2019 02:45 - 01.01.2019 03:00","11302","10805"
"01.01.2019 03:00 - 01.01.2019 03:15","11278","10803"
"01.01.2019 03:15 - 01.01.2019 03:30","11282","10703"
"01.01.2019 03:30 - 01.01.2019 03:45","11328","10634"
"01.01.2019 03:45 - 01.01.2019 04:00","11348","10527"
"01.01.2019 04:00 - 01.01.2019 04:15","11360","10443"
"01.01.2019 04:15 - 01.01.2019 04:30","11384","10430"
"01.01.2019 04:30 - 01.01.2019 04:45","11420","10398"
"01.01.2019 04:45 - 01.01.2019 05:00","11517","10382"
"01.01.2019 05:00 - 01.01.2019 05:15","11612","10441"
"01.01.2019 05:15 - 01.01.2019 05:30","11748","10401"
"01.01.2019 05:30 - 01.01.2019 05:45","11954","10452"
"01.01.2019 05:45 - 01.01.2019 06:00","12211","10469"
"01.01.2019 06:00 - 01.01.2019 06:15","12436","10629"
"01.01.2019 06:15 - 01.01.2019 06:30","12794","10663"
"01.01.2019 06:30 - 01.01.2019 06:45","13258","10690"
"01.01.2019 06:45 - 01.01.2019 07:00","13638","10696"
"01.01.2019 07:00 - 01.01.2019 07:15","14128","10806"
"01.01.2019 07:15 - 01.01.2019 07:30","14756","10866"
"01.01.2019 07:30 - 01.01.2019 07:45","15322","10920"
"01.01.2019 07:45 - 01.01.2019 08:00","15773","11002"
"01.01.2019 08:00 - 01.01.2019 08:15","16161","11067"
"01.01.2019 08:15 - 01.01.2019 08:30","16574","11151"
"01.01.2019 08:30 - 01.01.2019 08:45","16858","11204"
"01.01.2019 08:45 - 01.01.2019 09:00","16948","11222"
"01.01.2019 09:00 - 01.01.2019 09:15","17063","11293"
"01.01.2019 09:15 - 01.01.2019 09:30","17155","11412"
"01.01.2019 09:30 - 01.01.2019 09:45","17185","11522"
"01.01.2019 09:45 - 01.01.2019 10:00","17215","11626"
"01.01.2019 10:00 - 01.01.2019 10:15","17178","11745"
"01.01.2019 10:15 - 01.01.2019 10:30","17071","11776"
"01.01.2019 10:30 - 01.01.2019 10:45","17008","11849"
"01.01.2019 10:45 - 01.01.2019 11:00","16993","11979"
"01.01.2019 11:00 - 01.01.2019 11:15","16964","12152"
"01.01.2019 11:15 - 01.01.2019 11:30","16949","12227"
"01.01.2019 11:30 - 01.01.2019 11:45","16926","12289"
"01.01.2019 11:45 - 01.01.2019 12:00","16881","12363"
"01.01.2019 12:00 - 01.01.2019 12:15","16833","12404"
"01.01.2019 12:15 - 01.01.2019 12:30","16755","12451"
"01.01.2019 12:30 - 01.01.2019 12:45","16686","12536"
"01.01.2019 12:45 - 01.01.2019 13:00","16589","12579"
"01.01.2019 13:00 - 01.01.2019 13:15","16534","12617"
"01.01.2019 13:15 - 01.01.2019 13:30","16551","12627"
"01.01.2019 13:30 - 01.01.2019 13:45","16570","12614"
"01.01.2019 13:45 - 01.01.2019 14:00","12430","12580"
"01.01.2019 14:00 - 01.01.2019 14:15","16671","12553"
"01.01.2019 14:15 - 01.01.2019 14:30","16773","12565"
"01.01.2019 14:30 - 01.01.2019 14:45","16902","12595"
"01.01.2019 14:45 - 01.01.2019 15:00","16975","12636"
"01.01.2019 15:00 - 01.01.2019 15:15","17051","12679"
"01.01.2019 15:15 - 01.01.2019 15:30","17088","12692"
"01.01.2019 15:30 - 01.01.2019 15:45","17191","12717"
"01.01.2019 15:45 - 01.01.2019 16:00","17182","12748"
"01.01.2019 16:00 - 01.01.2019 16:15","17056","12790"
"01.01.2019 16:15 - 01.01.2019 16:30","17231","12960"
"01.01.2019 16:30 - 01.01.2019 16:45","17445","13132"
"01.01.2019 16:45 - 01.01.2019 17:00","17763","13423"
"01.01.2019 17:00 - 01.01.2019 17:15","17995","13765"
"01.01.2019 17:15 - 01.01.2019 17:30","17900","14054"
"01.01.2019 17:30 - 01.01.2019 17:45","17977","14231"
"01.01.2019 17:45 - 01.01.2019 18:00","17961","14267"
"01.01.2019 18:00 - 01.01.2019 18:15","17596","14025"
"01.01.2019 18:15 - 01.01.2019 18:30","16963","13977"
"01.01.2019 18:30 - 01.01.2019 18:45","16767","13904"
"01.01.2019 18:45 - 01.01.2019 19:00","16640","13895"
"01.01.2019 19:00 - 01.01.2019 19:15","16514","13787"
"01.01.2019 19:15 - 01.01.2019 19:30","16370","13703"
"01.01.2019 19:30 - 01.01.2019 19:45","16197","13631"
"01.01.2019 19:45 - 01.01.2019 20:00","16073","13590"
"01.01.2019 20:00 - 01.01.2019 20:15","15962","13478"
"01.01.2019 20:15 - 01.01.2019 20:30","15763","13394"
"01.01.2019 20:30 - 01.01.2019 20:45","15554","13229"
"01.01.2019 20:45 - 01.01.2019 21:00","15344","13142"
"01.01.2019 21:00 - 01.01.2019 21:15","15159","12921"
"01.01.2019 21:15 - 01.01.2019 21:30","15002","12830"
"01.01.2019 21:30 - 01.01.2019 21:45","14800","12705"
"01.01.2019 21:45 - 01.01.2019 22:00","14583","12590"
"01.01.2019 22:00 - 01.01.2019 22:15","14412","12442"
"01.01.2019 22:15 - 01.01.2019 22:30","14184","12299"
"01.01.2019 22:30 - 01.01.2019 22:45","13907","12126"
"01.01.2019 22:45 - 01.01.2019 23:00","13622","12022"
"01.01.2019 23:00 - 01.01.2019 23:15","13418","11811"
"01.01.2019 23:15 - 01.01.2019 23:30","13282","11601"
"01.01.2019 23:30 - 01.01.2019 23:45","13046","11433"
"01.01.2019 23:45 - 02.01.2019 00:00","12738","11242"
"02.01.2019 00:00 - 02.01.2019 00:15","12545","11172"
"02.01.2019 00:15 - 02.01.2019 00:30","12571","11109"
"02.01.2019 00:30 - 02.01.2019 00:45","12521","11007"
"02.01.2019 00:45 - 02.01.2019 01:00","12417","10937"
"02.01.2019 01:00 - 02.01.2019 01:15","12255","10813"
"02.01.2019 01:15 - 02.01.2019 01:30","12093","10742"
"02.01.2019 01:30 - 02.01.2019 01:45","11954","10726"
"02.01.2019 01:45 - 02.01.2019 02:00","11831","10628"
"02.01.2019 02:00 - 02.01.2019 02:15","11722","10616"
"02.01.2019 02:15 - 02.01.2019 02:30","11664","10609"
"02.01.2019 02:30 - 02.01.2019 02:45","11613","10523"
"02.01.2019 02:45 - 02.01.2019 03:00","11568","10544"
"02.01.2019 03:00 - 02.01.2019 03:15","11549","10513"
"02.01.2019 03:15 - 02.01.2019 03:30","11552","10517"
"02.01.2019 03:30 - 02.01.2019 03:45","11554","10508"
"02.01.2019 03:45 - 02.01.2019 04:00","11534","10509"
"02.01.2019 04:00 - 02.01.2019 04:15","11545","10509"
"02.01.2019 04:15 - 02.01.2019 04:30","11550","10556"
"02.01.2019 04:30 - 02.01.2019 04:45","11593","10648"
"02.01.2019 04:45 - 02.01.2019 05:00","11663","10717"
"02.01.2019 05:00 - 02.01.2019 05:15","11745","10841"
"02.01.2019 05:15 - 02.01.2019 05:30","11873","10978"
"02.01.2019 05:30 - 02.01.2019 05:45","12035","11175"
"02.01.2019 05:45 - 02.01.2019 06:00","12289","11443"
"02.01.2019 06:00 - 02.01.2019 06:15","12623","11841"
"02.01.2019 06:15 - 02.01.2019 06:30","13103","12166"
"02.01.2019 06:30 - 02.01.2019 06:45","13554","12455"
"02.01.2019 06:45 - 02.01.2019 07:00","13981","12738"
"02.01.2019 07:00 - 02.01.2019 07:15","14444","13221"
"02.01.2019 07:15 - 02.01.2019 07:30","15053","13599"
"02.01.2019 07:30 - 02.01.2019 07:45","15629","13927"
"02.01.2019 07:45 - 02.01.2019 08:00","16079","14263"
"02.01.2019 08:00 - 02.01.2019 08:15","16476","14647"
"02.01.2019 08:15 - 02.01.2019 08:30","16886","15000"
"02.01.2019 08:30 - 02.01.2019 08:45","17139","15151"
"02.01.2019 08:45 - 02.01.2019 09:00","17245","15322"
"02.01.2019 09:00 - 02.01.2019 09:15","17298","15521"
"02.01.2019 09:15 - 02.01.2019 09:30","17316","15707"
"02.01.2019 09:30 - 02.01.2019 09:45","17645","15755"
"02.01.2019 09:45 - 02.01.2019 10:00","17752","15869"
"02.01.2019 10:00 - 02.01.2019 10:15","17755","15927"
"02.01.2019 10:15 - 02.01.2019 10:30","17710","15720"
"02.01.2019 10:30 - 02.01.2019 10:45","17716","15725"
"02.01.2019 10:45 - 02.01.2019 11:00","17723","15780"
"02.01.2019 11:00 - 02.01.2019 11:15","17735","15842"
"02.01.2019 11:15 - 02.01.2019 11:30","17734","15909"
"02.01.2019 11:30 - 02.01.2019 11:45","17717","15996"
"02.01.2019 11:45 - 02.01.2019 12:00","17674","15970"
"02.01.2019 12:00 - 02.01.2019 12:15","17625","15940"
"02.01.2019 12:15 - 02.01.2019 12:30","17601","15883"
"02.01.2019 12:30 - 02.01.2019 12:45","17551","15797"
"02.01.2019 12:45 - 02.01.2019 13:00","17511","15809"
"02.01.2019 13:00 - 02.01.2019 13:15","17500","15859"
"02.01.2019 13:15 - 02.01.2019 13:30","17584","15839"
"02.01.2019 13:30 - 02.01.2019 13:45","17626","15879"
"02.01.2019 13:45 - 02.01.2019 14:00","17646","15839"
"02.01.2019 14:00 - 02.01.2019 14:15","17677","15827"
"02.01.2019 14:15 - 02.01.2019 14:30","17672","15836"
"02.01.2019 14:30 - 02.01.2019 14:45","17659","15789"
"02.01.2019 14:45 - 02.01.2019 15:00","17699","15794"
"02.01.2019 15:00 - 02.01.2019 15:15","17730","15825"
"02.01.2019 15:15 - 02.01.2019 15:30","17732","15865"
"02.01.2019 15:30 - 02.01.2019 15:45","17797","15904"
"02.01.2019 15:45 - 02.01.2019 16:00","17856","15947"
"02.01.2019 16:00 - 02.01.2019 16:15","17836","15991"
"02.01.2019 16:15 - 02.01.2019 16:30","17791","16135"
"02.01.2019 16:30 - 02.01.2019 16:45","18010","16337"
"02.01.2019 16:45 - 02.01.2019 17:00","18372","16680"
"02.01.2019 17:00 - 02.01.2019 17:15","18575","17009"
"02.01.2019 17:15 - 02.01.2019 17:30","18511","17236"
"02.01.2019 17:30 - 02.01.2019 17:45","18580","17248"
"02.01.2019 17:45 - 02.01.2019 18:00","18500","17141"
"02.01.2019 18:00 - 02.01.2019 18:15","18089","16558"
"02.01.2019 18:15 - 02.01.2019 18:30","17444","16323"
"02.01.2019 18:30 - 02.01.2019 18:45","17175","16199"
"02.01.2019 18:45 - 02.01.2019 19:00","17000","16080"
"02.01.2019 19:00 - 02.01.2019 19:15","16876","15918"
"02.01.2019 19:15 - 02.01.2019 19:30","16747","15744"
"02.01.2019 19:30 - 02.01.2019 19:45","16604","15584"
"02.01.2019 19:45 - 02.01.2019 20:00","16456","15548"
"02.01.2019 20:00 - 02.01.2019 20:15","16313","15274"
"02.01.2019 20:15 - 02.01.2019 20:30","16108","15115"
"02.01.2019 20:30 - 02.01.2019 20:45","15885","14883"
"02.01.2019 20:45 - 02.01.2019 21:00","15689","14667"
"02.01.2019 21:00 - 02.01.2019 21:15","15524","14452"
"02.01.2019 21:15 - 02.01.2019 21:30","15367","14323"
"02.01.2019 21:30 - 02.01.2019 21:45","15188","14115"
"02.01.2019 21:45 - 02.01.2019 22:00","14946","13934"
"02.01.2019 22:00 - 02.01.2019 22:15","14688","13640"
"02.01.2019 22:15 - 02.01.2019 22:30","14421","13459"
"02.01.2019 22:30 - 02.01.2019 22:45","14155","13230"
"02.01.2019 22:45 - 02.01.2019 23:00","13824","12987"
"02.01.2019 23:00 - 02.01.2019 23:15","13651","12855"
"02.01.2019 23:15 - 02.01.2019 23:30","13582","12689"
"02.01.2019 23:30 - 02.01.2019 23:45","13330","12473"
"02.01.2019 23:45 - 03.01.2019 00:00","12997","12213"
"03.01.2019 00:00 - 03.01.2019 00:15","12778","12122"
"03.01.2019 00:15 - 03.01.2019 00:30","12799","12071"
"03.01.2019 00:30 - 03.01.2019 00:45","12768","11941"
"03.01.2019 00:45 - 03.01.2019 01:00","12681","11799"
"03.01.2019 01:00 - 03.01.2019 01:15","12514","11694"
"03.01.2019 01:15 - 03.01.2019 01:30","12378","11639"
"03.01.2019 01:30 - 03.01.2019 01:45","12252","11512"
"03.01.2019 01:45 - 03.01.2019 02:00","12104","11453"
"03.01.2019 02:00 - 03.01.2019 02:15","11962","11346"
"03.01.2019 02:15 - 03.01.2019 02:30","11892","11306"
"03.01.2019 02:30 - 03.01.2019 02:45","11813","11258"
"03.01.2019 02:45 - 03.01.2019 03:00","11732","11225"
"03.01.2019 03:00 - 03.01.2019 03:15","11687","11196"
"03.01.2019 03:15 - 03.01.2019 03:30","11680","11180"
"03.01.2019 03:30 - 03.01.2019 03:45","11661","11185"
"03.01.2019 03:45 - 03.01.2019 04:00","11671","11142"
"03.01.2019 04:00 - 03.01.2019 04:15","11683","11158"
"03.01.2019 04:15 - 03.01.2019 04:30","11738","11197"
"03.01.2019 04:30 - 03.01.2019 04:45","11793","11268"
"03.01.2019 04:45 - 03.01.2019 05:00","11831","11357"
"03.01.2019 05:00 - 03.01.2019 05:15","11933","11481"
"03.01.2019 05:15 - 03.01.2019 05:30","12097","11600"
"03.01.2019 05:30 - 03.01.2019 05:45","12279","11745"
"03.01.2019 05:45 - 03.01.2019 06:00","12505","11930"
"03.01.2019 06:00 - 03.01.2019 06:15","12801","12331"
"03.01.2019 06:15 - 03.01.2019 06:30","13328","12689"
"03.01.2019 06:30 - 03.01.2019 06:45","13850","12978"
"03.01.2019 06:45 - 03.01.2019 07:00","14330","13312"
"03.01.2019 07:00 - 03.01.2019 07:15","14898","13778"
"03.01.2019 07:15 - 03.01.2019 07:30","15572","14165"
"03.01.2019 07:30 - 03.01.2019 07:45","16159","14498"
"03.01.2019 07:45 - 03.01.2019 08:00","16682","14882"
"03.01.2019 08:00 - 03.01.2019 08:15","17169","15264"
"03.01.2019 08:15 - 03.01.2019 08:30","17622","15602"
"03.01.2019 08:30 - 03.01.2019 08:45","17943","15728"
"03.01.2019 08:45 - 03.01.2019 09:00","18099","15873"
"03.01.2019 09:00 - 03.01.2019 09:15","18222","15980"
"03.01.2019 09:15 - 03.01.2019 09:30","18339","16072"
"03.01.2019 09:30 - 03.01.2019 09:45","18410","16190"
"03.01.2019 09:45 - 03.01.2019 10:00","18368","16237"
"03.01.2019 10:00 - 03.01.2019 10:15","18308","16255"
"03.01.2019 10:15 - 03.01.2019 10:30","18370","16231"
"03.01.2019 10:30 - 03.01.2019 10:45","18315","16193"
"03.01.2019 10:45 - 03.01.2019 11:00","18254","16217"
"03.01.2019 11:00 - 03.01.2019 11:15","18193","16182"
"03.01.2019 11:15 - 03.01.2019 11:30","18132","16148"
"03.01.2019 11:30 - 03.01.2019 11:45","18079","16125"
"03.01.2019 11:45 - 03.01.2019 12:00","18023","16125"
"03.01.2019 12:00 - 03.01.2019 12:15","17945","16006"
"03.01.2019 12:15 - 03.01.2019 12:30","17787","15878"
"03.01.2019 12:30 - 03.01.2019 12:45","17692","15766"
"03.01.2019 12:45 - 03.01.2019 13:00","17638","15721"
"03.01.2019 13:00 - 03.01.2019 13:15","17624","15738"
"03.01.2019 13:15 - 03.01.2019 13:30","17717","15786"
"03.01.2019 13:30 - 03.01.2019 13:45","17818","15795"
"03.01.2019 13:45 - 03.01.2019 14:00","17878","15827"
"03.01.2019 14:00 - 03.01.2019 14:15","17901","15841"
"03.01.2019 14:15 - 03.01.2019 14:30","17928","15880"
"03.01.2019 14:30 - 03.01.2019 14:45","17999","15820"
"03.01.2019 14:45 - 03.01.2019 15:00","18055","15847"
"03.01.2019 15:00 - 03.01.2019 15:15","18091","15855"
"03.01.2019 15:15 - 03.01.2019 15:30","18126","15924"
"03.01.2019 15:30 - 03.01.2019 15:45","18223","15994"
"03.01.2019 15:45 - 03.01.2019 16:00","18353","16058"
"03.01.2019 16:00 - 03.01.2019 16:15","18407","16064"
"03.01.2019 16:15 - 03.01.2019 16:30","18460","16180"
"03.01.2019 16:30 - 03.01.2019 16:45","18692","16303"
"03.01.2019 16:45 - 03.01.2019 17:00","19004","16678"
"03.01.2019 17:00 - 03.01.2019 17:15","19189","16904"
"03.01.2019 17:15 - 03.01.2019 17:30","19103","17229"
"03.01.2019 17:30 - 03.01.2019 17:45","19221","17239"
"03.01.2019 17:45 - 03.01.2019 18:00","19169","17186"
"03.01.2019 18:00 - 03.01.2019 18:15","18751","16672"
"03.01.2019 18:15 - 03.01.2019 18:30","18059","16424"
