Date,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,Year,Month,Day,Hour,Minute
1995-01,41.3,,,8793.0,,,88991.0,782.0,1995,1,1,0,0
1995-02,41.5,0.6,,10103.0,14.9,,89741.0,907.0,1995,2,1,0,0
1995-03,41.4,-0.3,,11838.0,17.2,,90432.0,1071.0,1995,3,1,0,0
1995-04,41.6,0.5,,10626.0,-10.2,,89808.0,954.0,1995,4,1,0,0
1995-05,41.8,0.6,,12746.0,20.0,,92326.0,1177.0,1995,5,1,0,0
1995-06,42.2,1.0,,13682.0,7.3,,93652.0,1281.0,1995,6,1,0,0
1995-07,42.7,1.1,,14346.0,4.9,,95222.0,1366.0,1995,7,1,0,0
1995-08,43.2,1.2,,13580.0,-5.3,,96583.0,1312.0,1995,8,1,0,0
1995-09,43.3,0.1,,12572.0,-7.4,,95676.0,1203.0,1995,9,1,0,0
1995-10,43.5,0.5,,13629.0,8.4,,95076.0,1296.0,1995,10,1,0,0
1995-11,43.4,-0.1,,13363.0,-2.0,,95408.0,1275.0,1995,11,1,0,0
1995-12,43.9,1.1,,19290.0,44.4,,96804.0,1867.0,1995,12,1,0,0
1995-01,42.5,,,154568.0,,,93750.0,14491.0,1995,1,1,0,0
1996-01,44.5,1.4,7.9,10193.0,-47.2,15.9,96767.0,986.0,1996,1,1,0,0
1996-02,44.8,0.7,8.0,12061.0,18.3,19.4,96539.0,1164.0,1996,2,1,0,0
1996-03,45.2,0.7,9.1,13415.0,11.2,13.3,98188.0,1317.0,1996,3,1,0,0
1996-04,45.9,1.7,10.4,14610.0,8.9,37.5,99609.0,1455.0,1996,4,1,0,0
1996-05,46.5,1.2,11.1,15548.0,6.4,22.0,101317.0,1575.0,1996,5,1,0,0
1996-06,46.7,0.4,10.6,13652.0,-12.2,-0.2,99819.0,1363.0,1996,6,1,0,0
1996-07,47.4,1.6,11.1,17802.0,30.4,24.1,104167.0,1854.0,1996,7,1,0,0
1996-08,48.0,1.2,11.1,14922.0,-16.2,9.9,105608.0,1576.0,1996,8,1,0,0
1996-09,48.5,1.0,12.1,13858.0,-7.1,10.2,104589.0,1449.0,1996,9,1,0,0
1996-10,48.7,0.3,11.9,14781.0,6.7,8.5,104819.0,1549.0,1996,10,1,0,0
1996-11,49.1,1.0,13.1,14700.0,-0.5,10.0,106055.0,1559.0,1996,11,1,0,0
1996-12,49.3,0.3,12.2,20209.0,37.5,4.8,108073.0,2184.0,1996,12,1,0,0
1996-01,47.1,10.8,10.8,175751.0,13.7,13.7,102607.0,18033.0,1996,1,1,0,0
1997-01,49.9,1.3,12.1,10660.0,-47.3,4.6,105876.0,1129.0,1997,1,1,0,0
1997-02,50.6,1.3,12.9,11837.0,11.0,-1.9,107567.0,1273.0,1997,2,1,0,0
1997-03,51.2,1.2,13.4,13266.0,12.1,-1.1,107769.0,1430.0,1997,3,1,0,0
1997-04,51.6,0.7,12.3,15328.0,15.5,4.9,109670.0,1681.0,1997,4,1,0,0
1997-05,51.9,0.7,11.7,15688.0,2.3,0.9,110859.0,1739.0,1997,5,1,0,0
1997-06,52.4,0.8,12.1,16144.0,2.9,18.3,112207.0,1811.0,1997,6,1,0,0
1997-07,53.0,1.2,11.7,18483.0,14.5,3.8,114344.0,2113.0,1997,7,1,0,0
1997-08,53.7,1.4,11.8,15506.0,-16.1,3.9,116161.0,1801.0,1997,8,1,0,0
1997-09,53.7,0.0,10.7,15630.0,0.8,12.8,116411.0,1820.0,1997,9,1,0,0
1997-10,54.4,1.2,11.7,16640.0,6.5,12.6,116785.0,1943.0,1997,10,1,0,0
1997-11,54.8,0.7,11.4,14415.0,-13.4,-1.9,115768.0,1669.0,1997,11,1,0,0
1997-12,54.8,0.0,11.1,22037.0,52.9,9.0,117870.0,2598.0,1997,12,1,0,0
1997-01,52.7,11.9,11.9,185634.0,5.6,5.6,113163.0,21007.0,1997,1,1,0,0
1998-01,55.3,0.9,10.7,10084.0,-54.2,-5.4,118196.0,1192.0,1998,1,1,0,0
1998-02,56.1,1.4,10.8,12637.0,25.3,6.8,118483.0,1497.0,1998,2,1,0,0
1998-03,56.4,0.7,10.2,15407.0,21.9,16.1,119635.0,1843.0,1998,3,1,0,0
1998-04,56.8,0.7,10.1,15145.0,-1.7,-1.2,120019.0,1818.0,1998,4,1,0,0
1998-05,57.4,1.0,10.5,16299.0,7.6,3.9,122503.0,1997.0,1998,5,1,0,0
1998-06,57.9,0.9,10.5,15966.0,-2.0,-1.1,121460.0,1939.0,1998,6,1,0,0
1998-07,58.5,1.1,10.5,19679.0,23.3,6.5,126636.0,2492.0,1998,7,1,0,0
1998-08,59.3,1.4,10.5,16435.0,-16.5,6.0,127865.0,2101.0,1998,8,1,0,0
1998-09,60.0,1.2,11.8,15039.0,-8.5,-3.8,127758.0,1921.0,1998,9,1,0,0
1998-10,60.6,0.9,11.4,16428.0,9.2,-1.3,128238.0,2107.0,1998,10,1,0,0
1998-11,61.1,0.9,11.6,16189.0,-1.5,12.3,127574.0,2065.0,1998,11,1,0,0
1998-12,61.2,0.2,11.8,23314.0,44.0,5.8,129378.0,3016.0,1998,12,1,0,0
1998-01,58.4,10.9,10.9,192622.0,3.8,3.8,124540.0,23989.0,1998,1,1,0,0
1999-01,62.6,2.2,13.2,10756.0,-53.9,6.7,130266.0,1401.0,1999,1,1,0,0
1999-02,63.3,1.2,12.9,13909.0,29.3,10.1,130784.0,1819.0,1999,2,1,0,0
1999-03,64.2,1.5,13.8,17558.0,26.2,14.0,133544.0,2345.0,1999,3,1,0,0
1999-04,65.1,1.4,14.6,17210.0,-2.0,13.6,138285.0,2380.0,1999,4,1,0,0
1999-05,66.2,1.6,15.3,15879.0,-7.7,-2.6,138572.0,2200.0,1999,5,1,0,0
1999-06,67.0,1.3,15.8,17122.0,7.8,7.2,141717.0,2426.0,1999,6,1,0,0
