Variable,Correlation,P_Value
LoadConsumption,1.0,0.0
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,0.2945192414657103,1.85437540146738e-172
"Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bbp, gecorrigeerd voor werkdageneffecten",0.15147293612341794,1.367147571314047e-23
Month,0.14936190535016297,2.742404681264556e-44
euro per kWh.1,-0.138461064122609,3.022882512547902e-38
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,0.12031737604238507,3.1490366523120855e-29
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,0.11190476314739821,1.7525724235285169e-25
DailyMeanTemperature,-0.11107047476477411,3.9828259376799867e-25
Aantal verkochte woningen|Aantal verkochte woningen,-0.10852959411655799,4.6713188624506325e-24
HourlyMaxTemperature,-0.10825658025841538,6.065242879232764e-24
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,0.10784229160910344,9.00313021282263e-24
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Totaal,0.10784229160910344,9.00313021282263e-24
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen,0.10258701806755177,1.183533517124914e-21
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,0.0994676406943121,1.9086791696638416e-20
Totale waarde verkoopprijzen,-0.09622908213058382,3.126500640761687e-19
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal,0.08995816683407609,5.4047775467283087e-17
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Totaal,0.08912125769392955,1.0474166465253451e-16
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Totaal,0.08700867559367961,5.415489974796101e-16
HourlyMinTemperature,-0.08544784355526067,1.7780810313239635e-15
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Goederen,0.08512555070871865,2.2668175105732594e-15
Year,0.08394494773498015,5.475168278504416e-15
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,0.08098465097636594,4.737753263782062e-14
CPI | 2015 = 100,0.07826907955938046,3.208093578192675e-13
CPI afgeleid | 2015 = 100,0.07607066057768454,1.4402267673325034e-12
euro per kWh.2,-0.07485750997213482,3.2401298450194782e-12
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,0.07293113291711738,1.1439096259000095e-11
euro per m3.2,-0.0705295421947442,5.2714948520173786e-11
"Natural gas, Europe | ($/mmbtu)",-0.06909276879854635,1.2841423241223413e-10
Natural gas index | (2010=100),-0.06785955339777541,2.7187842199837896e-10
