Date,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Year,Month,Day,Hour,Minute
1996-01,68.03,72.28,,,1996,1,1,0,0
1996-02,68.29,72.55,,,1996,2,1,0,0
1996-03,68.92,73.22,,,1996,3,1,0,0
1996-04,69.13,73.44,,,1996,4,1,0,0
1996-05,68.96,73.26,,,1996,5,1,0,0
1996-06,68.67,72.95,,,1996,6,1,0,0
1996-07,68.84,73.14,,,1996,7,1,0,0
1996-08,68.75,73.04,,,1996,8,1,0,0
1996-09,69.37,73.72,,,1996,9,1,0,0
1996-10,69.53,73.89,,,1996,10,1,0,0
1996-11,69.45,73.8,,,1996,11,1,0,0
1996-12,69.37,73.72,,,1996,12,1,0,0
1996-01,68.94,73.25,,,1996,1,1,0,0
1997-01,69.45,73.63,2.1,1.9,1997,1,1,0,0
1997-02,69.59,73.78,1.9,1.7,1997,2,1,0,0
1997-03,70.12,74.32,1.7,1.5,1997,3,1,0,0
1997-04,70.2,74.39,1.5,1.3,1997,4,1,0,0
1997-05,70.36,74.56,2.0,1.8,1997,5,1,0,0
1997-06,70.02,74.21,2.0,1.7,1997,6,1,0,0
1997-07,70.25,74.48,2.0,1.8,1997,7,1,0,0
1997-08,70.44,74.68,2.5,2.2,1997,8,1,0,0
1997-09,71.07,75.37,2.5,2.2,1997,9,1,0,0
1997-10,71.14,75.44,2.3,2.1,1997,10,1,0,0
1997-11,71.17,75.47,2.5,2.3,1997,11,1,0,0
1997-12,70.95,75.24,2.3,2.1,1997,12,1,0,0
1997-01,70.4,74.63,2.1,1.9,1997,1,1,0,0
1998-01,70.71,74.81,1.8,1.6,1998,1,1,0,0
1998-02,71.11,75.22,2.2,2.0,1998,2,1,0,0
1998-03,71.7,75.85,2.3,2.1,1998,3,1,0,0
1998-04,71.88,76.04,2.4,2.2,1998,4,1,0,0
1998-05,71.81,75.96,2.1,1.9,1998,5,1,0,0
1998-06,71.51,75.65,2.1,1.9,1998,6,1,0,0
1998-07,71.65,75.8,2.0,1.8,1998,7,1,0,0
1998-08,71.66,75.8,1.7,1.5,1998,8,1,0,0
1998-09,72.25,76.45,1.7,1.4,1998,9,1,0,0
1998-10,72.41,76.63,1.8,1.6,1998,10,1,0,0
1998-11,72.41,76.61,1.7,1.5,1998,11,1,0,0
1998-12,72.21,76.39,1.8,1.5,1998,12,1,0,0
1998-01,71.78,75.93,2.0,1.7,1998,1,1,0,0
1999-01,72.25,76.06,2.2,1.7,1999,1,1,0,0
1999-02,72.61,76.44,2.1,1.6,1999,2,1,0,0
1999-03,73.24,77.11,2.1,1.7,1999,3,1,0,0
1999-04,73.4,77.28,2.1,1.6,1999,4,1,0,0
1999-05,73.42,77.31,2.2,1.8,1999,5,1,0,0
1999-06,73.14,77.0,2.3,1.8,1999,6,1,0,0
1999-07,73.06,76.92,2.0,1.5,1999,7,1,0,0
1999-08,73.46,77.34,2.5,2.0,1999,8,1,0,0
1999-09,73.8,77.68,2.1,1.6,1999,9,1,0,0
1999-10,73.86,77.74,2.0,1.4,1999,10,1,0,0
1999-11,73.95,77.84,2.1,1.6,1999,11,1,0,0
1999-12,73.7,77.58,2.1,1.6,1999,12,1,0,0
1999-01,73.32,77.19,2.1,1.7,1999,1,1,0,0
2000-01,73.55,77.17,1.8,1.5,2000,1,1,0,0
2000-02,74.0,77.64,1.9,1.6,2000,2,1,0,0
2000-03,74.66,78.33,1.9,1.6,2000,3,1,0,0
2000-04,74.78,78.46,1.9,1.5,2000,4,1,0,0
2000-05,75.02,78.69,2.2,1.8,2000,5,1,0,0
2000-06,74.94,78.62,2.5,2.1,2000,6,1,0,0
2000-07,74.75,78.41,2.3,1.9,2000,7,1,0,0
2000-08,75.08,78.75,2.2,1.8,2000,8,1,0,0
2000-09,75.99,79.7,3.0,2.6,2000,9,1,0,0
2000-10,76.12,79.84,3.1,2.7,2000,10,1,0,0
2000-11,76.11,79.83,2.9,2.6,2000,11,1,0,0
2000-12,75.66,79.36,2.7,2.3,2000,12,1,0,0
2000-01,75.06,78.73,2.4,2.0,2000,1,1,0,0
2001-01,76.31,79.25,3.8,2.7,2001,1,1,0,0
2001-02,76.98,79.91,4.0,2.9,2001,2,1,0,0
2001-03,77.7,80.67,4.1,3.0,2001,3,1,0,0
2001-04,78.13,81.12,4.5,3.4,2001,4,1,0,0
2001-05,78.39,81.39,4.5,3.4,2001,5,1,0,0
2001-06,78.09,81.07,4.2,3.1,2001,6,1,0,0
2001-07,77.98,80.99,4.3,3.3,2001,7,1,0,0
2001-08,78.27,81.28,4.2,3.2,2001,8,1,0,0
2001-09,79.23,82.27,4.3,3.2,2001,9,1,0,0
2001-10,79.15,82.18,4.0,2.9,2001,10,1,0,0
2001-11,79.05,82.08,3.9,2.8,2001,11,1,0,0
2001-12,78.81,81.84,4.2,3.1,2001,12,1,0,0
2001-01,78.17,81.17,4.1,3.1,2001,1,1,0,0
2002-01,79.38,82.37,4.0,3.9,2002,1,1,0,0
2002-02,79.81,82.82,3.7,3.6,2002,2,1,0,0
2002-03,80.52,83.55,3.6,3.6,2002,3,1,0,0
2002-04,80.9,83.94,3.5,3.5,2002,4,1,0,0
2002-05,80.92,83.96,3.2,3.2,2002,5,1,0,0
2002-06,80.65,83.66,3.3,3.2,2002,6,1,0,0
2002-07,80.54,83.55,3.3,3.2,2002,7,1,0,0
2002-08,80.81,83.84,3.2,3.1,2002,8,1,0,0
2002-09,81.69,84.74,3.1,3.0,2002,9,1,0,0
2002-10,81.49,84.59,3.0,2.9,2002,10,1,0,0
2002-11,81.25,84.34,2.8,2.8,2002,11,1,0,0
2002-12,80.97,84.05,2.7,2.7,2002,12,1,0,0
