Date,euro per m3,euro per m3.1,euro per m3.2,euro per kWh,euro per kWh.1,euro per kWh.2,Year,Month,Day,Hour,Minute
2009-01-01,0.665,0.556,0.231,0.167,0.111,0.068,2009,1,1,0,0
2009-02-01,0.665,0.556,0.231,0.167,0.111,0.068,2009,2,1,0,0
2009-03-01,0.665,0.556,0.231,0.167,0.111,0.068,2009,3,1,0,0
2009-04-01,0.665,0.556,0.231,0.167,0.111,0.068,2009,4,1,0,0
2009-05-01,0.665,0.556,0.231,0.167,0.111,0.068,2009,5,1,0,0
2009-06-01,0.665,0.556,0.231,0.167,0.111,0.068,2009,6,1,0,0
2009-07-01,0.553,0.515,0.202,0.16,0.106,0.06,2009,7,1,0,0
2009-08-01,0.553,0.515,0.202,0.16,0.106,0.06,2009,8,1,0,0
2009-09-01,0.553,0.515,0.202,0.16,0.106,0.06,2009,9,1,0,0
2009-10-01,0.553,0.515,0.202,0.16,0.106,0.06,2009,10,1,0,0
2009-11-01,0.553,0.515,0.202,0.16,0.106,0.06,2009,11,1,0,0
2009-12-01,0.553,0.515,0.202,0.16,0.106,0.06,2009,12,1,0,0
2010-01-01,0.559,0.459,0.191,0.148,0.102,0.063,2010,1,1,0,0
2010-02-01,0.559,0.459,0.191,0.148,0.102,0.063,2010,2,1,0,0
2010-03-01,0.559,0.459,0.191,0.148,0.102,0.063,2010,3,1,0,0
2010-04-01,0.559,0.459,0.191,0.148,0.102,0.063,2010,4,1,0,0
2010-05-01,0.559,0.459,0.191,0.148,0.102,0.063,2010,5,1,0,0
2010-06-01,0.559,0.459,0.191,0.148,0.102,0.063,2010,6,1,0,0
2010-07-01,0.591,0.497,0.215,0.15,0.097,0.064,2010,7,1,0,0
2010-08-01,0.591,0.497,0.215,0.15,0.097,0.064,2010,8,1,0,0
2010-09-01,0.591,0.497,0.215,0.15,0.097,0.064,2010,9,1,0,0
2010-10-01,0.591,0.497,0.215,0.15,0.097,0.064,2010,10,1,0,0
2010-11-01,0.591,0.497,0.215,0.15,0.097,0.064,2010,11,1,0,0
2010-12-01,0.591,0.497,0.215,0.15,0.097,0.064,2010,12,1,0,0
2011-01-01,0.566,0.479,0.241,0.151,0.099,0.064,2011,1,1,0,0
2011-02-01,0.566,0.479,0.241,0.151,0.099,0.064,2011,2,1,0,0
2011-03-01,0.566,0.479,0.241,0.151,0.099,0.064,2011,3,1,0,0
2011-04-01,0.566,0.479,0.241,0.151,0.099,0.064,2011,4,1,0,0
2011-05-01,0.566,0.479,0.241,0.151,0.099,0.064,2011,5,1,0,0
2011-06-01,0.566,0.479,0.241,0.151,0.099,0.064,2011,6,1,0,0
2011-07-01,0.645,0.513,0.25,0.152,0.095,0.065,2011,7,1,0,0
2011-08-01,0.645,0.513,0.25,0.152,0.095,0.065,2011,8,1,0,0
2011-09-01,0.645,0.513,0.25,0.152,0.095,0.065,2011,9,1,0,0
2011-10-01,0.645,0.513,0.25,0.152,0.095,0.065,2011,10,1,0,0
2011-11-01,0.645,0.513,0.25,0.152,0.095,0.065,2011,11,1,0,0
2011-12-01,0.645,0.513,0.25,0.152,0.095,0.065,2011,12,1,0,0
2012-01-01,0.608,0.509,0.261,0.155,0.097,0.06,2012,1,1,0,0
2012-02-01,0.608,0.509,0.261,0.155,0.097,0.06,2012,2,1,0,0
2012-03-01,0.608,0.509,0.261,0.155,0.097,0.06,2012,3,1,0,0
2012-04-01,0.608,0.509,0.261,0.155,0.097,0.06,2012,4,1,0,0
2012-05-01,0.608,0.509,0.261,0.155,0.097,0.06,2012,5,1,0,0
2012-06-01,0.608,0.509,0.261,0.155,0.097,0.06,2012,6,1,0,0
2012-07-01,0.684,0.516,0.268,0.155,0.096,0.064,2012,7,1,0,0
2012-08-01,0.684,0.516,0.268,0.155,0.096,0.064,2012,8,1,0,0
2012-09-01,0.684,0.516,0.268,0.155,0.096,0.064,2012,9,1,0,0
2012-10-01,0.684,0.516,0.268,0.155,0.096,0.064,2012,10,1,0,0
2012-11-01,0.684,0.516,0.268,0.155,0.096,0.064,2012,11,1,0,0
2012-12-01,0.684,0.516,0.268,0.155,0.096,0.064,2012,12,1,0,0
2013-01-01,0.638,0.55,0.282,0.157,0.094,0.073,2013,1,1,0,0
2013-02-01,0.638,0.55,0.282,0.157,0.094,0.073,2013,2,1,0,0
2013-03-01,0.638,0.55,0.282,0.157,0.094,0.073,2013,3,1,0,0
2013-04-01,0.638,0.55,0.282,0.157,0.094,0.073,2013,4,1,0,0
2013-05-01,0.638,0.55,0.282,0.157,0.094,0.073,2013,5,1,0,0
2013-06-01,0.638,0.55,0.282,0.157,0.094,0.073,2013,6,1,0,0
2013-07-01,0.697,0.568,0.279,0.157,0.095,0.075,2013,7,1,0,0
2013-08-01,0.697,0.568,0.279,0.157,0.095,0.075,2013,8,1,0,0
2013-09-01,0.697,0.568,0.279,0.157,0.095,0.075,2013,9,1,0,0
2013-10-01,0.697,0.568,0.279,0.157,0.095,0.075,2013,10,1,0,0
2013-11-01,0.697,0.568,0.279,0.157,0.095,0.075,2013,11,1,0,0
2013-12-01,0.697,0.568,0.279,0.157,0.095,0.075,2013,12,1,0,0
2014-01-01,0.637,0.564,0.265,0.152,0.094,0.065,2014,1,1,0,0
2014-02-01,0.637,0.564,0.265,0.152,0.094,0.065,2014,2,1,0,0
2014-03-01,0.637,0.564,0.265,0.152,0.094,0.065,2014,3,1,0,0
2014-04-01,0.637,0.564,0.265,0.152,0.094,0.065,2014,4,1,0,0
2014-05-01,0.637,0.564,0.265,0.152,0.094,0.065,2014,5,1,0,0
2014-06-01,0.637,0.564,0.265,0.152,0.094,0.065,2014,6,1,0,0
2014-07-01,0.662,0.567,0.231,0.149,0.089,0.066,2014,7,1,0,0
2014-08-01,0.662,0.567,0.231,0.149,0.089,0.066,2014,8,1,0,0
2014-09-01,0.662,0.567,0.231,0.149,0.089,0.066,2014,9,1,0,0
2014-10-01,0.662,0.567,0.231,0.149,0.089,0.066,2014,10,1,0,0
2014-11-01,0.662,0.567,0.231,0.149,0.089,0.066,2014,11,1,0,0
2014-12-01,0.662,0.567,0.231,0.149,0.089,0.066,2014,12,1,0,0
2015-01-01,0.611,0.535,0.247,0.164,0.09,0.066,2015,1,1,0,0
2015-02-01,0.611,0.535,0.247,0.164,0.09,0.066,2015,2,1,0,0
2015-03-01,0.611,0.535,0.247,0.164,0.09,0.066,2015,3,1,0,0
2015-04-01,0.611,0.535,0.247,0.164,0.09,0.066,2015,4,1,0,0
2015-05-01,0.611,0.535,0.247,0.164,0.09,0.066,2015,5,1,0,0
2015-06-01,0.611,0.535,0.247,0.164,0.09,0.066,2015,6,1,0,0
2015-07-01,0.648,0.554,0.219,0.153,0.084,0.064,2015,7,1,0,0
2015-08-01,0.648,0.554,0.219,0.153,0.084,0.064,2015,8,1,0,0
2015-09-01,0.648,0.554,0.219,0.153,0.084,0.064,2015,9,1,0,0
2015-10-01,0.648,0.554,0.219,0.153,0.084,0.064,2015,10,1,0,0
2015-11-01,0.648,0.554,0.219,0.153,0.084,0.064,2015,11,1,0,0
2015-12-01,0.648,0.554,0.219,0.153,0.084,0.064,2015,12,1,0,0
2016-01-01,0.63,0.565,0.177,0.134,0.087,0.058,2016,1,1,0,0
2016-02-01,0.63,0.565,0.177,0.134,0.087,0.058,2016,2,1,0,0
2016-03-01,0.63,0.565,0.177,0.134,0.087,0.058,2016,3,1,0,0
2016-04-01,0.63,0.565,0.177,0.134,0.087,0.058,2016,4,1,0,0
2016-05-01,0.63,0.565,0.177,0.134,0.087,0.058,2016,5,1,0,0
2016-06-01,0.63,0.565,0.177,0.134,0.087,0.058,2016,6,1,0,0
2016-07-01,0.652,0.551,0.182,0.131,0.081,0.059,2016,7,1,0,0
2016-08-01,0.652,0.551,0.182,0.131,0.081,0.059,2016,8,1,0,0
2016-09-01,0.652,0.551,0.182,0.131,0.081,0.059,2016,9,1,0,0
2016-10-01,0.652,0.551,0.182,0.131,0.081,0.059,2016,10,1,0,0
2016-11-01,0.652,0.551,0.182,0.131,0.081,0.059,2016,11,1,0,0
2016-12-01,0.652,0.551,0.182,0.131,0.081,0.059,2016,12,1,0,0
2017-01-01,0.617,0.541,0.204,0.129,0.083,0.055,2017,1,1,0,0
2017-02-01,0.617,0.541,0.204,0.129,0.083,0.055,2017,2,1,0,0
2017-03-01,0.617,0.541,0.204,0.129,0.083,0.055,2017,3,1,0,0
2017-04-01,0.617,0.541,0.204,0.129,0.083,0.055,2017,4,1,0,0
2017-05-01,0.617,0.541,0.204,0.129,0.083,0.055,2017,5,1,0,0
2017-06-01,0.617,0.541,0.204,0.129,0.083,0.055,2017,6,1,0,0
2017-07-01,0.657,0.533,0.196,0.129,0.076,0.054,2017,7,1,0,0
2017-08-01,0.657,0.533,0.196,0.129,0.076,0.054,2017,8,1,0,0
2017-09-01,0.657,0.533,0.196,0.129,0.076,0.054,2017,9,1,0,0
2017-10-01,0.657,0.533,0.196,0.129,0.076,0.054,2017,10,1,0,0
2017-11-01,0.657,0.533,0.196,0.129,0.076,0.054,2017,11,1,0,0
2017-12-01,0.657,0.533,0.196,0.129,0.076,0.054,2017,12,1,0,0
2018-01-01,0.658,0.558,0.226,0.141,0.087,0.054,2018,1,1,0,0
2018-02-01,0.658,0.558,0.226,0.141,0.087,0.054,2018,2,1,0,0
