,Year,Month,NAO
0,0.92,1,1950.0
1,0.08,1,1951.0
2,0.93,1,1952.0
3,0.33,1,1953.0
4,0.37,1,1954.0
5,-1.84,1,1955.0
6,-0.22,1,1956.0
7,1.05,1,1957.0
8,-0.54,1,1958.0
9,-0.87,1,1959.0
10,-1.29,1,1960.0
11,0.41,1,1961.0
12,0.61,1,1962.0
13,-2.12,1,1963.0
14,-0.95,1,1964.0
15,-0.12,1,1965.0
16,-1.74,1,1966.0
17,-0.89,1,1967.0
18,0.13,1,1968.0
19,-0.83,1,1969.0
20,-1.5,1,1970.0
21,-1.13,1,1971.0
22,0.27,1,1972.0
23,0.04,1,1973.0
24,1.34,1,1974.0
25,0.58,1,1975.0
26,-0.25,1,1976.0
27,-1.04,1,1977.0
28,0.66,1,1978.0
29,-1.38,1,1979.0
30,-0.75,1,1980.0
31,0.37,1,1981.0
32,-0.89,1,1982.0
33,1.59,1,1983.0
34,1.66,1,1984.0
35,-1.61,1,1985.0
36,1.11,1,1986.0
37,-1.15,1,1987.0
38,1.02,1,1988.0
39,1.17,1,1989.0
40,1.04,1,1990.0
41,0.86,1,1991.0
42,-0.13,1,1992.0
43,1.6,1,1993.0
44,1.04,1,1994.0
45,0.93,1,1995.0
46,-0.12,1,1996.0
47,-0.49,1,1997.0
48,0.39,1,1998.0
49,0.77,1,1999.0
50,0.6,1,2000.0
51,0.25,1,2001.0
52,0.44,1,2002.0
53,0.16,1,2003.0
54,-0.29,1,2004.0
55,1.52,1,2005.0
56,1.27,1,2006.0
57,0.22,1,2007.0
58,0.89,1,2008.0
59,-0.01,1,2009.0
60,-1.11,1,2010.0
61,-0.88,1,2011.0
62,1.17,1,2012.0
63,0.35,1,2013.0
64,0.29,1,2014.0
65,1.79,1,2015.0
66,0.12,1,2016.0
67,0.48,1,2017.0
68,1.44,1,2018.0
69,0.59,1,2019.0
70,1.34,1,2020.0
71,-1.11,1,2021.0
72,1.08,1,2022.0
73,1.25,1,2023.0
74,0.21,1,2024.0
75,-0.52,1,2025.0
76,0.92,2,0.4
77,0.08,2,0.7
78,0.93,2,-0.83
79,0.33,2,-0.49
80,0.37,2,0.74
81,-1.84,2,-1.12
82,-0.22,2,-1.12
83,1.05,2,0.11
84,-0.54,2,-1.06
85,-0.87,2,0.68
86,-1.29,2,-1.89
87,0.41,2,0.45
88,0.61,2,0.55
89,-2.12,2,-0.96
90,-0.95,2,-1.43
91,-0.12,2,-1.55
92,-1.74,2,-1.39
93,-0.89,2,0.19
94,0.13,2,-1.29
95,-0.83,2,-1.55
96,-1.5,2,0.64
97,-1.13,2,0.24
98,0.27,2,0.32
99,0.04,2,0.85
100,1.34,2,-0.14
101,0.58,2,-0.62
102,-0.25,2,0.93
103,-1.04,2,-0.49
104,0.66,2,-2.2
105,-1.38,2,-0.67
106,-0.75,2,0.05
107,0.37,2,0.92
108,-0.89,2,1.15
109,1.59,2,-0.53
110,1.66,2,0.72
111,-1.61,2,-0.49
112,1.11,2,-1.0
113,-1.15,2,-0.73
114,1.02,2,0.76
115,1.17,2,2.0
116,1.04,2,1.41
117,0.86,2,1.04
118,-0.13,2,1.07
119,1.6,2,0.5
120,1.04,2,0.46
121,0.93,2,1.14
122,-0.12,2,-0.07
