Date,nat,Year,Month,Day,Hour,Minute
1981-09-06,-0.3819604882478205,1981,9,6,0,0
1981-09-07,-0.3616225120366516,1981,9,7,0,0
1981-09-08,-0.3616225120366516,1981,9,8,0,0
1981-09-09,-0.3616225120366516,1981,9,9,0,0
1981-09-10,-0.3616225120366516,1981,9,10,0,0
1981-09-11,-0.3616225120366516,1981,9,11,0,0
1981-09-12,-0.3616225120366516,1981,9,12,0,0
1981-09-13,-0.3616225120366516,1981,9,13,0,0
1981-09-14,-0.5209201715248873,1981,9,14,0,0
1981-09-15,-0.5209201715248873,1981,9,15,0,0
1981-09-16,-0.5209201715248873,1981,9,16,0,0
1981-09-17,-0.5209201715248873,1981,9,17,0,0
1981-09-18,-0.5209201715248873,1981,9,18,0,0
1981-09-19,-0.5209201715248873,1981,9,19,0,0
1981-09-20,-0.5209201715248873,1981,9,20,0,0
1981-09-21,-0.5257803034125567,1981,9,21,0,0
1981-09-22,-0.5257803034125567,1981,9,22,0,0
1981-09-23,-0.5257803034125567,1981,9,23,0,0
1981-09-24,-0.5257803034125567,1981,9,24,0,0
1981-09-25,-0.5257803034125567,1981,9,25,0,0
1981-09-26,-0.5257803034125567,1981,9,26,0,0
1981-09-27,-0.5257803034125567,1981,9,27,0,0
1981-09-28,-0.5229497537439226,1981,9,28,0,0
1981-09-29,-0.5229497537439226,1981,9,29,0,0
1981-09-30,-0.5229497537439226,1981,9,30,0,0
1981-10-01,-0.5229497537439226,1981,10,1,0,0
1981-10-02,-0.5229497537439226,1981,10,2,0,0
1981-10-03,-0.5229497537439226,1981,10,3,0,0
1981-10-04,-0.5229497537439226,1981,10,4,0,0
1981-10-05,-0.600028541318704,1981,10,5,0,0
1981-10-06,-0.600028541318704,1981,10,6,0,0
1981-10-07,-0.600028541318704,1981,10,7,0,0
1981-10-08,-0.600028541318704,1981,10,8,0,0
1981-10-09,-0.600028541318704,1981,10,9,0,0
1981-10-10,-0.600028541318704,1981,10,10,0,0
1981-10-11,-0.600028541318704,1981,10,11,0,0
1981-10-12,-0.5277975240578411,1981,10,12,0,0
1981-10-13,-0.5277975240578411,1981,10,13,0,0
1981-10-14,-0.5277975240578411,1981,10,14,0,0
1981-10-15,-0.5277975240578411,1981,10,15,0,0
1981-10-16,-0.5277975240578411,1981,10,16,0,0
1981-10-17,-0.5277975240578411,1981,10,17,0,0
1981-10-18,-0.5277975240578411,1981,10,18,0,0
1981-10-19,-0.5223571471325412,1981,10,19,0,0
1981-10-20,-0.5223571471325412,1981,10,20,0,0
1981-10-21,-0.5223571471325412,1981,10,21,0,0
1981-10-22,-0.5223571471325412,1981,10,22,0,0
1981-10-23,-0.5223571471325412,1981,10,23,0,0
1981-10-24,-0.5223571471325412,1981,10,24,0,0
1981-10-25,-0.5223571471325412,1981,10,25,0,0
1981-10-26,-0.3802598014954648,1981,10,26,0,0
1981-10-27,-0.3802598014954648,1981,10,27,0,0
1981-10-28,-0.3802598014954648,1981,10,28,0,0
1981-10-29,-0.3802598014954648,1981,10,29,0,0
1981-10-30,-0.3802598014954648,1981,10,30,0,0
1981-10-31,-0.3802598014954648,1981,10,31,0,0
1981-11-01,-0.3802598014954648,1981,11,1,0,0
1981-11-02,-0.31385031204801433,1981,11,2,0,0
1981-11-03,-0.31385031204801433,1981,11,3,0,0
1981-11-04,-0.31385031204801433,1981,11,4,0,0
