,Date,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month,Year,Week,WeekKey,day_of_week,Day,Hour,Minute
0,2021-01-01,0.0,0.0,1,3.0,-35,3,5.7,14,2.1,3.0,6,1.0,1,1,1970,53,202153,Friday,1,0,0
1,2021-01-02,0.3,0.1,9,3.6,31,8,4.5,1,1.8,3.0,1,1.0,14,1,1970,53,202153,Saturday,1,0,0
2,2021-01-03,0.1,0.1,23,3.3,28,7,4.0,14,3.5,5.0,15,2.0,1,1,1970,53,202153,Sunday,1,0,0
3,2021-01-04,1.1,0.6,3,2.8,23,23,3.6,10,5.3,6.0,10,5.0,1,1,1970,1,202101,Monday,1,0,0
4,2021-01-05,0.1,0.1,8,2.9,21,2,3.6,20,4.1,5.0,1,3.0,9,1,1970,1,202101,Tuesday,1,0,0
5,2021-01-06,0.1,0.1,1,2.4,13,24,3.2,1,2.6,5.0,3,1.0,17,1,1970,1,202101,Wednesday,1,0,0
6,2021-01-07,7.9,2.0,14,2.6,12,1,4.1,13,2.3,4.0,16,1.0,1,1,1970,1,202101,Thursday,1,0,0
7,2021-01-08,0.4,0.2,5,1.1,-28,24,4.4,14,1.3,3.0,12,1.0,1,1,1970,1,202101,Friday,1,0,0
8,2021-01-09,0.5,0.3,16,-0.6,-45,8,6.5,15,1.2,2.0,12,1.0,1,1,1970,1,202101,Saturday,1,0,0
9,2021-01-10,-0.1,-0.1,1,1.6,-34,7,5.2,13,2.4,4.0,20,1.0,1,1,1970,1,202101,Sunday,1,0,0
10,2021-01-11,1.2,0.6,20,5.0,29,4,7.0,23,5.4,6.0,7,4.0,1,1,1970,2,202102,Monday,1,0,0
11,2021-01-12,15.9,3.4,4,5.2,10,20,8.3,5,3.7,7.0,1,2.0,17,1,1970,2,202102,Tuesday,1,0,0
12,2021-01-13,0.8,0.5,3,4.3,17,2,6.2,14,3.3,5.0,12,2.0,19,1,1970,2,202102,Wednesday,1,0,0
13,2021-01-14,0.0,0.0,1,1.2,-7,23,3.6,1,3.3,5.0,13,1.0,1,1,1970,2,202102,Thursday,1,0,0
14,2021-01-15,0.0,0.0,1,1.2,-9,1,2.4,15,1.6,4.0,1,0.0,17,1,1970,2,202102,Friday,1,0,0
15,2021-01-16,2.9,0.8,17,0.8,-9,17,2.0,10,3.5,6.0,14,2.0,1,1,1970,2,202102,Saturday,1,0,0
16,2021-01-17,2.2,1.1,16,3.4,-1,1,7.9,13,2.2,4.0,15,1.0,6,1,1970,2,202102,Sunday,1,0,0
17,2021-01-18,0.2,0.1,16,4.8,21,2,6.6,15,4.1,6.0,24,2.0,2,1,1970,3,202103,Monday,1,0,0
18,2021-01-19,15.6,2.6,7,7.7,44,4,10.5,13,7.3,9.0,9,6.0,2,1,1970,3,202103,Tuesday,1,0,0
19,2021-01-20,-0.1,-0.1,1,9.0,68,3,10.9,21,6.4,8.0,21,6.0,2,1,1970,3,202103,Wednesday,1,0,0
20,2021-01-21,11.8,2.9,4,7.0,33,24,12.0,3,7.0,11.0,4,2.0,20,1,1970,3,202103,Thursday,1,0,0
21,2021-01-22,0.9,0.7,1,4.0,9,24,6.6,13,3.9,5.0,4,2.0,22,1,1970,3,202103,Friday,1,0,0
